Ri06_06_002|あはは……来ちゃったんだね、士道
To06_02_027|ふふ、私なんかで良かったら、いくらでも協力するよ
To06_02_028|……あ、もしよかったら見るだけじゃなくて、　一緒に作ってみたり……する？
To06_02_029|大丈夫。私も手伝うから……ね？
To06_02_030|あ、あはははは……ええと、と、とにかく駄目みたいだから、　士道はテレビでも見て待ってて。ね？
To06_02_031|……で、芽をとったら皮を剥いて乱切りに……こんな感じ。　これくらいの大きさに切っていくんだよ
To06_02_032|――あ、包丁で剥くのが難しそうだったら、　ピーラーを使った方がいいかも
To06_02_033|これだよ。皮を剥くための道具なの。ほら
To06_02_034|ね？
To06_02_035|うーん……わ、私が凄いわけじゃないんだけど……
To06_02_036|えーとね、ニンジンは火が通りにくいから、　ジャガイモのときより、もう少し小さ目に切った方がいいかな？
To06_02_037|そうそう、そんな感じだよ。上手だね、十香ちゃん。　でも、調子に乗って手を切らないようにね？
To06_02_038|今日は、十香ちゃんが手伝ってくれた肉じゃがでーす
To06_02_039|ふふ、めしあがれ
To06_02_040|あ、琴里ちゃんも四糸乃ちゃんも、どうぞ食べてみて
To06_02_041|ふふ、どういたしまして。　十香ちゃんが一生懸命手伝ってくれた分、　いつもよりもっと美味しくなったんじゃないかな？
To06_02_042|そうだね。言ってくれれば、いつでも大丈夫だよ
Ku06_02_001|それじゃあ、キッチン借りるね？
Ku06_02_002|ふふ、それは言わない約束でしょ？　お隣さんは助け合い、だからね
Ku06_02_003|ありがとう、士道。でも、今のところはないかな？
Ku06_02_004|……そう、かな？　そうだと、いいな……
Ku06_02_005|なんでもないよ。それじゃ、すぐ用意しちゃうね
Ku06_02_006|うん。お任せあれ
Ku06_02_007|今日のおかずは肉じゃがだよ
Ku06_02_008|えーと……懐かしい味、みたいな意味かな？
Ku06_02_009|あ、十香ちゃんおかわりは？
Ku06_02_010|ふふ、どういたしまして。　あんまり急いでこぼさないようにね
K06_03_003|あ、あの……し、士道？
K06_03_004|……！
K06_03_005|ううん……別にいいけど。　ちょっと、びっくりしちゃった……かな
K06_03_006|変な夢……？
K06_03_007|夢見て寝ぼけちゃってたんだね。士道ってば子供みたい
K06_03_008|士道……ちょっと疲れてるんじゃない？
K06_03_009|ふふ、ならいいけど。それじゃあ、下で待ってるね
K06_03_010|あ、それなんだけど……四糸乃ちゃんが急に具合悪くなっちゃっ　て、琴里ちゃんが朝早くに病院に連れて行ったの。私も行くって　言ったんだけど……
K06_03_011|うーん、琴里ちゃんが大したことはないと思うって　言ってたけど……
K06_03_012|うん……
K06_03_013|ううん、違うの。十香ちゃん、今日は先に学校に行くって言って、　もう出ちゃった
K06_03_014|そこまで驚かれると、ちょっと十香ちゃんが可哀想かなぁ……
K06_03_015|あ、座って。朝ご飯、持ってくるから
K06_03_016|はい、お待ちどうさま。お味噌汁、温めなおしたから。　ご飯もほかほかだよ？
K06_03_017|ごめんね。今朝はバタバタしちゃったから、ベーコンエッグと　サラダだけなんだけど
K06_03_018|あ、でも、ぱぱっとお弁当も作っちゃったから、　良かったら持っていって。　十香ちゃんの分も持って行ってくれると嬉しいな
K06_03_019|ふふ、どういたしまして
K06_03_020|なあに？
K06_03_021|どうしたの士道？　ちょっと顔が赤いみたいだけど、　また熱でもでてきたの？
K06_03_022|そう？　ならいいけど。なんか今日の士道、ちょっと変だね？
K06_03_023|謝ることなんてないよ。士道ったら変なの。ふふ……
K06_03_024|あ、今日からお休みなの。球技祭も終わったし、テスト前だし
K06_03_025|もしかして、テストのこと忘れてた？
K06_03_026|え～と……本当はそうしたいんだけど、ちょっと寄らなきゃいけ　ないところがあるから、少し早く出ちゃうかな。ごめんね
K06_03_027|あっ……本当は一緒に行きたいんだけど……
K06_03_028|これって、駅前の方にある郵便局かな……？
K06_03_029|……でも、士道の知らない人だよ？
K06_03_030|そう、だね……
K06_03_031|よかったね。被害がないうちに捕まって
K06_03_032|どうしたの？
K06_03_033|確かに……でも、あのまま続いてたら駅前に買い物も　行けなくなっちゃうし、私は助かっちゃったかも
K06_03_034|そういうこと言うけど、夕飯の材料が買えなかったら困るのは　士道の方なんだからね？
K06_03_035|よろしい。士道は物分かりが良いね
K06_03_036|気のせい気のせい♪
K06_03_037|――あ！　ごめん、私そろそろ行かないと。先に出ちゃうけど、　大丈夫だよね？
K06_03_038|じゃあ、お任せしちゃうね。いってきます
To06_03_032|士道、戻ってたんだ
To06_03_033|ふふ、わかってるから大丈夫
To06_03_034|お昼休みに十香ちゃんがお弁当を作ってきたっていうの聞いたよ？　私も作ってきちゃったから、困っちゃったんだよね……
To06_03_035|私のことはいいの。　大事に思ってる子には、ちゃんと優しくしてあげてね
To06_03_019|士道？
To06_03_020|そんなに困った顔しなくても大丈夫だよ？
To06_03_021|十香ちゃん、士道にお弁当を作ってきてくれたんでしょ？
To06_03_022|うん……大丈夫だよ、わかってる。　私のことはいいから、早く食べてきてあげた方がいいよ？
To06_03_023|あ。私のお弁当のことは、十香ちゃんに内緒ね？　気を使わせちゃったら嫌だし……
To06_03_024|ふふ、いいからいいから。　ちゃんと残さず食べてあげてね？
To06_03_025|はい、十香ちゃん
To06_03_026|ふふ、どういたしまして
To06_03_027|あ……その、今日は慌てて作り過ぎちゃったの。　ね、士道？
To06_03_028|食べてくれると助かるかな。あ、でも無理はしなくていいからね
To06_03_029|どうぞ、召し上がれ
To06_03_030|ううん。お弁当、無駄にならなくて良かった……
To06_03_031|もう、おだてても何も出ないよ？
K06_03_039|士道、遅くなっちゃってごめんね！　ご飯の準備とか、大丈夫？
K06_03_040|あ、うん。大丈夫。　ちょっと手の離せない用事ができちゃって……
K06_03_041|う、うん、なんとか。連絡できなくてごめんなさい……
K06_03_042|でも……
K06_03_043|そ、そんなことないよ！　私だって、好きでやってるんだから……
K06_03_044|え……
K06_03_045|そっ、か……私、やっぱりお邪魔だった、かな……
K06_03_046|……………………
K06_03_047|そっか……仕方ないなぁ、士道は。　決めたら、一直線なんだから
K06_03_048|でも……甘えてくれてても良かったんだよ？
K06_03_049|ううん、なんでもないの。とりあえず、洗い物手伝うね。手伝う　のは、アリだよね？
K06_03_050|ふふ……お任せあれ
Ri06_03_002|ふふ、起きた？
Ri06_03_003|うん、おはよう士道！　今日もいい天気だね
Ri06_03_004|え、そう？　別にそんなことないと思うんだけど
Ri06_03_005|そうだってば。あ、それより士道……今日の放課後、空いてる？
Ri06_03_006|よかった～。じゃあ、ご飯できてるから、下で待ってるね
Ri06_03_007|あ、それなんだけど……四糸乃ちゃんが急に具合悪くなって、　琴里ちゃんが朝早くに病院に連れて行ったの。　私も行くって言ったんだけど……士道のこと任されたから……
Ri06_03_008|琴里ちゃんは大したことないと思うって　言ってたけど……
Ri06_03_009|うん……
Ri06_03_010|ううん、違うの。十香ちゃん、今日は先に学校に行くって言って、　もう出ちゃったから
Ri06_03_011|そこまで驚かれると、ちょっと十香ちゃんが可哀想かなぁ……
Ri06_03_012|あ、座って。朝ご飯、持ってくるから
Ri06_03_013|はい、お待ちどうさま。お味噌汁、温めなおしたから。　ご飯もほかほかだよ？
Ri06_03_014|ごめんね。今朝はバタバタしちゃったから、　ベーコンエッグとサラダだけなんだけど
Ri06_03_015|あ、それからこれ、持っていって。　ぱぱっと作っちゃったから
Ri06_03_016|ふふ、どういたしまして
Ri06_03_017|うん、なあに？
Ri06_03_018|どうぞ、召し上がれ
Ri06_03_019|どうしたの士道？　ちょっと顔が赤いみたいだけど、また熱でもでてきたの？
Ri06_03_020|そう？
Ri06_03_021|ふふ、士道ったら、なんか変なの
Ri06_03_022|もう、謝ることなんてないのに。ほんとに変なの。ふふ……
Ri06_03_023|はーい、今行くから少し待ってー！
Ri06_03_024|はい、お待たせ～。じゃあ行こっか？
Ri06_03_025|うん。戸締りだけはきちんとしていかなきゃね。　えっと、ちょっと待ってて……え？
Ri06_03_026|ど、どうしよう……鍵、失くしちゃったかも……
Ri06_03_027|どうしよう……大切なものなのに……私……っ！？
Ri06_03_028|あ……う、うん……そうだよね
Ri06_03_029|ごめんね、士道……私がしっかりしてないから……せっかく、　私のために用意してくれたものなのに……
Ri06_03_030|あ、安心……！？　それって、もしかして……いじわる？
Ri06_03_031|……実は頼りないってこと、バレちゃった？
Ri06_03_032|うん……わかった
Ri06_03_033|えっと……朝食とお弁当を作って……士道と一緒に朝ご飯。　それから洗い物をして……あとは……
Ri06_03_034|――あ、もしかして！　士道は先に出てていいよ！
Ri06_03_035|はぁ……はぁ……あった、よ！　士道……っ！
Ri06_03_036|……お手洗いに置きっぱなしにしちゃってたみたい
Ri06_03_037|肌身離さず持ってたんだけど……。　ちょっとだけ、気が抜けてたみたい
Ri06_03_038|ううん、士道は悪くないよ。悪いのは私。　だから、私こそごめんね。もう絶対、手放したりしないから……
Ri06_03_039|そういうことじゃ、ない……
Ri06_03_040|これは士道が……私のことを……家族――大切な人だって、　認めてくれた証でしょ。だから、絶対失くしたくないし、　手放したくないんだ。……私、勝手かな？
Ri06_03_041|うん、ありがとう士道。私、鍵締めてくるね
Ri06_03_042|それに……こんなの、はじめてだから
Ri06_03_043|うん。ほんと、どうしようかと思っちゃった
Ri06_03_044|士道、どうしたの？　ぼーっとしちゃって……
Ri06_03_045|そうだね。蝉の鳴き声がうるさくなってくると、　余計に暑く感じてきちゃうしね
Ri06_03_046|でも、夏はいいこともあるんだよ？　この前みたいにプールで遊べるし、アイスはおいしいし、　冷やし中華も始めたくなっちゃうし
Ri06_03_047|もう、士道ってば、またそんな言い方して。　私は夏の風物詩の話をしてただけだってば。　それに、そんな風にいったら十香ちゃんも可哀想でしょ
Ri06_03_048|あ～こらっ！　待ちなさ～い！
Ri06_03_049|もうっ！　士道ってば！
Ri06_03_050|士道、私怒ってるからね。急に走って逃げて……
Ri06_03_051|もう、士道ってば勝手なんだから……健康にはいいけど、　身だしなみをもっと気にしないと駄目だよ？　汗臭いと嫌われちゃうんだから
Ri06_03_052|あ、おはよう。殿町くん
Ri06_03_053|うふふ、殿町君って本当に楽しい人だよね
Ri06_03_054|う、う～ん……特に弱みとかはないと思うけどな……。　ご、ごめんね殿町くん？
Ri06_03_055|行っちゃった……放っておいて平気かな、殿町くん？
Ri06_03_056|ふふ、そうだね
Ri06_03_057|士道？　腐れ縁って言われると、ちょっと悲しいかも
Ri06_03_058|そういうこと言ってると、本当に離れて行っちゃうかもよ？
Ri06_03_059|もう、仕方ないなぁ……許してあげる
Ri06_03_060|しーどう？
Ri06_03_061|ど、どうしたの？
Ri06_03_062|あ、うん。予定なさそう？
Ri06_03_063|えっと……ちょっとあっちで
Ri06_03_064|うん……こっち、いい？
Ri06_03_065|あのね、士道……
Ri06_03_066|……デート、しない？
Ri06_03_067|もう……なに、その顔？
Ri06_03_068|ふふ……どうもこうもないよ。女心は変わりやすいの
Ri06_03_069|それで、その……どう、かな？
Ri06_03_070|本当？　良かった！
Ri06_03_071|ええと……どこだっけな……？
Ri06_03_072|あ、うん……ちょっと待ってね、　確か、この辺だったと思うんだけど……
Ri06_03_073|――あ、あそこ！　士道、私、あれが食べてみたい！
Ri06_03_074|うん！
Ri06_03_075|あ、ううん、大丈夫。大丈夫だから
Ri06_03_076|わ、私が自分で選ぼうかなって。……ね？
Ri06_03_077|うん。任せて
Ri06_03_078|それじゃあ、行ってくるね！
Ri06_03_079|はーい
Ri06_03_080|ごめんね、遅くなっちゃって
Ri06_03_081|えへへ……調子に乗って、　ちょっと買い過ぎちゃったみたい……
Ri06_03_082|だって、せっかくだしいろいろ食べてみたくて。　し、士道も手伝ってくれるよね？
Ri06_03_083|あ、ありがとう。じゃあ、頑張ろう
Ri06_03_084|士道？　早くしないと溶けちゃうよ
Ri06_03_085|う、うん！
Ri06_03_086|ふ、ふめたふて……おいひい……
Ri06_03_087|はう……！　ほ、ほんなころ、ひわれれも……！
Ri06_03_088|……
Ri06_03_089|……なかなか、難しいなあ
Ri06_03_090|あ、士道ってば……溶けちゃって……指にアイスが――
Ri06_03_091|はむ……！
Ri06_03_092|……駄目、じっとしてて……
Ri06_03_093|ちゃんと……綺麗に……しないと……
Ri06_03_094|やっぱり……私じゃ駄目なのかな
Ri06_03_095|…………
Ri06_03_096|あ、士道……後ろ……
Ri06_03_097|……士道、ごめんね
Ri06_03_098|……気づかれちゃったら……こうするしかないの
Ri06_03_099|え……？　あ、うん……大丈夫、だよ……？　ちょ、ちょっと、アイスを食べ過ぎちゃったみたい……！
Ri06_03_100|う、うん、それもそうだ……ね……
Ri06_03_101|えへへ……ご、ごめん、ちょっと貧血気味、なのかも？
Ri06_03_102|うん、平気平気……ちょ、ちょっと休憩すれば……。　すぐよくなると思う……
Ri06_03_103|ごめんね……士道。せっかくのデートなのに……
Ri06_03_104|ありがとう……でも、アイス……溶けちゃうね……
Ri06_03_105|う、うん……ありがとう、士道
Ri06_03_106|……士道？
Ri06_03_107|だいぶ落ち着いたから、もう大丈夫。……そろそろ帰ろう？
Ri06_03_108|……う、うん。ありがとう士道
Ri06_03_109|士道、今日の夕飯はどうだった？
Ri06_03_110|もう、士道ったら大げさなんだから
Ri06_03_111|……～♪　……～♪
Ri06_03_112|ん、なあに？
Ri06_03_113|え……
Ri06_03_114|――そ、そんなことないよ
Ri06_03_115|そ、そんなことないってば……私も好きでやってることで……
Ri06_03_116|……
Ri06_03_118|そっ、か……私、やっぱりお邪魔だった、かな……？
Ri06_03_119|じゃあ……明日も手伝いに来てもいい？
Ri06_03_120|……私、嫌だな。邪魔者って言われてるみたいで……
Ri06_03_121|私なら大丈夫、だからなにも気にしないで？　ね？
Ri06_03_122|いいの！　今のままでいいんだってばッ！
Ri06_03_123|ちゃんと自分で体調管理するから！　士道の迷惑にはならないから！　だから……ッ！
Ri06_03_124|士道……ッ！
Ri06_03_125|うん、わかってる。ありがとね、士道。　あと、無理言っちゃってごめんなさい
To06_03_001|し、士道！　どうしたの！？
To06_03_002|……そっか、よかった。　シップ持ってくるから、座ってて
To06_03_003|はい、これで大丈夫だよ
To06_03_004|……大丈夫？　ついこの前まで寝てたのに、　あんなところに行くからだよ……
To06_03_005|え？　えっと……途中で迷って引き返しちゃったかも……。あは　は……でも、時々見たくなるんだよね、あそこからの眺め
To06_03_006|そうそう。私たちの暮らしてる街ってこんな風なんだって……。　そう気付かせてくれるみたいで好きなんだ
To06_03_007|え？　どういうこと？
To06_03_008|あ、筋肉痛になっちゃいそうっていうなら、　私はラクロスで鍛えてるから平気だよ？
To06_03_009|大丈夫だよ、士道。　心配しなくても、もうあそこにはしばらく入れなくなるみたい
To06_03_010|高台公園までは行けるけど、そこから先の見晴らし台は、　再整備するからしばらく立ち入り禁止になるんだって
To06_03_011|そうみたいだけど……あ、今ちょうどニュースでやってるのって、　それじゃない？
To06_03_012|そんなことないよ？　上の方は、フェンスとかいろいろあったし
To06_03_013|うん。それもあって、あんまりいなかったんだ。　ちょっと、景色が変わっちゃうし
To06_03_014|でも、たまにはローカルニュースも見ないとね。　意外に重要な情報が流れてくるかもしれないし
To06_03_015|でも、上に行けないの、ちょっと残念だよね……。　昨日は士道も十香ちゃんを連れてってあげたかったんでしょ？
To06_03_016|そっか……
To06_03_017|でも、もし永遠に行けなくなったら……士道はどうするの？
To06_03_018|ふふ、冗談だよ冗談。　さすがにそんなことあるわけないじゃない？
To06_03_036|十香ちゃん、よろしくね
To06_03_037|はいはい。お任せあれ！
To06_03_038|ふふ、どういたしまして
To06_03_039|そうそう、十香ちゃん。その調子だよ
To06_03_040|よくあることだから、気にしないで。　お皿を綺麗にしようって思って力を入れて擦ると、　滑っちゃうんだよね……私も割ったことあるし
To06_03_041|だ、大丈夫！　怪我してない？
To06_03_042|と、十香ちゃん……
To06_03_043|十香ちゃん……大丈夫かな？
To06_03_044|明日からは私来ないんだからね？　士道……ちゃんと十香ちゃんやみんなをフォローできる？
To06_03_045|もう……心配だなあ……
To06_03_046|あ、そういうわけじゃないの。　でも、士道この前まで倒れてたんだし……
To06_03_047|そこまで言うなら任せるけど……無理そうなら言ってね？
To06_03_048|それじゃ、私はそろそろ帰るね
To06_03_049|うん、送らなくていいからね
To06_03_050|また明日ね、士道。　幸せな朝を迎えられるのを祈ってるから
To06_03_051|ふふ……お休みなさい
Ori06_04_001|と、十香ちゃん、落ち着いて！　ね？　ほら、よかったら……みんなで一緒に食べない？
Ori06_04_002|鳶一さんもそれでどうかな？
Ori06_04_003|よかったあ！　それじゃ、机を寄せてみんなで食べましょ！　ね？
Ori06_04_004|どういたしまして～
Ori06_04_005|ふふ、あまりモテすぎるのも考えものねえ……
Ori06_04_006|ううん、なんでもないよ……ふふっ
Ori06_04_007|あ、鳶一さん、お口に合うかわからないけど、　よかったら私のお弁当からもどうぞ？
Ori06_04_008|そ、そうなの……？
Ori06_04_009|はい、どうぞ。鳶一さん
Ori06_04_010|え？　私？
K06_05_002|良かった。ここにいるような気がしたんだ
K06_05_003|あはは……士道が家の前歩くの、見えたから。　どうしたのかなーって
K06_05_004|士道は、まだ決めてないんだね……
K06_05_005|誰かを守りたい、幸せにしたいって思ったら、ちゃんとその人を　大切に思い続けなきゃダメだよ？
K06_05_006|恋の話、だよ。悩み……違った？
K06_05_007|ほら。士道のことなら、私にだってわかるんだから。　ちゃんと選んであげなきゃ、女の子は可哀想だよ？
K06_05_008|大切な一人と一緒なら、それはきっと素敵な恋になるよ
K06_05_009|だから、『次』は頑張ってね。　……それじゃあ、おやすみなさい
Ri06_04_002|おはよう士道
Ri06_04_003|今の？　サンバは踊ってないけど……また寝ぼけてるの？
Ri06_04_004|そっか……とりあえず、早く着替えて顔を洗ってくること。　ご飯用意して下で待ってるからね
Ri06_04_005|今日はなんか、みんな用事があるからって、もう出ちゃったの
Ri06_04_006|はい、お味噌汁、温め直してあるから
Ri06_04_007|はい、どうぞ召し上がれ
Ri06_04_008|いってきま～す
Ri06_04_009|ううん……まあ、いいんじゃない？　こういうのは、言うことが大事なの
Ri06_04_010|そういうものなの
Ri06_04_011|ねえ、士道？
Ri06_04_012|今日の放課後、空いてるかな？
Ri06_04_013|じゃあ、今日も予約していい？
Ri06_04_014|本当に？　怒られない？
Ri06_04_015|十香ちゃんとか、琴里ちゃんとか？
Ri06_04_016|それなら良かった。実は……ちょっと、気にしてたんだ
Ri06_04_017|ほら、昨日のデート……私が倒れちゃったせいで　台無しになっちゃったし……
Ri06_04_018|ふふ……また、士道に心配されちゃった。　今日のデートは、昨日よりも楽しくなるといいね
Ri06_04_019|うん、わかってる。士道は心配性なんだから
Ri06_04_020|あ……えと…………
Ri06_04_021|う、うん。わかってる。勘違いなんて、しないよ？
Ri06_04_022|……………………
Ri06_04_023|士道、何やってるの？
Ri06_04_024|隠れてたの？
Ri06_04_025|士道ってば酷いこというなあ……でも、確かにそうかも
Ri06_04_026|士道はどこに行きたい？
Ri06_04_027|私は士道のプランにおまかせ
Ri06_04_028|うん！
Ri06_04_029|ええっと……士道は？
Ri06_04_030|……十香ちゃん、か…………
Ri06_04_031|ううん、私もそれがいいな
Ri06_04_032|いいのいいの！　ほら、行こう！
Ri06_04_033|士道が食べたいなら、私も食べたいかな
Ri06_04_034|うん、でも、それもおいしそうじゃない？
Ri06_04_035|焼きたてだから、おいしいかも
Ri06_04_036|じゃあ、私も。はむ……！
Ri06_04_037|ん、本当、おいしい。よかったね、士道
Ri06_04_038|どうしたの、士道？
Ri06_04_039|そうだね。きなこパンはまた今度食べに来ようね
Ri06_04_040|うーん、士道はしたいことないの？
Ri06_04_041|じゃあゲームセンターに出発！
Ri06_04_042|うん！
Ri06_04_043|はぁ～、涼しいね
Ri06_04_044|そうだね。私もたまに涼んでもいいかも
Ri06_04_045|え、そうなの？
Ri06_04_046|あ、うん……。実は初めてだったりして
Ri06_04_047|士道、どうしたの？
Ri06_04_048|ん、私は初めてでよくわからないから……それよりほら、　士道がいつもやってるのはどれなの？
Ri06_04_049|ふ～ん、あの箱の中のぬいぐるみを取るの？
Ri06_04_050|え？　私はいいよ。士道がやるのを見てるから
Ri06_04_051|ううん、私のことはいいから。士道は何か狙ってるの？
Ri06_04_052|あれかあ……確かに可愛いね。それじゃ私、応援してるから！
Ri06_04_053|うまく取れるといいね
Ri06_04_054|……お、惜しかったね！　リトライリトライ！
Ri06_04_055|頑張って士道！
Ri06_04_056|ざ、残念だったね……
Ri06_04_057|……し、士道？　いいの？
Ri06_04_058|……え？　どうして士道が謝るの？
Ri06_04_059|なんだ、そんなこと。別に私は平気だよ？
Ri06_04_060|うん。じゃあ、次はどこに行こうか？
Ri06_04_061|あとは？
Ri06_04_062|じゃあ、士道のお気に入りの場所に連れてって？
Ri06_04_063|じゃあ、そこでいい。そこがいい
Ri06_04_064|うん！
Ri06_04_065|そっか、高台公園なんだ
Ri06_04_066|ふふ……私も眺めていいのかな？
Ri06_04_067|うん、気をつける
Ri06_04_068|……本当にいい眺めだね。街を身近に感じるっていうか……
Ri06_04_069|うん、それに街にいたときより空気が涼しくて、気持ちいいね
Ri06_04_070|ん？　なあに？
Ri06_04_071|何の話……？
Ri06_04_072|あ……い、言っちゃ駄目だった？　私、わがままだったかな……
Ri06_04_073|……え？
Ri06_04_074|……
Ri06_04_075|……どうして駄目なの？
Ri06_04_076|士道が好きなことをするのは、どうして駄目なの……？
Ri06_04_077|――士道が楽しいと思うことは私の楽しいことなんだよ？　私は士道のやりたいことに付き合うだけで満足だよ？
Ri06_04_078|本当だよ？　本当に決まってるじゃない……！　どうして、そんなこと……言うの？　わかってくれるでしょ？　だって、私たちは幼馴染なんだから
Ri06_04_079|…………
Ri06_04_080|……うん
Ri06_04_081|士道……
Ri06_04_082|ねぇ、今ちょっと時間あるかな？
Ri06_04_083|う、うん……なんか、ごめんね？　今日とか、昨日とか……
Ri06_04_084|私、男の子とデートとか全然勝手わからなくって……
Ri06_04_085|そ、そうかな？
Ri06_04_086|――ねぇ、士道。明日も、その……デートしてくれる？　挽回したいんだ、しっかり者の私を
Ri06_04_087|うん……ありがとう
Ri06_04_088|じゃあ……また明日ね。おやすみ、士道
To06_04_001|あ、士道、十香ちゃん、おはよう
To06_04_002|ちゃんと起きれた？　どうせ起こされたんでしょ？
To06_04_003|ふふ、じゃあ、朝ごはんはちゃんと食べれたんだよね？　お弁当もちゃんと作ったの？
To06_04_004|え、そう？　お、おばさんくさかった？
To06_04_005|なに、士道？　もらってくれるの？
To06_04_006|もう……冗談だよ、冗談。　十香ちゃん怒るよ？
To06_04_007|ふふ……
To06_04_008|十香ちゃん……チャイムも鳴ったし、着席しないと駄目だよ？
To06_04_019|ふふ……なんだかみんないつもと違うみたい
To06_04_020|士道？　女の子は士道が思ってるより複雑なの。　もっとちゃんと見てあげないと。そういうの、凄く重要だよ？
To06_04_021|なんでもない。まったく士道はもぅ……
K06_05_002|良かった。ここにいるような気がしたんだ
K06_05_003|あはは……士道が家の前歩くの、見えたから。　どうしたのかなーって
K06_05_004|士道は、まだ決めてないんだね……
K06_05_005|誰かを守りたい、幸せにしたいって思ったら、ちゃんとその人を　大切に思い続けなきゃダメだよ？
K06_05_006|恋の話、だよ。悩み……違った？
K06_05_007|ほら。士道のことなら、私にだってわかるんだから。　ちゃんと選んであげなきゃ、女の子は可哀想だよ？
K06_05_008|大切な一人と一緒なら、それはきっと素敵な恋になるよ
K06_05_009|だから、『次』は頑張ってね。　……それじゃあ、おやすみなさい
Ko06_05_001|ごめんね、琴里ちゃんじゃなくて
Ko06_05_002|士道に、聞きたいことがあって
Ko06_05_003|そう、聞きたいこと。　士道は……決めたんだね
Ko06_05_004|琴里ちゃんを……支えてあげたいって
Ko06_05_005|……そっか。それが、士道の答えなんだね
Ko06_05_006|…………
Ko06_05_007|ねぇ、士道……私と約束、しよ？
Ko06_05_008|……これから先、琴里ちゃんを大切にするって。　何があっても、離さないって……約束して
Ko06_05_009|お願い、約束して欲しいの。　琴里ちゃんのことだけ考えるって……そうじゃないと、　きっと士道の心はいつか離れちゃうから
Ko06_05_010|お願い…………
Ko06_05_011|うん……士道なら約束してくれるってわかってた
Ko06_05_012|私、信じてるよ……士道のこと。　約束、忘れないで……破らないでね、絶対に
Ko06_05_013|……もし破ったら、その時はただじゃおかないよ？
Ko06_05_014|……そっか。ならいいの
Ko06_05_015|ふふっ……ごめんね
Ko06_05_016|でも……
Ko06_05_017|……大丈夫よね。　士道なら、大丈夫……きっと
Ku06_05_001|ごめんね、遅くに
Ku06_05_002|士道に、聞きたいことがあって
Ku06_05_003|そう、聞きたいこと。　士道は……決めたんだね
Ku06_05_004|時崎さんを……知りたいって
Ku06_05_005|……そっか。それが、士道の答えなんだね
Ku06_05_006|…………
Ku06_05_007|ねぇ、士道……私と約束、しよ？
Ku06_05_008|……これから先、時崎さんを大切にするって。　何があっても、離さないって……約束して
Ku06_05_009|お願い、約束して欲しいの。　時崎さんのことだけ考えるって……そうじゃないと、　きっと士道の心はいつか離れちゃうから
Ku06_05_010|お願い…………
Ku06_05_011|うん……士道なら約束してくれるってわかってた
Ku06_05_012|私、信じてるよ……士道のこと。　約束、忘れないで……破らないでね、絶対に
Ku06_05_013|……もし破ったら、その時はただじゃおかないよ？
Ku06_05_014|……そっか。ならいいの
Ku06_05_015|ふふっ……ごめんね
Ku06_05_016|でも……
Ku06_05_017|……大丈夫よね。　士道なら、大丈夫……きっと
Ori06_05_001|士道に、聞きたいことがあって
Ori06_05_002|そう、聞きたいこと。　士道は……決めたんだね
Ori06_05_003|鳶一さんを……支えてあげたいって
Ori06_05_004|……そっか。それが、士道の答えなんだね
Ori06_05_005|…………
Ori06_05_006|ねぇ、士道……私と約束、しよ？
Ori06_05_007|……これから先、鳶一さんを大切にするって。　何があっても、離さないって……約束して
Ori06_05_008|お願い、約束して欲しいの。　鳶一さんのことだけ考えるって……そうじゃないと、　きっと士道の心はいつか離れちゃうから
Ori06_05_009|お願い…………
Ori06_05_010|うん……士道なら約束してくれるってわかってた
Ori06_05_011|私、信じてるよ……士道のこと。　約束、忘れないで……破らないでね、絶対に
Ori06_05_012|……もし破ったら、その時はただじゃおかないよ？
Ori06_05_013|……そっか。ならいいの
Ori06_05_014|ふふっ……ごめんね
Ori06_05_015|でも……
Ori06_05_016|……大丈夫よね。　士道なら、大丈夫……きっと
Ri06_05_004|おはよう、士道
Ri06_05_005|……？　どうしたの士道？　私の顔に何かついてる？
Ri06_05_006|……？　もうまた寝ぼけちゃってるの？　早く起きて顔洗ってくること。ご飯できてるから
Ri06_05_007|士道ー？　支度できたー？
Ri06_05_008|ううん、大丈夫
Ri06_05_009|うん
Ri06_05_010|……
Ri06_05_011|…………
Ri06_05_012|ねえ、士道？
Ri06_05_013|今日も放課後、空いてるかな？
Ri06_05_014|ありがとう。それじゃ、午後はよろしくね？
Ri06_05_015|士道？　帰る準備、しないの？
Ri06_05_016|ほらほら、時間は有限なんだよ？　早く早く！
Ri06_05_017|今言ったでしょ？　時間は過ぎてくだけなんだよ？　そういうわけで、早く準備すること
Ri06_05_018|ん？
Ri06_05_019|ううん。悪いのは私……全部、私が悪いんだよ
Ri06_05_020|士道がそう言うなら……そうだ！　じゃあ、おあいこにしよ？
Ri06_05_021|ふふふ……
Ri06_05_022|……
Ri06_05_023|え？　あ、うん。　……ブランコとか滑り台とか、ベンチに落書きとか、ね？
Ri06_05_024|うんうん
Ri06_05_025|そうだね、大きくなっちゃうと、一緒にできてたことも　できなくなっちゃうし
Ri06_05_026|……え？
Ri06_05_027|そ、それは――ほら、やっぱりあれ、かな……？
Ri06_05_028|……やっぱりもう、駄目なのかも……
Ri06_05_029|ううん……士道ってば忘れっぽいところあるし、　もうずいぶん昔のことだから……仕方ないよ
Ri06_05_030|そんなことないってば。　もう……今日の士道は謝ってばっかり
Ri06_05_031|ほら、言ってるそばから。ふふ……
Ri06_05_032|はいはい。ふふ……やっぱり、士道といると楽しいなぁ……
Ri06_05_033|うん。ありがとね……
