003_01_00_005_24|だーかーらぁ～。　だーりんはこれから、私とデートするんですよ。デート
507_04_24_057_24|ハンカチですよぉ。　ほら、早く早くぅ
507_04_24_058_24|何言ってるんですかぁ？　あの女が触って汚れちゃったじゃないですかぁ。　私が捨てておいてあげますよぉ
507_04_24_059_24|だーめ、ですよぉ？
507_04_24_060_24|ハンカチなら私のをあげますからぁ。　それとも、なんですかぁ？
507_04_24_061_24|あの女のハンカチの方がいいなんて、言いませんよねぇ？
507_04_24_062_24|……本当に？
507_04_24_063_24|じゃあ貸してくださいねー
507_04_24_064_24|……これは私が処分しておきますねぇ
507_04_24_065_24|よかった。だーりんがわかってくれて、　本当に安心しましたよぉ
507_04_24_066_24|……ねぇ、だーりん
507_04_24_067_24|もし……浮気なんてしたら……
507_04_24_068_24|じゃあ、好きって言ってくださいー。　私のこと、ちゃんと『好き』って言ってくれたら、　今回のことは許してあげますー
507_04_24_069_24|……はい♪
507_04_24_070_24|世界で一番？
507_04_24_071_24|誰よりも……？
507_04_24_072_24|ふふ……だーりん……
507_04_24_073_24|私も……だいすきですぅ
507_04_24_074_24|そう……
507_04_24_075_24|やっぱりだーりんを誘惑してたんですねぇ、あの女……
507_04_24_076_24|もう、やっちゃうしかないですねぇ……
507_04_24_077_24|話？　話って、だーりんがどうやって籠絡されたかですかぁ？　ものすごぉく不愉快なんですけどぉ
507_04_24_078a_24|だいたいあの女最初から怪しいと思ってたんですよぉ……
507_04_24_078b_24|私のだーりんに近づいて私のだーりんをあの女　私のだーりんなのにあの女ああ今頃陰で笑ってますよぉ　憎らしい憎らしい今すぐころ
507_04_24_079_24|心配しないでくださいねー。　すぐに悪い虫から助けてあげますからぁ……
507_04_24_080_24|どいてくださいよぉ、だーりん。　あの女が殺せないじゃないですかぁ
507_04_24_081_24|だーりんに近づく虫は、ぜんぶ私が払ってあげますからねぇ……
507_04_24_082_24|だーりんは私のもの……私だけのだーりんですからぁ……ね？
507_04_24_083_24|……っ！？
507_04_24_084_24|……だーりん、今……何か言いましたかぁ？
507_04_24_085_24|本当ですかぁ？　言い逃れようとしてるんじゃないですよねぇ？
507_04_24_086_24|私、可愛いですかぁ？
507_04_24_087_24|……っ
507_04_24_088_24|……ふふっ
507_04_24_089_24|ふふふふふふふふふふっ
507_04_24_090_24|……だーりんが……私のこと、かわいいって……。　世界一愛してるって……もう一生お前だけを見つめてるって。　ほかの女とはもう二度と会話をしないって……うふふふ
603_19_03_004_24|うぅっ……おめでとうございます、だーりん……
607_11_24_001_24|だーりん、お待たせしましたー。　あなたの天使の美九ですよぉ
607_11_24_002_24|あれ、どうしましたぁ？　もしかしてわかりませんかー？　美九ですよぉ、だーりん♪
607_11_24_003_24|あ、ごめんなさいですー
607_11_24_004_24|もう、だーりんってば。　愛しい彼女のことがわからないなんて、　失礼しちゃいますー
607_11_24_005_24|そ・れ・で・も、　理解し合うのが恋人同士なんですぅ！
607_11_24_006_24|えー、どうしてですか？　むしろ私は人目に付く場所でこそ、　だーりんとイチャイチャしたいです。　この人が私の恋人なんですよぉ～って
607_11_24_007_24|もう……だーりんは私のお母さんかマネージャーですかぁ？　そんなことはだーりんがいちいち気にする必要ないんです！　さ、それより早く行きましょう
607_11_24_008_24|ほら、ほらぁ。　早く行きましょうー
607_11_24_009_24|いいんですよぉ。　私、だーりんのお家でゆっくりしたいです。　他の皆さんはよく行ってるんですよね？
607_11_24_010_24|むぅー
607_11_24_011_24|へえー。　そうなんですかぁ？　それだけですかー……ふぅん
607_11_24_012_24|わぁー。楽しそうでいいですねぇ
607_11_24_014_24|そ、そんなことないですぅ！　もう、だーりんの馬鹿！
607_11_24_015_24|それじゃあ、他の皆さんが見たことない場所……　そこを見せてくれますか？
607_11_24_016_24|いいんですぅ。　招かれて彼氏の部屋に通されるっていうのは、　彼女だけの特権なんですからぁ
607_11_24_017_24|はいっ！
607_11_24_018_24|はぁーい。わかりましたぁ
607_11_24_019_24|ええー、探さないで欲しいってことは、　探せばどこかにあるんですかぁ？
607_11_24_020_24|ねえ、だーりん。変なものってなんですかぁ？　どんなものがあるんですかぁ？　ねえ、だーりんってばぁ？
607_11_24_021_24|大人しくじっとしてたら、くつろげないですよぉ
607_11_24_028_24|……えっ、だ、だーりん？　あの、どうぞぉ？
607_11_24_029_24|あのぉ、似合いますかぁ？
607_11_24_030_24|もう、だーりんってば。　ちゃんと質問に答えてくれなきゃ駄目ですよぉ？　せっかくの彼女のあられもない格好なんですからぁ
607_11_24_031_24|本当に……本当にそう思ってますかぁ？　どれくらい綺麗です？
607_11_24_032_24|本当ですかぁ。　よかったぁ。私、嬉しいですー
607_11_24_033_24|誰かいるんですかぁ？
607_11_24_034_24|それなら何も問題ないじゃないですかぁ。　ここには私とだーりんしかいないんですから、　誰かに見られる心配はありませんよー？
607_11_24_035_24|うふふ、だーりんってばぁ。　自分に素直なんですからぁ。　もうちょっとだけですよぉ？
607_11_24_036_24|えー、どうしてですかぁ？
607_11_24_037_24|……あの、もしかして、だーりん。　こんな私のこと、嫌いになっちゃいましたか？
607_11_24_038_24|むぅ……。　だーりんがそういうのなら、仕方ないです
607_11_24_039_24|せっかくサービスしてあげようと思ったのに……
607_11_24_040_24|嬉しかったんですかぁ？　なら、やっぱり……
607_11_24_041_24|そうですかぁ。　それなら良かったですー
607_11_24_042_24|でもぉ、覚えていてくださいね。　こんな姿、見せるのはだーりんだけなんですから
607_11_24_043_24|そうしてください。　なんだったら、これ以上のことも……
607_11_24_044_24|もう、だーりんってば。　でも、そういうところがいいと思いますよー
607_11_24_045_24|あの、だーりん。　もしかして、嫌でしたかぁ？　こんな……
607_11_24_046_24|えっ、どうしたって。　どういうことですかぁ？
607_11_24_047_24|……やっぱり、だーりんには隠しごとはできませんね
607_11_24_048_24|あ、あのぉ。　笑わないで聞いてくれますか？
607_11_24_049_24|わ、私、だーりんのことがもっと知りたくて……。　それで……
607_11_24_050_24|ち、違うんですぅ。　だーりんの、昔のアルバムとか見たいなって思ってたら　だーりんの制服が目に入って
607_11_24_051_24|それで、だーりんの匂いがしたから、　この匂いに包まれたら、だーりんのことがもっとわかるかもって
607_11_24_052_24|お、おかしいですよね。　あの、私……
607_11_24_053_24|本当ですかぁ？　だーりん、嘘ついてませんか？
607_11_24_054_24|……！？　あ、あの、だーりん？
607_11_24_055_24|……はい。　嬉しいです。だーりん
607_11_24_056_24|まだ、もう少しだけ……
607_11_24_057_24|駄目ですぅ。　なんでも協力するって言ったんですから、　ちゃんと責任取ってください
607_11_24_058_24|あの、だーりん？　今なんて言ったんですかぁ？　よく聞こえなかったんですけどぉ？
607_11_24_059_24|少しふっくらした？　おかしいですよねぇ……さっきはもう少し、　違う言い方だったんじゃないですかぁ？
607_11_24_060_24|おかしいですよねぇ。　だーりんはテレビの中の私の方が、　現実の私より魅力的だっていうんですかぁ？
607_11_24_061_24|おかしいですよねぇ？　みんなのアイドルの誘宵美九が太るなんて　そんなことある訳ないじゃないですかぁ
607_11_24_062_24|そんなのおかしいですよ、だーりん
607_11_24_063_24|そんな酷いことをいうだーりんには、　お仕置きが必要だと思うんですよぉ
607_11_24_064_24|ふふ、はーい
607_11_24_065_24|わかってますよぉ。　今日はこうして一日、だーりんの家で過ごせて楽しかったです。　あんなこともこんなことも出来ましたし
607_11_24_066_24|だーりん、あーんってしてくれないんですかぁ？
607_11_24_067_24|えー、仕方ないですねぇ。　それじゃあ、次の機会には必ずですよぉ？
607_11_24_068_24|さっすがだーりん。大好きですー
607_12_24_001_24|あ、だーりん。こっちですー！
607_12_24_002_24|いえいえー、いいんですよぉ。　トラブルなら仕方ないですしー
607_12_24_003_24|むぅ、だーりんってば。　会っていきなりそれですかぁ？　もっと他に言うべきことがあるんじゃないですか？
607_12_24_004_24|――ちーがーいーまーすぅー！　それは仕方ないって言ったじゃないですかぁ
607_12_24_005_24|もう、だーりんったら本当に唐変木さんなんですからぁ。　信じられないですぅ。女の子がおしゃれしてるんですから、　出会い頭にちゃんと感想をいわないと、むー、ですよぉ？
607_12_24_006_24|でももだってもありません！
607_12_24_007_24|……不合格ですぅ。　なんですかそのとってつけた感じ
607_12_24_009_24|いいえー、だーりんが私を愛してくれているの……　十分過ぎるくらいわかりましたから。　それだけで、私すっごく幸せですー
607_12_24_010_24|だーりん……！
607_12_24_014_24|やーん、だーりんってば強引ですぅ！
607_12_24_015_24|もう、だーりんってば……いつも言ってますけど、　私はだーりんとのことなら、いつ誰に知られても大丈夫ですよ？
607_12_24_016_24|なんといってもだーりんは、　私が将来を約束した人なんですからぁ
607_12_24_018_24|本当ですかぁ？　私とのこと、真剣に考えてくれてますー？
607_12_24_019_24|私のこと、ずっと大事にしてくれるって約束してくれますか？
607_12_24_020_24|それじゃあ、二人の将来のことも……
607_12_24_021_24|もう、そんなのすぐですよぉ。　だーりんは細かいことを気にしすぎです
607_12_24_022_24|ええ、そうなんですー。　可愛い小物が沢山あるお店で、　このすぐ近くなんですよぉ
607_12_24_023_24|むう、だーりん誤魔化してないですかぁ？
607_12_24_024_24|……それもそうですね。わかりましたー
607_12_24_025_24|わあ、可愛い小物がいっぱい！　やっぱり来てよかったです
607_12_24_026_24|だーりん、だーりん！　こっちに来てください
607_12_24_027_24|むう、またそんな意地悪なこと言って。　ちょっと呼んだだけじゃないですかぁ
607_12_24_028_24|ほら、このコーヒーカップです。　ペアになってて可愛いと思いませんかぁ？
607_12_24_029_24|え、だーりん……それって、そういう意味です？
607_12_24_030_24|だってぇ、お揃いの食器を買うってことはぁ……　どういうときか、わかりますかぁ？
607_12_24_031_24|ふふ、恋人同士で同じ食器を使うのってロマンチックですよねー
607_12_24_032_24|あ、だーりん。こっちのお皿もどうですか？　可愛いですよー
607_12_24_033_24|あれ、今度は言ってくれないんですかぁ。　プレゼントするよって
607_12_24_034_24|えー、なんのことですか？　私はさっきも、何も言ってませんしー
607_12_24_037_24|そうなんですよ～。　彼ってば卒業したら一緒に暮らそうって　言ってくれてましてぇ
607_12_24_041_24|ほら、やっぱり！
607_12_24_042_24|でも、実際そのときが近づいて来ると、　彼……なかなか決意してくれないんですよぉ。　どうしたらいいですかぁ？
607_12_24_044_24|押しの一手……ですかぁ
607_12_24_046_24|なるほど……
607_12_24_047_24|ああん、だーりん。　酷いー！
607_12_24_049_24|もっとゆっくり見たかったですよぉ
607_12_24_050_24|堂々としてれば全然恥ずかしくなんてないですけどねー。　でも、仕方ないです。それじゃ、次に行きましょうかー
607_12_24_051_24|え？　えーっとー、なんのことですかぁ？
607_12_24_052_24|そんなことないですよぉ。　だーりんの気のせいですよ、気のせい♪
607_12_24_053_24|それよりも……私、今欲しいものがあるんです。　お願いしたら、買ってくれます？
607_12_24_054_24|私が買ったんじゃ意味がないんです。　……だーりんからのプレゼントでないと
607_12_24_055_24|駄目、ですかぁ……？
607_12_24_056_24|やっぱり、そうですかぁ。　高いものですし、簡単じゃないですよね……残念ですー
607_12_24_057_24|え、あ、ひゃい！　な、なんでもないですから……
607_12_24_058_24|ほ、本当になんでもないんです！
607_12_24_059_24|えっ……？　何がですかー？
607_12_24_060_24|だ、駄目ですよぉ！　ちゃんと聞いてました！　聞いてましたから！　ああいう大事なことは、何回も言ったら……
607_12_24_061_24|その、台無しじゃないですか！　大切なことは、一回だけ。だから、特別なんです……
607_12_24_062_24|はい、そうしてください
607_12_24_067_24|……ぷ、くく、あはは。　あは、あはははは！
607_12_24_068_24|だーりんってば、冗談に決まってるじゃないですか。　私だって、そんなに簡単に結婚できるとは思ってませんよー。　安心してください
607_12_24_069_24|ごめんなさい。　だーりんのことをちょっと困らせてみたかったんですー
607_12_24_070_24|でも、今は無理だとわかってて、　それでも結婚しようって言ってくれたら……　凄く、嬉しかったですけどねー？
607_12_24_071_24|いいえ。だーりんが私のこと、　真剣に考えてくれてるのがわかって嬉しかったです。　ありがとうございます。だーりん♪
607_12_24_072_24|まったくですよぉ……うふふ
607_12_24_073_24|あの、だーりん。　指輪の代わりに、一つお願いがあるんですけど、　いいですかー？
607_12_24_074_24|それは……
607_12_24_075_24|駄目ですかぁ？
607_12_24_076_24|はい。素敵ですー。　あのー、できれば何か台詞も添えてください
607_12_24_077_24|えー、それじゃあですねー。　王子様みたいに格好いい台詞をおねがいしますー
607_12_24_078_24|それはちょっと……
607_12_24_079_24|……はい。だーりん
607_12_24_080_24|ありがとうございます、だーりん。　すごく嬉しいです
607_12_24_081_24|えー、もうちょっとお願いしますー
607_12_24_085_24|ああん、だーりん。早いですよぉ！
607_13_24_001_24|みなさーん、こんばんはー！
607_13_24_002_24|だーりーん！
607_13_24_003_24|ふえ、テレビですかぁ？　今日のお仕事はもう終わりましたけどー？
607_13_24_004_24|あ、そうなんですー。　聞いてくださいよ、だーりん
607_13_24_005_24|このところ、お仕事が一気に増えたんですけどー。　もう、毎日毎日遅くまでお仕事なので大変なんですよぉ。　このままじゃ私……くたくたのよぼよぼになっちゃいますー
607_13_24_006_24|よーくーなーいーでーすー！　このままじゃだーりんと会う時間がどんどん減っちゃいます。　だーりん欠乏症になっちゃいますよー
607_13_24_007_24|たったじゃないですよ！　恋する女の子にとって、　好きな人に会えない一日は一万年よりも長いんですよ！
607_13_24_008_24|はい、思い立ったら止まらなくて
607_13_24_009_24|むぅ……。　知られたらなんですかー？　それは私がだーりんに会えないより大変なことなんですかー？
607_13_24_010_24|わーい、やったー！　だーりんのお墨付きもらっちゃいましたー。　それじゃあ、今日はこのままお泊りでー
607_13_24_011_24|えー。だーりんと朝までゆっくりお話したいのにー
607_13_24_012_24|……わかりましたー。　じゃあ、今度琴里ちゃんがいない時にお泊りさせてくださいね？
607_13_24_013_24|わーい、それじゃあ今日はだーりんに甘えるだけで我慢します
607_13_24_014_24|はーい、お邪魔しまーす
607_13_24_015_24|だーめーです。だーりんの部屋に入るのは彼女の特権！　この前そう言いましたよね？
607_13_24_016_24|はい、喜んでー。　うふふ、だーりん……
607_13_24_017_24|どこ見てるんですかー、だーりん？
607_13_24_018_24|そうですかー。　視線を感じたんですけどー
607_13_24_019_24|いいんですよ、しちゃっても……
607_13_24_020_24|だーりんだから特別です……ほら
607_13_24_021_24|はい、とっても気持ちいいです。　だーりんの膝の上
607_13_24_022_24|あー、とっても癒されますー
607_13_24_023_24|やっぱり、だーりんは最高ですねえ。　お仕事の疲れがあっという間に吹き飛んじゃいますー
607_13_24_024_24|だーりん、なんだってって言いましたー？　なんだって、してくれるってことですかー？
607_13_24_025_24|うふふふ。なんでも、なんでもしてくれるんですよね？　実は、だーりんにお願いしたいことがあるんですよ
607_13_24_026_24|はい、だーりんにマッサージしてもらいたかったんですー
607_13_24_027_24|[だーりんに*・・・・・]、してもらいたかったんです。　それに、だーりん以外の男の人には触って欲しくないですから
607_13_24_028_24|だーりん、早くぅ……
607_13_24_029_24|あはっ、くすぐったーい。　だーりん、もうちょっと強くー
607_13_24_030_24|あぁん。まだ全然ですー。　もっと強くぅ
607_13_24_031_24|んう、いいです。　そんな感じですぅ
607_13_24_032_24|だーりん？　ぼーっとしてないで、早く続きを……
607_13_24_033_24|……あぁん
607_13_24_034_24|えー、まだ始まったばっかりじゃないですかー。　だーりん、頑張って♪
607_13_24_035_24|うーん、もうちょっと下の方もお願いしますー
607_13_24_036_24|うぅーん。気持ちいいですぅ
607_13_24_037_24|ん、うぅ。　もうちょっと……
607_13_24_038_24|もうちょっと下を、触ってください
607_13_24_039_24|もうちょっと……もうちょっと下ですぅ……
607_13_24_040_24|えー、残念です。　もう少しだったのに……
607_13_24_041_24|駄目ですー。　もうちょっとだーりんといちゃいちゃしたいですぅ
607_13_24_042_24|んー、お任せします
607_13_24_043_24|ふふ、だーりんの好きな場所を触っていいんですよー？
607_13_24_044_24|足、ですかぁ？　もしかしてだーりんってば足フェチだったんですかぁ？
607_13_24_045_24|えー、本当ですかぁ。　すぐに理由が出てくるところが逆に怪しいです
607_13_24_046_24|もう、それじゃあ仕方ないですねー。　はい、お願いしますー
607_13_24_047_24|ふふ、そのまま好きにしてもいいんですよぉ？
607_13_24_048_24|ふふ、恥ずかしがらなくていいんですよぉ。　だーりんがしたいんだったら、特別に許してあげますから。　ほらー、素直になってくださいよー
607_13_24_049_24|あ、だーりん、そこは……！
607_13_24_050_24|あ、ちょっと、待って……あぁん！
607_13_24_051_24|きゃぁん！　だーりん、駄目、もっと優しくぅ！
607_13_24_052_24|も、もう、これ以上は……　駄目ですー！
607_13_24_053_24|定番ですねー。　わかりましたぁ
607_13_24_054_24|はーい、分かってますよー。　なんだかだーりん、マネージャーさんみたいです。　あるいは、お母さん？
607_13_24_055_24|はーい。　……ああ、いいですねえ
607_13_24_056_24|はい、ありがとうございましたー。　ふー、なんだか軽いですー
607_13_24_057_24|……？　まだなにかするんですかー？
607_13_24_058_24|あー、頭皮のマッサージですね
607_13_24_059_24|はい、気持ちいいです。　そのまま続けてください
607_13_24_060_24|はいー。わかりましたー
607_13_24_061_24|え、ふえ、えええ！？　な、なにしてるんですか、だーりん
607_13_24_062_24|ちょ、ちょ、駄目ですよ。突然匂いなんて嗅いだら
607_13_24_063_24|ふぇええ！？　や、やめてくださいー！？
607_13_24_064_24|女の子の匂いを突然嗅ぐなんて……　もうこんなことしちゃ駄目ですからねー
607_13_24_065_24|……もう。だーりんが好きなら仕方ないです。　次からはちゃんと先に断ってくださいねー。　だーりんになら、構わないですから
607_13_24_066_24|はいー、わかりましたー。　よろしくお願いします
607_13_24_067_24|え、ふえ……？　う、くく、あはは。　ちょ、だーりん、駄目です！
607_13_24_068_24|こ、これ、マッサージじゃないです。　こ、こんなの、駄目ぇ！
607_13_24_069_24|きゃうん！　そ、それ駄目です！　だ、だーりん。もう、許して
607_13_24_070_24|そ、そんなあ
607_13_24_071_24|えーっと、どうでしょう
607_13_24_072_24|は、はいー。　気持ちよかったですー
607_13_24_073_24|はい、だーりんのおかげでバッチリです
607_13_24_074_24|はい、ありがとうございますー
607_14_24_001_24|それじゃあ、琴里ちゃんは明日まで帰ってこないんですかぁ？
607_14_24_002_24|へえー、琴里ちゃんは今日いないんですねえー。　それじゃあ、今日は問題ないわけですよねえ
607_14_24_003_24|決まってるじゃないですか！　だーりんの家でお泊りですよ！！
607_14_24_004_24|落ち着いてなんていられないですよぉ！　だーりん、前に琴里ちゃんがいない時ならいいって　言ったじゃないですか
607_14_24_008_24|ご、ごめんなさい。　でもでも、だーりんのお家にお泊りしたいんですぅ
607_14_24_009_24|じー……！　約束したじゃないですかー
607_14_24_010_24|いやーん、だーりん。　大好きですー
607_14_24_011_24|わーい、やったやった
607_14_24_012_24|だって、お泊りですよ。　十香ちゃんもしたことがあるって聞いたことがありますよー？
607_14_24_013_24|はーい、わかりましたー。　あ、後でやっぱり駄目なんて、なしですからねー
607_14_24_014_24|えへへ。だーりん。　大好きですー
607_14_24_015_24|あ、あの、お邪魔します
607_14_24_016_24|は、はい！
607_14_24_017_24|な、なな、なんですか！　待ってください、だーりん。　まだ心の準備が！
607_14_24_018_24|……え？　あ、ス、スリッパですねー。　これはどうも、ご丁寧に
607_14_24_019_24|そ、そんなことないですよー。　元気全開です
607_14_24_020_24|わー、これ全部、　だーりんが用意してくれたんですか？
607_14_24_021_24|はい、だーりんが作ってくれたものなら、　なんでも食べられます！
607_14_24_022_24|あ、あのー……。　実は私も
607_14_24_023_24|夜食にと思って作ってきたんですけど
607_14_24_024_24|でも、ちょっと余計になっちゃいましたね
607_14_24_025_24|え、あの、だーりん。　それは後でもいいんですよー
607_14_24_026_24|ど、どうですか……？
607_14_24_028_24|はーい、いただきまーす！
607_14_24_029_24|はい。でも、とっても美味しかったですー
607_14_24_030_24|えー、もうですかー？　まだ八時ですよ。　お婆ちゃんじゃないんですから
607_14_24_031_24|……あ、あのだーりん。　それなら、ですね。ひとつお願いが……
607_14_24_032_24|ほ、本当になんでもいいんですか！？　だーりんに二言はありませんよね！？
607_14_24_033_24|なんでも言っていいんですねぇ？
607_14_24_034_24|あの、だーりん。　どうして目を閉じてるんですかあ
607_14_24_035_24|そうですかあ。　それじゃあ、ちゃんとこっちを見てください
607_14_24_036_24|どうかしましたかぁ？
607_14_24_037_24|えー、ゆっくり入りましょうよぉ。　まだ入ったばっかりじゃないですかー。　ちゃんと温まらないと、湯冷めしちゃいますよ？
607_14_24_038_24|あの、だーりん？　ちょっと聞きたいんですけどぉ……
607_14_24_039_24|お湯の出し方がわからないんですけどー
607_14_24_040_24|あのー、よくわからないんでー。　直接教えてくれませんかー？
607_14_24_041_24|あのー、早くー
607_14_24_042_24|わーい、ありがとうございますー
607_14_24_043_24|えー、だーりんのけちんぼー
607_14_24_044_24|あのー、だーりん？
607_14_24_045_24|背中、流してもらっていいですかー？
607_14_24_046_24|どうやったら背中と入浴剤を間違えるんですかー。　美九の背中、流してください
607_14_24_047_24|して、くれますかぁ？
607_14_24_048_24|それじゃあ、お願いします
607_14_24_049_24|そのスポンジで洗うんですか？
607_14_24_050_24|だーりんが直接手で塗り広げてくれてもいいんですよー？
607_14_24_051_24|ああん……だーりん、激しい……
607_14_24_052_24|だーりんが触ってくれた場所が、　すっごく熱いですー
607_14_24_053_24|ふふ、とっても上手ですよー。　すっごく気持ちいいです
607_14_24_054_24|はい、お願いします
607_14_24_055_24|だーりん？　どうしましたかー？　だーりん？
607_14_24_056_24|きゃ、きゃああ……？　え、あの、だーりん、だーりん！？
607_14_24_057_24|あの、ごめんなさい！　だーりん、私のせいで
607_14_24_058_24|だーりん、私こそごめんなさいですー。　私がわがままばっかり言ったからぁ
607_14_24_059_24|えっ？
607_14_24_060_24|だーりん……
607_14_24_061_24|うふふ。　それじゃあ、これはせめてものお詫びの気持ちです
607_14_24_062_24|あんまり動いちゃ駄目ですよ。　倒れたばっかりなんですから
607_14_24_063_24|はい、いいですよ。ゆっくり休んでくださいね、だーりん
607_14_24_064_24|そんなことないですよー。　だーりんは格好良くて、素敵な人です。　誰がなんと言おうと、私にはだーりんが世界で一番ですから
607_14_24_066_24|電気を消した後も……眠っちゃうまでお話していいですか？
607_18_24_001_24|だーりん、早く早くー。　こっちですよー
607_18_24_002_24|だって、今日はだーりんと会える日ですからね。　どんな疲れも吹き飛んじゃいますよ
607_18_24_003_24|どうしたんですか、だーりんってば。　ぼーっとしちゃって……考えごとです？　それともなにかいいことでもあったんですかぁ？
607_18_24_004_24|そうですねー。　私もだーりんのこと、いっぱい教えてもらいましたよ。　だから前よりもーっと彼女らしくなったと思いますぅ
607_18_24_005_24|えへへぇ……ねえ、だーりん。　美九はだーりんの彼女でいていいですか？
607_18_24_006_24|うふふ。嬉しいです。　これからもたくさん、だーりんのことを教えてくださいね
607_18_24_007_24|ええ、私のこともですかー？
607_18_24_008_24|だーりんこそ、なに言ってるんですか！　私の方がどんどんどんどんどんどんだーりんのことを　好きになってますからぁ！
607_18_24_009_24|ところです！　ぷんぷん！
607_18_24_010_24|ふふ……ふふふふふ
607_18_24_011_24|はいっ！　同じですー
607_18_24_013_24|だだだ、だーりん……？　こ、これ……なんだか変な感じですー
607_18_24_014_24|それなら、イベントやライブとかで……
607_18_24_015_24|そうですけどぉ……。　でも、ライブの映像を流す必要はないような……
607_18_24_016_24|もう、だーりんってば……！　あとで覚えておいてくださいねっ！
607_18_24_017_24|もしかしなくても、すっごく恥ずかしいですー！
607_18_24_018_24|それは、そうなんですけど……。　なんだか、だーりんに私自身を丸裸にされてるみたいで……
607_18_24_019_24|うー、そうなんですけどー。　それとこれとは話が全然違うというかぁ……
607_18_24_020_24|もう、だーりんのいじわるー。　少し調子に乗ってませんか？
607_18_24_021_24|もう、しょうがない人ですね……
607_18_24_022_24|今日のだーりんは特別いじわるですー。　もう、あんまり調子に乗ると、怒っちゃいますからね！
607_18_24_023_24|だーりん……！　……私も、だーりんの全部が……大好きですよ
607_19_24_001_24|だーりん、早く早くー。　こっちですよー
607_19_24_002_24|だって、今日はだーりんと会える日ですからね。　どんな疲れも吹き飛んじゃいますよ
607_19_24_003_24|どうしたんですか、だーりんってば。　ぼーっとしちゃって……考えごとです？　それともなにかいいことでもあったんですかぁ？
607_19_24_004_24|私はだーりんのこと、いっぱい教えてもらいましたよ。　だから前よりもーっと彼女らしくなったと思いますぅ。　どうですか、だーりん？
607_19_24_005_24|うふふ。嬉しいです。　これからも一杯、色んな事を教えてくださいね。　だーりん
607_19_24_006_24|そうですねー。お買い物をしてー、美味しいごはんをたべてー、　あと映画も見に行きたいです！　新しく始まったのがあってぇ……
607_19_24_007_24|なんの問題もありませんよぉ。　そのときは、だーりんが家までエスコートしてくれますから
607_19_24_008_24|そのときは、胸を張って紹介しますから。　この人が私のだーりんですって
607_19_24_009_24|いいんですー。むしろ、だーりんも取材慣れしておかないと。　『えー、五河士道さんはー、人気アイドルである誘宵美九さんの　どこを好きになったんですかー？』
607_19_24_010_24|取材の練習ですよ。　ちゃんと格好いい返事できるようにしておかないと、　いざバレたときに大変ですからー
607_19_24_011_24|駄目ですー。　いざというときはビシって決めてくれないと
607_19_24_012_24|………………ッ。　……やーん、だーりんってばー！
607_19_24_013_24|すっごく真っ直ぐで……嬉しくて
607_19_24_014_24|優しいところー、格好いいところー、　すごいところー、優しいところー……
607_19_24_015_24|いいい、いいんですぅ！　とにかく、私はだーりんの全部が好きなんです！
607_19_24_016_24|うふふ……嬉しい
607_19_24_017_24|だーりん、この手は離さないでくださいね？
607_19_24_018_24|はい、ちゃんと捕まえておいてくださいね
608_12_21_071_24|はぁい、だーりん。　おはようございますー
608_12_21_072_24|あれ、或守さんも学校ですかー？
608_12_21_074_24|うふふ。かわいいですー。　ねぇ、或守さん。今度私とお茶しませんかー？
608_12_21_076_24|はいー、ゆっくりたっぷりお話しましょー
608_12_21_077_24|んもう、だーりんったらヤキモチですかぁ？
608_12_21_078_24|ああん、だーりんのいけずぅ
608_15_21_014_24|あれー、だーりんも購買ですかー？
608_15_21_015_24|そうですね。初めてですー。　でも、聞いてたより人気がないんですねー
608_15_21_034_24|まあいいじゃないですか、だーりん。　ご飯が重要というのは確かですよぉ
608_21_21_044_24|だーりん、ひどいですー。家まで迎えに行ったら　もう出ちゃったって言われたんですよー？　それが或守さんと二人でデートしてるなんて
608_21_21_048_24|ランチは私と一緒するんですっ。　それで許してあげます、だーりん
608_22_21_009_24|はい、だーりん。あーんしてくださいー
608_22_21_017_24|あれー？　だーりん、もうおしまいですかー？
608_22_21_033_24|なんだかすごーく距離が近い感じですぅ
608_22_21_039_24|でも、それとだーりんと一緒に寝たことは、　話が別じゃないですかー？
608_22_21_050_24|ああん、だーりん。逃げても無駄ですよー
608_27_21_012_24|あ、だーりん、おまたせしました～
608_27_21_015_24|はーい。可愛い女の子の相手なら任せてくださいー
608_27_21_018_24|はいー、よろしくお願いしますねぇ。　鞠亜ちゃん
608_27_21_031_24|おー！
608_28_21_002_24|だーりん、あれを見てくださいー。　可愛い女の子が一杯いるメイドさんの喫茶店がありますよぉ。　ちょっと行ってみませんかー？
608_28_21_018_24|いつの間にそんなに食べて……十香さん、凄いですねぇ
608_28_21_023_24|あの～、提案なんですけどー。　まずは鞠亜さんのお洋服を見に行きませんか？　あんまり服は持っていないみたいですしー
608_28_21_026_24|はいはーい。　そういうことならー、　私がお気に入りのお店に案内しますー
608_28_21_028_24|うふふー、鞠亜ちゃんは素直で可愛いですねー
608_28_21_030_24|んー、何かいいましたぁ？
608_28_21_032_24|あは、あはははは……
608_28_21_034_24|あ、普通でつまんないって顔してますねー？　アイドルだって、普段は普通の女の子ですよー。　大事なのは自分に似合うかどうかなんですからー
608_28_21_042_24|そういうことなら任せてください。　私が鞠亜ちゃんをとびっきりかわいい女の子に、　コーディネートしてみせますー
608_28_21_045_24|はい、お任せくださいー。　鞠亜ちゃんに合わせるなら、やっぱりベースはワンピですかねー
