Ri02_06_001|士道、私は？
Ori02_05_011|一緒にお弁当を食べる。間違っている？
Ori02_05_012|なら、こっち
Ori02_05_013|そこの階段で食べる。ここなら二人きり
Ori02_05_014|そう。いただきます
Ori02_05_015|士道の、それ……欲しい
Ori02_05_016|その、大きいの。ちょうだい……？
Ori02_05_017|そう……ちょうだい？
Ori02_05_018|構わない。形はさほど重要ではないから
Ori02_05_019|早く。ちょうだい……
Ori02_05_020|はむ……っ、ん……んぐ……！　――しゅ、しゅごい……ひどうの……はん、ああぐ……っ！
Ori02_05_021|……ん……あぐ……んぐ……っ
Ori02_05_022|じゅるり。ごちそうさま。すごく、おいしかった……
Ori02_05_023|口に含んだ瞬間、中からいっぱい、汁が溢れた……
Ori02_05_024|士道の味がした……
Ori02_05_025|……
Ori02_05_026|ある
Ori02_05_027|いきつけのところ
Ori02_05_028|効果があったみたいだから。アロマキャンドルの補充
Ori02_05_029|商店街の路地をちょっと入ったところ。　『[邪香*じゃこう]』っていう看板の店
Ori02_05_030|ん……
Ori02_05_031|――あ。士道、ごめんなさい
Ori02_05_032|ん……
Ori02_05_033|もしもし……
Ori02_05_034|――え？　……精霊が？　了解！
Ori02_05_035|急用ができた。この埋め合わせはする
Ori02_05_036|駄目。士道は安全なところにいて……！
Ori02_05_037|く――ッ！
Ori02_05_038|……
Ori02_05_039|……士道、何故来たの？　私は危険な任務についている。　一緒に来ては、士道を危険に晒すことになる
Ori02_05_040|誤報……
Ori02_05_041|ここには何もなかった……
Ori02_05_042|……異常は認められない。調査任務、終了。戻る
Ori02_05_043|――ッ？　士道、さがって
Ori02_05_044|見つけた――[防性随意領域*プロテクト・テリトリー]展開！
Ori02_05_045|精霊……ッ！
Ori02_05_046|レイザーブレード！　〈ノーペイン〉！
Ori02_05_047|精霊は、私の『敵』。そして――
Ori02_05_048|士道を傷つけようとした報い。受けてもらう
Ori02_05_049|――ふッ！
Ori02_05_050|ハ――ッ
Ori02_05_051|[随意領域*テリトリー]、最大出力。展開！
Ori02_05_052|精霊なら見逃すわけにはいかない。　士道を襲った事実も変わらない
Ori02_05_053|ここで終わらせる――はぁッ！
Ori02_05_054|逃がさない――フッ！
Ori02_05_055|て、[随意領域*テリトリー]、解除。　はぁ……はぁ……はぁ……はぁ……
Ori02_05_056|問題……ない……はぁ……はぁ……
Ori02_05_057|……
Ori02_05_058|……士道？
Ori02_05_059|さっきから私の顔を見ている
Ori02_05_060|構わない。私はいつも見ている
Ori02_05_061|……？
Ori02_05_062|なに？
Ori02_05_063|なぜ？
Ori02_05_064|笑わない
Ori02_05_065|両親の[仇*かたき]を取るまでは
Ori02_05_066|この世に精霊が存在している限り……。　私は笑わない、笑えない
Ori02_05_067|いい……これは私の勝手
Ori02_05_068|……
Ori02_05_070|園神凜祢から、ここにいると聞いてきた
Ori02_05_071|そう
Ori02_05_072|士道？
Ori02_05_073|正直に答えて……今、何を考えていたの？
Ori02_05_074|……どうして？
Ori02_05_075|それは――
Ori02_05_076|士道……
Ori02_05_077|……
Ori02_05_078|構わない
Ori02_05_079|士道とデートできるなら、きっかけは重要ではないから
Ori02_05_080|約束はできない。すべてが片付くまでは
Ori02_05_081|士道……
Ori02_05_082|問題ない。士道とのデートは最優先事項
Ori02_05_083|了解。楽しみにしている
Ori02_05_084|士道？
Ori02_05_085|……やはり、園神、凜祢か
Ori02_05_086|強敵なのはわかっていた。初めから
Ori02_05_087|残念。的中してはならない予想が的中してしまった。　これで、何もかも終わり
Ori02_05_088|今日、ＡＳＴから正式に懲戒免職の処分が下った
Ori02_05_089|精霊も倒せなくなった上に、士道まで奪われた
Ori02_05_090|もはや生きる意味もない――さようなら。士道
Ri02_05_001|訂正すべき。士道の敵は、私の敵
Ri02_05_002|不思議。士道の暖かさも残っている気がする
Ri02_05_003|……さすが士道。いいことを言う
Ori02_06_001|……？
Ori02_06_002|私も今来たところ
Ori02_06_003|覚えている。夜刀神十香ともデートしていた日
Ori02_06_004|構わない。士道にも事情があったのなら仕方のないこと。　問題は今日のデート。過去のデートではない
Ori02_06_005|約束して。今日はどこにも行かず、私と一緒にいること
Ori02_06_006|……
Ori02_06_007|腕を組んでいる
Ori02_06_008|暑い？
Ori02_06_009|汗。すごい
Ori02_06_010|そう。映画館の中は涼しいから。急ぐ？
Ori02_06_011|構わない。士道と一緒に観られるなら。どんなものでも
Ori02_06_012|了解
Ori02_06_013|問題ない。私も今、食糧と水分を確保してきたところ
Ori02_06_014|……
Ori02_06_015|……？
Ori02_06_016|楽しかった。とても
Ori02_06_017|映画は悪くなかった。次はホラー映画がいい
Ori02_06_018|そういうわけではない。ホラー映画はチャンス
Ori02_06_019|ホラー映画は非常に怖い。　なので、見ている最中士道に抱きついてもそれは不可抗力。仕方　のないこと
Ori02_06_020|嫌い？
Ori02_06_021|……
Ori02_06_022|士道、どうしたの？
Ori02_06_023|悩みごと？　今日の士道、楽しそうじゃない
Ori02_06_024|……謝ったのは、認めたということ？
Ori02_06_025|私と一緒だと、楽しくない？
Ori02_06_026|……そうは見えない
Ori02_06_027|どういうこと？
Ori02_06_028|……。私は笑顔ではなくても、士道と一緒に映画を観れて楽し　かった。幸せだった。……それではダメなの？
Ori02_06_029|……けど？
Ori02_06_030|そう
Ori02_06_031|……士道といると、私は嬉しい。幸せ。ずっと士道と一緒がいい
Ori02_06_032|……でも、笑顔にはなれない
Ori02_06_033|……
Ori02_06_034|待っててくれれば……。精霊を全部倒したら、私は――
Ori02_06_035|どうして？　精霊が――あんな怪物がそんなに大切？
Ori02_06_036|わからない
Ori02_06_037|精霊は、私の大切なものばかり奪う。お父さんに、お母さんに、　そして今度は、士道まで……
Ori02_06_038|……なら、精霊じゃなくて、私を選んで！
Ori02_06_039|……
Ori02_06_040|……
Ori02_06_041|……
Ori02_06_042|そんなことはない。それは、買いかぶり
Ori02_06_043|そうじゃない。勝手に決めつけないで
Ori02_06_044|私の心は傷ついていない
Ori02_06_045|……嘘じゃないっ！
Ori02_06_046|っ！　そ、それは士道が……！
Ori02_06_047|――私は……私は精霊が憎い！　だから――ＡＳＴに入った。　精霊を倒すために……！　私の両親を殺した精霊を殺すために！
Ori02_06_048|そのために……そのためだけに生きてきた……！　５年前のあの日から――！
Ori02_06_049|だから……それが果たされる日まで、私は笑えない。　ううん、笑ってはいけない……！
Ori02_06_050|……士道が望むなら……私だって、笑いたい
Ori02_06_051|……笑ってみたい。士道のためなら、頑張れるから……。　士道のためなら――
Ori02_06_052|……？
Ori02_06_053|……！
Ori02_06_054|士道……
Ri02_06_001|士道、私は？
Ri02_06_002|構わない。〈ルーラー〉が精霊なら……無関係とは言えない
Ri02_06_003|私も――
Ri02_06_004|……言ったはず。士道が危険に首を突っ込むのを、　黙って見ているわけにはいかない
Ri02_06_005|それに、士道のサポートが夜刀神十香だけでは心許ない
Ri02_06_006|言葉そのままの意味。　あなたの幼稚園レベルの読解力には憐みすら覚える
Ri02_06_007|……士道がそういうなら
Ri02_06_008|池の取水塔で変な敵に襲われた。あそこも[要*かなめ]？
Ri02_06_009|私が行く
Ri02_06_010|あなたのためではない。士道のため。　それに、あの場所には少し、因縁がある……
Ri02_06_011|問題ない。もし市内全域がここと同じように無人なら好都合。　――とっておきを、取りに行く
Ri02_06_012|……士道、待ってて
Ri02_06_013|問題ない。むしろ一人のほうが動き易い。　精霊と一緒だと、手元が狂ってしまいそう
Ri02_06_014|五河琴里……私が士道の傍を離れる間、必ず守って。　危険な目に遭わせたら、許さない
Ri02_06_015|……
Ri02_06_016|……もう、始まっている。急がないと
Ri02_06_017|目標確認……！　これが、とっておき！
Ri02_06_018|はぁ――！
Ri02_06_019|く――やはり。個体をどれだけ倒しても無駄
Ri02_06_020|予想通り、増え続けている……
Ri02_06_021|……約束は、絶対に守る！
Ri02_06_022|塔ごと、消えてもらう……！　ミサイルユニット、全弾、座標固定！　〈ブラスターク〉！　同時展開準備！
Ri02_06_023|[随意領域*テリトリー]凝縮……。　〈ホワイト・リコリス〉、臨界駆動……！
Ri02_06_024|――討滅せよ！　〈ブラスターク〉！
Ri02_06_025|はぁ……っ、はぁ……っ、はぁ……っ、はぁ……っ
Ri02_06_026|や、やった？　く――！
Ri02_06_027|活動、限界……？　はぁ……っ、はぁ……っ、リコリスは、もう使えない……
Ri02_06_028|士道……私が行くまで、無事でいて……
Ri02_06_029|……士道、遅くなった。ごめん
Ri02_06_030|――！？　士道、後ろ！
Ri02_06_031|士道、私がサポートする。安心して欲しい
Ri02_06_032|士道、ごめん……な、さい……
Ori02_07_001|そうじゃない。勝手に決めつけないで
Ori02_07_002|私の心は傷ついていない
Ori02_07_003|……嘘じゃないっ！
Ori02_07_004|っ！　そ、それは士道が……！
Ori02_07_005|――私は……私は精霊が憎い！　だから――ＡＳＴに入った。　精霊を倒すために！　私の両親を殺した精霊を殺すために！
Ori02_07_006|そのために……そのためだけに生きてきた……！　５年前のあの日から――！
Ori02_07_007|だから……それが果たされる日まで、私は笑えない。　笑ってはいけない……！
Ori02_07_009|……構わない。なに、話って
Ori02_07_010|……なぜ？
Ori02_07_011|士道……いくらデートをしても、私は笑わない。笑えない
Ori02_07_012|………………
Ori02_07_013|戦争……？
Ori02_07_014|……
Ori02_07_014|……
Ori02_07_015|な、なに？
Ori02_07_016|構わない
Ori02_07_017|どうしたの？
Ori02_07_018|……？
Ori02_07_019|『試食スタンプラリー』？　それは何？
Ori02_07_020|それは誤解。街のイベントや機能をすべて把握するのは困難
Ori02_07_021|問題ない。士道が教えてくれれば
Ori02_07_022|了解
Ori02_07_023|……了解した
Ori02_07_024|これは、いつからやっているの？
Ori02_07_025|なるほど。把握した
Ori02_07_026|あそこ
Ori02_07_027|比較？　了解
Ori02_07_028|こっちが天宮市産
Ori02_07_029|瑞々しい
Ori02_07_030|３本
Ori02_07_031|試食までして、買わないのは人道に反する
Ori02_07_032|買わないの。タマネギ、ジャガイモ、ニンジン
Ori02_07_033|肉のブースならあっち
Ori02_07_034|豚肉と牛肉の食べ比べ
Ori02_07_035|店内配置は、ほぼ掌握済み
Ori02_07_036|……
Ori02_07_037|……そうかも
Ori02_07_038|士道？
Ori02_07_039|座って。お茶、持ってくる
Ori02_07_040|どうぞ
Ori02_07_041|……デート。もう終わり？
Ori02_07_042|そう。……ごめんなさい
Ori02_07_043|そんなことはない
Ori02_07_044|楽しかった。すごく……
Ori02_07_045|今日も、楽しかったのに……やはり私は、笑えなかった。　士道が頑張ってくれたのに
Ori02_07_046|笑いたいと思った。　けど、あの日の――５年前の私が、それを許してくれない。　だから……ごめんなさい
Ori02_07_047|……どういうこと？　さっき終わりって――
Ori02_07_048|……そうだった
Ori02_07_049|……？
Ori02_07_050|士道……？
Ori02_07_051|………………
Ori02_07_052|……
Ori02_07_053|……士道、それ。勘違いしてしまう。まるで――
Ori02_07_054|…………ッ！？
Ori02_07_055|士道……
Ori02_07_056|……
Ori02_07_057|……
Ori02_07_058|……？
Ori02_07_059|…………し、どう……
Ori02_07_060|……それは――
Ori02_07_061|……ぁ！
Ori02_07_062|……士道は、卑怯
Ori02_07_063|言える訳ない。駄目なんて……
Ori02_07_064|……だけどやっぱり、私は笑えないと思う
Ori02_07_065|……勝ち目はないと思う、この戦争。士道には
Ori02_07_066|……………
Ori02_07_067|……士道？
Ori02_07_068|……
Ori02_07_069|……士道
Ori02_07_070|……士道？
Ori02_07_078|………
Ori02_07_080|……士道？
Ori02_07_081|何か起こっているの？
Ori02_07_082|そう……
Ori02_07_083|行く
Ori02_07_084|わかっている
Ori02_07_085|でも、これは憎いから戦いに行くわけではない。　士道と私のため
Ori02_07_086|そう。私たちの、未来のため
Ori02_07_087|それでも士道が駄目と言うなら――
Ori02_07_088|…………
Ori02_07_089|士道……
Ori02_07_090|……約束
Ori02_07_091|士道、人気がない
Ori02_07_092|待って。正面から行くの？
Ori02_07_093|士道は士道のまま。どんなときでも……
Ori02_07_094|何でもない。行く
Ori02_07_095|……なに！？
Ori02_07_096|何者？
Ori02_07_097|士道。精霊……なの？
Ori02_07_098|[防性随意領域*プロテクト・テリトリー]展開！
Ori02_07_099|士道！　さがって！
Ori02_07_100|レイザーブレイド！　〈ノーペイン〉！
Ori02_07_101|く――！　これは！？　敵の霊力が、私の〈[随意領域*テリトリー]〉を侵食している！？
Ori02_07_102|し、士道――！　体の……自由が……！
Ori02_07_103|きゃ……！？　く――――ぁ……っ！
Ori02_07_071|……いいの？
Ori02_07_072|そう。……良かった
Ori02_07_073|……もう、待てそうにない
Ori02_07_074|すごく元気。誰かさんに似ている
Ori02_07_075|元気いっぱいで、生まれてきてくれると嬉しい。　私と士道の、幸せの証だから
Ori02_07_076|ふふ……
Ori02_07_077|ええ……この子の名前は……――
K02_00_001|何？
K02_00_002|お見舞い
K02_00_003|そう、面会謝絶がとけたと聞いて
K02_00_004|ベランダ
K02_00_005|問題ない。士道が口外しなければ
K02_00_006|……
K02_00_007|お見舞い
K02_00_008|具合が悪い時は、肌と肌で温め合うものと相場が決まっている
K02_00_009|……どうして？
K02_00_010|………………
K02_00_011|……
K02_00_012|そう。士道の言う通り
K02_00_013|……〈イフリート〉、今日はあなたと戦うために来たわけじゃな　い。士道のお見舞いは、それよりも重要
K02_00_014|……………………
K02_00_015|……士道？　なにを――
003_01_00_002_02|内容次第では、大変なことになる
003_01_00_006_02|今すぐ士道から離れて。でなければ――
003_01_00_016_02|その発言は認められない。　士道とデートするのは、恋人である私
003_02_01_005_02|今度と約束したなら今である必要はない。　十年後でも二十年後でも構わないということ。　士道は私を選ぶべき
003_02_02_001_02|士道ならそう言ってくれると信じていた
003_02_02_010_02|了解した
003_02_02_011_02|今のうちに……来て、士道
003_02_02_012_02|来て
003_02_02_013_02|ここならたぶん、誰にも見つからない
003_02_02_014_02|ふしだらなことをしていても誰も来ない
003_02_02_015_02|では、淫らなことを……
003_02_02_016_02|いかがわしいことを……
003_02_02_017_02|場所が違えばするということ？
003_02_02_018_02|それは残念……
003_02_02_019_02|宿題。せっかくだから済ませてしまう
003_02_02_020_02|そう。士道の言う本来の用途として正しい
003_02_02_021_02|任せて。士道にならなんだって教える
003_02_02_022_02|何？
003_02_02_023_02|問題ない。士道は私の机と教科書を使えばいい
003_02_02_024_02|その方がいろいろとはかどる
003_02_02_025_02|……
003_02_02_026_02|…………はぁはぁ。　……士道の……椅子……机……
003_02_02_027_02|問題ない。私と士道は付き合っている。　だから士道が普段温めている椅子の感触を味わって　いろいろと想像するのは当然のこと
003_02_02_028_02|士道にはこれまでいろいろな辱めを受けた。　下着を見られたり体操服のにおいを嗅がれたり　スク水に首輪の姿で公衆の面前で立たされたり……
003_02_02_029_02|でも、安心して欲しい。　私はこれらを恋人同士の愛情表現だと解釈している
003_02_02_030_02|だから士道。遠慮しないで普段私が使っている椅子に　顔をうずめてにおいを嗅いだりして構わない。　むしろ嬉しい
003_02_02_031_02|しないの？
003_02_02_032_02|わかった
003_02_03_005_02|士道。私にならば何をしても構わない。　他の女は捨てて私と一緒になるべき
003_02_03_007_02|私より大事な用とは、何？
003_02_04_005_02|そんなことはない。　士道は私と秘密の放課後を過ごす約束
003_02_05_005_02|待って士道。あなたの心はすでに決まっているはず。　思い出して……私に交際を申し込んだあの日のことを
003_02_10_005_02|逃走を確認――追撃する
003_02_11_005_02|違う。士道は私と同じ時間を共有する
003_02_24_005_02|不可解。　士道は恋人である私と放課後デートするべき
003_02_28_005_02|士道がデートするのは私。これは決定事項
003_02_28_017_02|私たちはまだ答えを聞いていない
003_02_28_031_02|士道。先程から何を話しているの？
003_02_50_005_02|士道は恋人である私とデートすることになっている
003_02_59_005_02|士道はあまり間食を好まないはず。　それよりも私と買い物をする方がいい
003_02_59_020_02|士道は過去にこのような行動をしている時期があった。　私は別に違和感を感じない
004_00_00_067_02|問題ない。　遅刻しそうなのでパンを咥えて走っていたら、　運命の出会いをしてしまっただけ
004_00_00_068_02|パンを咥えて走るのは、遅刻に付随する現象。　そして、その状態で曲がり角にて衝突することで、　私と士道は運命の出会いをしたことになる
004_00_00_069_02|そう、私たちは既に恋人。　だけど、恋人同士の間にも刺激は必要
004_00_00_070_02|この後、運命の再会をした二人は熱い時間を過ごす。　何なら、今ここでも構わない
004_00_00_071_02|そう。　では、当初の予定通り、　後ほど教室で再会することにする
004_00_00_072_02|待っている
007_00_00_063_02|到着した。ここで間違いない？
007_00_00_078_02|問題ないと言った。　士道が危険ならば、ここは迅速に行動するべき
008_00_00_006_02|……士道に危害を加えるなら、ただではおかない
008_00_00_009_02|士道。こっちに来て。　私の後ろに下がるのが賢明な判断
008_00_00_051_02|相手の要望をすべて受け入れるのが愛
010_02_00_038_02|……士道、おはよう
010_02_00_040_02|……こちらも問題ない。　私は士道の隣にいるために、ここに来た
010_02_00_042_02|…………
010_02_00_051_02|士道は私と昼食を共にするべき。　夜刀神十香のような、騒がしく手間のかかる付属物がいては、　消化の効率が低下し、健康に悪影響を与える
010_02_00_053_02|根拠が不明。　それが正しい情報なら、根拠を教えて欲しい
010_02_00_055_02|それは、あなたの視点であって、士道とは無関係。　よってそれは根拠にはならない
010_02_00_058_02|士道は優しすぎるだけ。　私は士道の精神と肉体の健康を重視している。　必要とあらば、メンテナンスも行なう意志はある
010_02_00_059_02|フィジカル、メンタルのチェックとケア。　マッサージや……それに、恋人同士でしかしないことも
010_02_00_064_02|その結論は早計。　夜刀神十香の妄想と言っても過言ではない
011_03_02_001_02|士道
011_03_02_002_02|よくわからない。　でも確か保健室で士道と話した記憶がある
011_03_02_003_02|その間、自分が保健室にずっといるという状況を　違和感なく受け入れていた。さきほど急に　意識が引き戻されて、ここで現実に立ち返るまでは
011_03_02_004_02|今のは夢とは違う……と思う。　ここが仮想世界であることが　何か関係しているのかも知れない
011_03_02_005_02|確かに不思議。　私も少し探ってみようと思う
013_05_02_001_02|今は争うよりも協力するべき。　それは理解しているから
013_05_02_002_02|士道のすべてを受け入れる。それが愛
013_05_02_003_02|そんなことはない。　士道が私の全てを受け入れれば、　彼女に愛を伝えることができるはず
013_05_02_004_02|考えておいて。私はいつでも準備ができている
013_05_92_011_02|士道
013_05_92_012_02|士道に聞きたいことがある
013_05_92_013_02|放課後に起きた現象について。　彼女は、あれで愛の育みについてのデータを取ったと言っていた
013_05_92_014_02|そのデータは一体どんなもの？　見当がつかない
013_05_92_015_02|そう……
013_05_92_016_02|私も同じ。　自分が保健室登校をしている生徒ということに、　一切違和感を覚えなかった
013_05_92_017_02|その可能性は高いかもしれない。　また起こるのだとしたら、その辺りも明確になるかもしれない
013_06_02_001_02|私は保健室登校だった。　保健室で休んでいたら、士道が来た
013_06_02_005_02|そう。どこからどう見ても普通の女の子だった
013_06_02_007_02|……下着を見られた。恥ずかしかった
013_06_24_002_02|士道。それは聞き捨てならない
015_02_00_040_02|クラスの環境が激変している。　危険が発生する可能性があるため、　士道はいつもよりも、私の近くにいるべき
015_02_00_041_02|より近くにいるべき。　具体的には、肩が触れ合うほどに身を寄せ合えばいい。　なんなら、私の膝の上に座るのでも構わない
015_02_00_042_02|では、私が士道の膝の上に座るプランにシフトする。　……それはそれで
015_02_00_043_02|万が一や、うっかり……ということもある。　そのための備え。問題ない
015_02_00_044_02|わかった。でも、大幅な妥協を強いられたことは伝えておく
015_02_00_046_02|それは無理な相談。　両脇を抑えられては、危機が発生した際、　士道の回避行動に支障が生じる
015_02_00_052_02|…………
015_02_00_062_02|時崎狂三。何をしているの？
015_02_00_064_02|士道の体脂肪率は７％。ここ一週間は、ややカロリーを多めに　摂っているため、普段より若干上昇している。　だから触り心地に関しては、まさに今、最適な状態
015_02_00_065_02|時崎狂三。その手を離して
015_02_00_067_02|その行動は宣戦布告と判断する
015_02_00_091_02|士道、夜刀神十香と共に食事をするのはおすすめできない
015_02_00_104_02|食事には毒味役が必要。　士道の食べるものは、私が毒味する。　安全の確保のためには、それが最適
015_02_00_111_02|それなら、私がやるべき。　毒味と兼任することで、効率的な運用が可能。　適切に咀嚼したものを口移しにすることで消化吸収も良くなる
015_02_02_001_02|……士道。今、また……
015_02_02_002_02|士道、ごめんなさい。　……少し、迷惑をかけてしまった
015_02_02_003_02|でも、覚えている以上、何も無しというわけにはいかない。　お詫びとして今度は士道が私を責めてくれていい
016_03_00_006_02|夜刀神十香は既に敗北していると言っていい。　これから作るメニューのことだけを考えていれば、　他の食べ物に気を取られることはないはず
016_03_00_007_02|中国には医食同源という言葉もある
016_03_00_022_02|浅い。この時点で既に勝負は決している
016_03_00_024_02|貴方は、ただ自分が食べたいものを選んでいるだけ。　それでは士道に食べさせる料理として、ふさわしくない
016_03_00_026_02|人には好みというものがある。　また、同じメニューを繰り返すと、飽きが来る。　私は士道の食事メニューをすべて把握している
016_03_00_028_02|夜刀神十香が食事をせびりに来るようになってから、　士道は夜刀神十香の好みに合わせ、肉類を増やしている。　本来の好みからはズレている……ということ
016_03_00_030_02|私なら、そこに並んでいるものからは選ばない
016_03_00_032_02|士道は現在、野菜の摂取が不足している……と考えている。　昨日、トイレの中でそう呟いていたから間違いない
016_03_00_033_02|だから、今夜のメニューは、野菜を中心とする。　肉コーナーしか見ていない夜刀神十香には、　食材選びの時点で既に勝利していると言っていい
016_03_00_036_02|……そんなものはありえない
016_03_00_038_02|夜刀神十香の食への執着は、異常なほど……。　なるほど、確かに油断はできない
016_03_00_046_02|士道の食生活、身長、体重、運動量……。　適切なビタミンとミネラルを摂取させる
016_03_00_052_02|イチジク、パイナップルは、消化酵素が含まれている。　ヨーグルトは整腸作用がある
016_03_00_053_02|私は、今日までの士道の食事、カロリーを計算していた。　しかし、この夕食そのものを計算に入れていなかった。　不確定要素を取り込んだ戦略的なメニュー
016_03_02_001_02|駄目。いくら士道でも手出しは無用。　これは真剣勝負だから
016_03_02_002_02|調味料
016_03_02_003_02|料理の極意は創意工夫にある。　既存の調味料の概念に囚われていては、見えないものも多い
016_03_02_004_02|残念ながら、士道がやって来る直前、　すでに一部投与している
016_03_02_005_02|これから隠し味で追加するところ
016_03_02_006_02|隠し味は秘密と相場が決まっている。　士道は向こうで完成を待っていて
016_03_02_007_02|問題ない
016_03_02_008_02|大丈夫。絶対に問題ない。安心して欲しい
016_03_90_004_02|正直、食べられる代物ではない。　夜刀神十香は失格と見なしていいレベル
016_03_90_006_02|野菜の煮物。黒ゴマソース和え
016_03_90_007_02|カロリー調整も完璧。元気が出てくるはず
016_03_90_008_02|ゴマだけに
016_03_90_009_02|問題ない。精力抜群
016_03_90_033_02|士道。それならば私も口に運ぶ。　先にこちらを食べるべき
018_01_00_067_02|ＡＭＭ。ミサイル迎撃ミサイルに間違いないはず
018_01_00_068_02|理解した。　かわりに或守鞠亜に要求がしたい
018_01_00_070_02|せっかくの仮想世界。　もっと私と士道が接近するイベントを発生させて欲しい。　その方が、貴方の要求にも近道のはず
018_01_00_072_02|期待している。年齢制限なら外してもらって構わない
019_02_91_036_02|わかった。　すぐ用意する。　少し待って
019_02_91_037_02|……士道が借りたいというから
019_02_91_038_02|欲しくないの？
019_02_91_039_02|そう……
019_02_91_040_02|それで、何？
019_02_91_041_02|質問？
019_02_91_042_02|そういうこと。　それなら、〈ハーミット〉が答えられることを聞けばいい
019_02_91_043_02|自分が質問をする、相手が答える。　士道は彼女にそういうことを体験させたいと考えている。　それならば、質問の内容に拘ることはないはず
019_02_91_044_02|士道……
019_02_91_045_02|構わない。　士道の頼みならいつでも歓迎する
019_02_91_046_02|或守鞠亜の知識は豊富。　だけど、それを活用する経験が不足している。　まず形から物事を理解するというのは、悪いことではないと思う
019_02_91_049_02|……どういたしまして
021_04_02_001_02|お帰りなさい、士道
021_04_02_002_02|士道の帰りを待っていた
021_04_02_003_02|士道はアイドルが好き？
021_04_02_004_02|そう、あまりに可憐で今すぐ結婚したくなった。　それなら今すぐにでも、誓いの証を立てる必要がある
021_04_02_005_02|問題ない。ちょっと聞き間違えただけ
021_04_02_006_02|……学校に残っていると聞いた。　迎えに行くの？
021_04_02_007_02|そう。なら、私も一緒に行く
021_04_02_008_02|学校は私の家に帰る通り道。　同行するのは合理的
021_04_02_009_02|ひたっ
021_04_02_010_02|人気のないの校舎……二人っきり……。　過ちは、すぐそこ……
021_04_02_011_02|或守鞠亜？
021_04_02_012_02|士道は優しすぎる。それは今回に限らない。　本当はもっと、士道には考えなければならないことがあるはず
021_04_02_013_02|でも、私は以前、士道に言った。　あなたの言うことを信じたい、と
021_04_02_014_02|だから、士道は士道の正しいと思うことをして欲しい。　私にも、それを見せて欲しい
021_04_02_015_02|ただし、それはそれとして浮気は許さない。　士道が良からぬ考えを起こす前に、　まずは既成事実を作るのは最優先事項
021_04_02_016_02|チッ……
021_04_02_022_02|……士道。　見つかったのなら、早急に帰宅すべき。　ついでに恋人の私を家まで送っていって
022_01_00_021_02|各種のビタミンやアミノ酸、ミネラルの配分がいい。　合理的な組み合わせ
022_01_00_023_02|タンパク質の摂取は必要。　それに、好みの具材、ということであれば――
022_01_00_030_02|夜刀神十香は何もしていない。　ただそこに座り、ひたすらに食べ続けているだけ
022_01_00_031_02|その点、私は食器の準備や飲み物を食卓に配膳する　作業を補佐した。士道は、私を撫でるべき
023_02_00_005_02|それならいい提案がある
023_02_00_006_02|私と士道がデートをする。　残りの者はそれを後ろから眺めている。　これで全員が参加できる
023_02_00_016_02|問題ない
023_02_00_024_02|士道、こっちも空いている。　なんなら私の膝の上でも……
023_02_00_046_02|歌う
023_02_00_047_02|わかった。　……隣に来て
023_02_00_048_02|そんなことはない。これは必須事項。　二人の呼吸を合わせるために、　お互いを近くに感じる必要がある
023_02_00_049_02|なんなら膝の上でも……
023_02_00_050_02|そう……？　別に私が士道の上でも構わない
023_02_00_051_02|……そう、わかった
023_02_00_052_02|曲は士道に任せる
023_02_00_053_02|構わない。大抵の曲は歌える。　好きに選んで……
023_02_00_054_02|――、――
023_02_00_055_02|ふう……。　士道とのデュエット、とても楽しかった
023_02_00_056_02|士道と一緒に昇り詰めて、最高だった
023_02_00_057_02|……最高だった
502_01_02_018_02|あっ！？
502_01_02_019_02|はぅぅ……
502_01_02_020_02|あ、あの……あの……。　ひっッ！？　ご、ごめんなさいっ
502_01_02_021_02|え……ッ！？　あぅ……わ、私……
502_01_02_022_02|……ッ……シ
502_01_02_023_02|……シャワーを、浴びてくる
502_01_02_024_02|は、はぅ……ッ！？
502_01_02_025_02|あ……あの
502_01_02_026_02|い……いつまで動かずにいればいい？
502_01_02_027_02|う……動いて、いいの？
502_01_02_028_02|……ひっ
502_01_02_029_02|ご、ごめんなさい……ッ！
502_01_02_030_02|うぅ……ん
502_01_02_031_02|いや……来ないで
502_01_02_032_02|あまり近づかれると……　私……恥ずかしい
502_01_02_033_02|少し足を滑らせただけ……問題はない
502_01_02_034_02|その、何？
502_01_02_035_02|あ……
502_01_02_036_02|見た……？
502_01_02_037_02|本当？
502_01_02_038_02|私の名前なら、スカートの中に名札があったはず
502_01_02_039_02|やっぱり、見た
502_01_02_040_02|えっち……
502_01_02_041_02|……大丈夫。もう目を閉じる必要はない
502_01_02_042_02|も、問題ない……
502_01_02_043_02|……知っている。　いつも見ていた……から
502_01_02_044_02|ここから望遠鏡で遠くを見たりする。　あなたのことは、よく覚えていた
502_01_02_045_02|……
502_01_02_046_02|もじもじ……
502_01_02_047_02|照れている表現
502_01_02_048_02|……あ、あの
502_01_02_049_02|そっちこそ……怪我、大丈夫なの？
502_01_02_050_02|な……なめろと、言うの……？
502_01_02_051_02|モノの例え？
502_01_02_052_02|そう……よかった
502_01_02_053_02|……ねぇ、五河くん。　なぜ、あなたは私を知っていたの？
502_01_02_054_02|私の名前も知っていたし……
502_01_02_055_02|そう……
502_01_02_056_02|……しぇ、先生に言われて、私を呼び戻ひに来ちゃの？
502_01_02_057_02|ご、ごめんなさい。　あまり人と話さないから……。　緊張して、うまく喋れていない
