Ri05_06_001|士道！　戻ってこれたの
Ko05_03_056|きゃーッ！！
Ko05_03_057|な、な、何を言ってるのよ！　このド変態がーっ！！
Ko05_03_058|い、一体、どういうつもりよ……！？
Ko05_03_059|……実験？　新ＡＩシステム？　神無月？　あ、あなたね……そんな実験に付き合って私を……？
Ko05_03_060|……新システムの開発をしたいっていうから許可したけど、　詳細を聞いてなかった過去の私を呪うわ……
Ko05_03_061|とりあえず、士道？
Ko05_03_062|次はないわよ？　覚えておきなさい
Ko05_03_063|ちょ……な、何いきなり脱ぎ始めてんのよ！？
Ko05_03_064|な、な、何を言ってるのよ！　この露出狂がーっ！！
Ko05_03_065|い、一体、どういうつもりよ……！？
Ko05_03_066|……実験？　新ＡＩシステム？　神無月？　あ、あなたね……そんな実験に付き合って私を……？
Ko05_03_067|……新システムの開発をしたいっていうから許可したけど、　詳細を聞いてなかった過去の私を呪うわ……
Ko05_03_068|……それで、ストリップを……選んだわけ？
Ko05_03_069|じゅ、充分迷惑かけてるじゃない……バカ……
Ko05_03_070|何よ、バカみたいに大口あけちゃって
Ko05_03_071|眠くなったなら、とっとと寝なさい。　明日だってあるんだから
Ko05_03_072|…………
Ko05_03_073|……何よ？
Ko05_03_074|別に……
Ko05_03_075|…………
Ko05_03_076|……そんなわけないでしょ
Ko05_03_077|……ただ、今はいつ他の誰かがリビングに入ってくるのか　分からないじゃない
Ko05_03_078|そうじゃなくて……。　こういうのって、やっぱり『けじめ』が大事じゃない？
Ko05_03_079|私たちは責任のある立場にいるんだから、　いつものぼせてるわけにはいかないの
Ko05_03_080|だから……デート中とそれ以外の時間では、　しっかり自分に区別をつける……それが『けじめ』よ
Ko05_03_081|その代わりと言ってはなんだけど……
Ko05_03_082|……次のデート、覚悟してなさいよね
Ri05_03_011|……今日、例の不安定だった強大な霊力に　大きな反応があったの
Ri05_03_012|精霊かどうかは、まだ断定できてないわ……
Ri05_03_013|一時的にだけど、今まで不安定だった霊波パターンが　安定方向に向かったの。ただ……
Ri05_03_014|最終的には……大きくひずんで、更に不安定になった状態よ
Ri05_03_015|ジ、エンドね――前にも言ったけど、　本当にユーラシア大空災の再来にもなりかねないわ
Ri05_03_016|一体、何が起こっているんでしょうね……
Ri05_03_017|……そうね。それを考えるのはこっちの仕事だし。早く、　この結界を解く方法を見つけないといけないわね。みんなで　仲良く木っ端微塵なんて事態だけは絶対に避けないと……
Ri05_03_018|――とにかく、想像していた以上に猶予がないのは確か。　どうにかして、この不安定な結界に閉じ込めた『敵』の尻尾を　掴まないと……
Ri05_03_019|士道、精霊たちの手綱を握っているのは、あなたなのよ。　くれぐれも、そっちで暴走を起こさないように　注意してちょうだい
Ri05_03_020|それじゃ、今日はもう休むわ
Ri05_03_021|ん。おやすみ、おにーちゃん
K05_03_002|……ッ！？
K05_03_003|この……ド変態がああああーーーーっ！！！！
K05_03_004|わかってるわよ。　わざとやってたら、その程度で済ますわけないでしょう？
K05_03_005|通報されて今頃、とっくに夜のワイドショーで　時の人になってるわよ。　親友の誰かさんがきっと引っ張りダコにされるでしょうね
K05_03_006|『これは洒落じゃなく、アイツはいつかやると思ってました。　だから常々、セクシャルビースト五河と呼んでたくらいですから。　でもまさか妹とそういうことになるとは……』とか言われて
K05_03_007|そうなりたくなかったら、ノックくらいしなさいよ。　ゼニイシだってもう少し考え深く生きてるわよ
K05_03_008|なによ？
K05_03_009|はぁ？
K05_03_010|ふん、士道に心配されるようじゃ、私も末期ね
K05_03_011|……私の身体は大丈夫よ。問題は違う方
Yo05_03_001|……ちょっと、落ち着きなさいよ、士道。　〈フラクシナス〉のクルーも、異常事態続きでピリピリしてるん　だから、あまり騒がないでもらいたいんだけど？
Yo05_03_002|外傷や病気で倒れたわけではないわ。　……こちらでモニターしていた霊力の数値が急に不安定に　なったの
Yo05_03_003|まだそこまでは行ってないけど……このまま放っておくと、　そうなりかねないわね
Yo05_03_004|原因不明よ。でも、この状況に不安を覚えるのも仕方がない。　様子を見るしかないわ。　あとはあなたがフォローしてあげて
Yo05_03_005|その自信が逆に不安なんだけど……まぁ、いいわ。　四糸乃は医務室にいるから、すぐに見舞いに行ってやりなさい。　刺激しないように注意しなさいよ
Yo05_03_006|まぁ、士道だったからこその部分もあるでしょうし、　結果オーライじゃない？
Yo05_03_006_02|でも、びっくりなオチね。精霊……というか四糸乃は人間と接触　がなかった分、ある意味子供みたいなものだし、仕方ないのかも
Yo05_03_007|でも、切り離せないのは確かだしね……。　士道ももう少し、注意してちょうだい
K05_04_003|誰が凜祢よ？
K05_04_004|何いつまでも寝てるのよ？　今日からあなたが、朝食の用意をするんじゃなかったの？
K05_04_005|来ないも何も自分で断ったんでしょ？　まったく……まだ本調子　じゃないくせに無理しちゃって。別に凜祢相手に格好つける必要　もなかったでしょうに
K05_04_006|……
K05_04_007|……まるで誰かさんみたいね
K05_04_008|なんでもないわ……で？　さっきから何ボーっと突っ立ってるわけ？　着替えもしないで、何様のつもり？
K05_04_009|それとも……可愛い妹に手伝ってもらいたいアピールなわけ？　士道、あなたとんだ変態ね
K05_04_010|それくらいわかってるわよ。わたしだって幼馴染なんだから……。　とりあえず、今はするべきことがあるんじゃないの？
K05_04_011|それでいいのよ……って、あ――っ！
K05_04_012|もうっ、士道がどんくさいせいで始まっちゃうじゃない！
K05_04_013|朝の占いに決まってるでしょ！
K05_04_014|んー……ぼちぼちってところかしらね
K05_04_015|いいでしょ別に。ちゃんとご飯も食べるし
K05_04_016|言っとくけど、これは頭を回転させるために必要な糖分を摂取し　てるだけよ？
K05_04_017|士道と違って、私は考えることが腐るほどあるんだから
K05_04_018|あなたの理解力が足りないのよ
K05_04_019|うるさい男は嫌われるわよ？　あ、天宮タワー映ってる。珍しいわね
K05_04_020|ま、話題を奪われちゃったってところかしらね。　もともと観光スポットとして訴求力が強かったわけでもないし
K05_04_021|え？　天宮タワーって言ったらモニュメントでしょ？
K05_04_022|一時期流行ったじゃない。　モニュメントの前で約束を交わしたカップルは　別れないとか幸せになるとかなんとか……
Ko05_04_001|あ、ちょっと待って
Ko05_04_002|……制服の襟、立ってるわよ
Ko05_04_003|ほら、貸しなさい。もう、だらしないんだから……
Ko05_04_004|……何考えてるのよ
Ko05_04_005|どうせ、またロクでもないこと考えてたんでしょ
Ko05_04_006|……ほら、出来た
Ko05_04_007|お礼なんて良いわよ。　……士道が格好良くしてないと、私だって恥ずかしいでしょ
Ko05_04_008|さあ、いってらっしゃい
Ko05_04_026|遅い！
Ko05_04_027|寄り道しないで、こんなに時間かかってるの？　まったく、行動一つ一つがノロマなんだから
Ko05_04_028|……士道
Ko05_04_029|そんなところに立ってないで、座りなさいよ
Ko05_04_030|さ、さあ……？　わ、私が帰ってきた時には、誰もいなかったわよ？
Ko05_04_031|……デート中なのに気にしてるの？　他の女の子のこと
Ko05_04_032|どうだかね……
Ko05_04_033|……ま、いいわ。　そこに座ってなさい。私がお茶淹れてきてあげるから
Ko05_04_034|私がやるって言ってるの！
Ko05_04_035|……ふん
Ko05_04_036|え？　……きゃぁっ！？
Ko05_04_037|う、うん……
Ko05_04_038|……でも、服は濡れちゃったわね……
Ko05_04_039|え……？　い、いいわよ……これくらい。　放っておけばそのうち乾くでしょ
Ko05_04_040|う……
Ko05_04_041|で、でも……
Ko05_04_042|だって……士道と二人なのに……
Ko05_04_043|せっかくのデートなのに、　そんなことに時間とっちゃうなんて――
Ko05_04_044|で、でも……
Ko05_04_045|え……？
Ko05_04_046|士道……今から入るから、後ろ向いてて
Ko05_04_047|…………
Ko05_04_048|……もうちょっと、そっち詰めて
Ko05_04_049|……なら、仕方ないわね
Ko05_04_050|……何よ、自分から提案したくせに。情けないったらないわね
Ko05_04_051|……だって、せっかく人払いまでしたのに……。　士道と一緒にいられないんじゃ意味ないじゃない
Ko05_04_052|……独り言よ
Ko05_04_053|……え？
Ko05_04_054|……そ、そんなこと覚えてるんじゃないわよ
Ko05_04_055|士道……
Ko05_04_056|士道が失礼なこと言うからでしょ！
Ko05_04_057|……それはそれで、ものすっごく、気持ち悪いわね
Ko05_04_058|何も言わないで、このままジッとしてなさい！
Ko05_04_059|……そう。……このまま……静かに、ジッと……
Ko05_04_060|……私？
Ko05_04_061|……あ、令音。　……うん、今日はありがと……無理言っちゃって
Ko05_04_062|……え？　十香と四糸乃が戻ってくる？　ど、どういうこと！？
Ko05_04_063|……あと数分って……ちょっと、令音……！？　あ……
Ko05_04_064|…………まぁ、そんなものよね
Ko05_04_065|……この状況を見られるのはまずいわね。　……士道！
Ko05_04_066|いつまで入ってるつもり！？　さっさと上がるわよ！
Ko05_04_067|……え？　……きゃぁっ！？　ど、どこ見てんのよ！
Ko05_04_068|はぁ……はぁ……ま、間に合ったみたいね
Ko05_04_069|お、お楽しみって……別に、そんな……
Ko05_04_070|し、知らないわよっ！
Ko05_04_071|…………
Ko05_04_072|……あら、士道？
Ko05_04_073|……空を……見てたの
Ko05_04_074|そう……移り変わる雲の姿を見てるとね……色んなモヤモヤが　溶けて消えてくような気になるのよ……
Ko05_04_075|そうね……でも、投げ出すわけにも行かないから……
Ko05_04_076|……え？
Ko05_04_077|そ、そんなこと……
Ko05_04_078|ふん……士道のくせに、言うじゃない
Ko05_04_079|士道に言われなくたって、そんなことわかってるわよ！　あなたが勝手な気を回さなくたって、すぐに元通りなんだから！
Ko05_04_080|勝手なんだから……もう
Ko05_04_081|それじゃ私、〈フラクシナス〉に戻るから！
Ko05_04_082|休めるなら、とっくに休んでるわよ！　それができないから、こうやって一息ついてるんでしょうが
Ko05_04_083|まったく……あなたはいっつもいっつも、余計なお世話が多いん　だから
Ko05_04_084|……帰るわ
Ko05_04_085|……なによ？
Ko05_04_086|はあ？　まだ、そんなこと言ってるの？　何がそんなに気になるってのよ？
Ko05_04_087|私が……？　こんな夜に？
Ko05_04_088|それはもしかして……。　遠まわしに私を夜のデートに誘っているってこと？
Ko05_04_089|で、デートがしたいなら、初めからそう言えばいいじゃない……。　別にイヤなんて言わないわよ……
Ko05_04_090|わかったわ……ちょっと着替えてくるから、待ってて
Ko05_04_091|…………
Ko05_04_092|……ほら、やっぱり何もないんじゃない。　この忙しい時に無駄足させて……どうしてくれるのよ？
Ko05_04_093|士道、離れてっ！
Ko05_04_094|どういうことっ！？
Ko05_04_095|士道っ！！
Ko05_04_096|……もしかして、警告してるのかしら？　私たちに近づくな……って
Ko05_04_097|士道っ！！
Ko05_04_098|そこを動かないで！　士道！　……〈[灼爛殲鬼*カマエル]〉！
Ko05_04_099|【[砲*メギド]】！
Ko05_04_100|くっ……！！
Ko05_04_101|…………
Ko05_04_102|……大丈夫よ。　士道も……無事みたいね
Ko05_04_103|べ、別に……あんな状況になったら、　対抗するしかないじゃない！
Ko05_04_104|……相当に強い力を感じたわ……ただ事ではないわね
Ko05_04_105|そうね……あなたの予感も捨てたものじゃないかもしれないわね
Ko05_04_106|なに馬鹿なこと言ってるのよ……でも、残念ながらお手柄よ。　〈フラクシナス〉に連絡して、早急に調べてみるわ
Ko05_04_107|そうね……今日は帰りましょう。　次の機会に、来ればいいのよ
Ko05_04_108|ん……約束……
Ku05_04_001|……で？
Ku05_04_002|……結果良ければ全て良しってわけ？
Ku05_04_003|ふざけるんじゃないわよ、馬鹿兄が！
Ku05_04_004|私に黙って、なに勝手なことしてるのよ！　何かあったら、どうするつもり！？
Ku05_04_005|自分の身体のことわかってるの！？　今は私の力がないの！　それは再三言ってるでしょう！！
Ku05_04_006|……まあ、無事だったのは何よりだけどね……
Ku05_04_007|そのモニュメントはすぐに調査させるわ。だけどね――
Ku05_04_008|――あなたの勝手な行動で、精霊たちが暴走する可能性だって　あるわ。　だから、今度は必ず相談しなさい
Ku05_04_009|わ、わかればいいのよ。　天宮市を覆ってる広域結界との因果関係はありそうだけど……。　まぁ、結果がでないことにはわからないわね
Ku05_04_010|ええ。これで少しは進展するかしらね……この件に関してはこっ　ちに任せなさい。　士道は引き続き、精霊たちのこと、頼むわよ
Ku05_04_011|あと、最近狂三と行動しすぎよ。　わかってるとは思うけど、狂三は危険よ。　今は大丈夫かもしれないけど、もう少し注意しなさい
Ori05_04_002|……で？
Ori05_04_003|……結果良ければ全て良しってわけ？
Ori05_04_004|ふざけるんじゃないわよ、阿呆兄が！
Ori05_04_005|私に黙って、なに勝手なことしてるのよ！　何かあったら、どうするつもり！？
Ori05_04_006|自分の身体のことわかってるの！？　今のあなたには私の霊力がないの！　それは再三言ってるでしょう！！
Ori05_04_007|……まあ、無事だったのは何よりだけどね……
Ori05_04_008|そのモニュメントはすぐに調査させるわ。だけどね――
Ori05_04_009|――あなたの勝手な行動で、精霊たちが暴走する可能性だって　あるわ。　だから、今度からは必ず相談しなさい
Ori05_04_010|わ、わかればいいの。天宮市を覆ってる広域結界と、　何らかの因果関係はありそうだけど……。　まぁ、結果がでないことにはわからないわね
Ori05_04_011|ええ。これで少しは進展するかしらね……。　この件に関してはこっちに任せなさい。　士道は引き続き、精霊たちのこと、頼むわよ
Ri05_04_001|入るわよ？
Ri05_04_002|何よ、『も』って？
Ri05_04_003|一応、士道に伝えておこうと思って
Ri05_04_004|今日の分析で奇妙なことがわかったわ
Ri05_04_005|私たちが追ってる霊波反応だけど……昨日と今日、　ある特定の時間帯にぐっと不安定になったの。　その霊波パターンの歪み具合もほぼ一致してる
Ri05_04_006|だいたい十六時前後ね……
Ri05_04_007|今、その霊波パターンのデータを中心に、　令音に詳しく分析してもらってるんだけど……不思議なのよね
Ri05_04_008|似てるのよ……デート中の精霊の精神グラフに――
Ri05_04_009|それも、失敗したデートのものにね
Ri05_04_010|奇妙でしょ？　私も分析しているうちに、まるで精霊のデートを　モニタリングしているみたいな気分になったわ
Ri05_04_011|誰かさんと一緒にしないで。そこまで間抜けじゃないわ
Ri05_04_012|それくらい自分の胸に聞きなさいよ
Ri05_04_013|いい？　〈フラクシナス〉には過去の精霊攻略の時、　あなたがデートで失敗した時のデータも保存してある
Ri05_04_014|あなたと精霊の失敗したデートのデータと、昨日と今日の　霊波パターンのデータを分析したら……ビンゴだったわ
Ri05_04_015|何よ？　何か心当たりでもあるの？
Ri05_04_016|まぁいいわ……私たちはこのまま分析を続ける。　だから――
Ri05_04_017|そう、わかってるならいいわ。　それじゃ、私は寝るわね。おやすみ
To05_04_025|……じゃ、私もいただくわね。　士道、ちょっとテレビつけてくれない？
To05_04_026|あれ、天宮タワーじゃない。　そろそろ見納めだから、特集でもしてるのかしら
To05_04_027|何よ？　どうしたの？
To05_04_028|観光スポット化が気になるの？　士道ってわりとミーハーよね
To05_04_029|モニュメント？　まあ、デートの待ち合わせ場所としては悪くないんじゃない？
To05_04_030|……じゃあ、何よ？
To05_04_031|……モニュメントが変な感じって、　それだけじゃわけわかんないわよ
To05_04_032|ちょっと士道……どういうことよ？
To05_04_033|ふぅん……士道が知らないうちに十香を怒らすようなこと　言ったんじゃないの？
To05_04_034|それに、例えばそのモニュメントには、　そういうイルミネーションが仕込んであったとかかもしれないわ
To05_04_035|なるほどね……そういう可能性もあるのか……
To05_04_036|もしかしたら、見晴らし台と同じかもしれないわね……
To05_04_037|よしのん、その手の話はこの阿呆兄にいくら言っても犬に論文、　兎に祭文、不毛の極みよ
To05_04_038|まあ、一言で言えばお人よしが裏目に出るタイプというか、　悪気がない分、[性質*たち]が悪いのよね
To05_04_039|もっとも……こんなお人よしだからこそ、　みんな士道に惹かれるんだろうけど……
To05_04_040|――と、とにかく、士道が見たっていう光の情報も、　一応探ってみるわ
To05_04_041|なによ？　まだ何かあるの？
To05_04_042|……はぁ。前言撤回ね。　あなた、何言ってるの？　ほんとに頭大丈夫？
To05_04_043|…………そうね
To05_04_044|……これは、思いのほか重症ね。　一度本部で本格的な検査してもらった方がいいかもしれないわ。　いい？　あのモニュメントは――
To05_04_045|あのモニュメントは、確か……
To05_04_046|そう、新天宮タワーの建設が始まったころよ。　さっきテレビでもやってたでしょ。そこそこ前の話だけど、　当時は結構話題になってたじゃない？
To05_04_047|新天宮タワーの工事が始まったのは一昨年ね。　……本当にどうかしちゃったの？
To05_04_048|ほんの数日前まで、高熱で三日も意識不明だったんだもの。　ただでさえ、崩れやすい士道のプリン脳が、　沸いてしまったとしても仕方ないわね……
To05_04_049|いいんじゃない、行ってくれば？　プリン体の脳でも、そこそこのデートはできるでしょうから……
To05_04_050|そっちの方が血流悪そうで、真に迫ってると思うけど？
To05_04_051|わ、私は行きたいなんて言ってないけど？
To05_04_052|……まぁ、士道一人じゃ心もとないって言うなら、　付き添いがてら行ってあげなくもないけどね……
To05_04_053|わ、わかったわよ……
To05_04_054|ところで士道、気が付いてる？
To05_04_055|ご飯食べ終わってないの、もうあなただけよ？
To05_04_056|……で？
To05_04_057|……結果良ければ全て良しってわけ？
To05_04_058|ふざけるんじゃないわよ、この阿呆兄が！
To05_04_059|私に黙って、なに勝手なことしてるのよ！　何かあったら、どうするつもり！？
To05_04_060|自分の身体のことわかってるの！？　今は治癒の炎が失われてるのよ！？　それは再三言ってるでしょう！！
To05_04_061|……まあ、無事だったのは何よりだけどね……
To05_04_062|そのモニュメントはすぐに調査させるわ。だけどね――
To05_04_063|――あなたの勝手な行動で、精霊たちが暴走する可能性だって　あるわ。　だから、今度からは必ず相談しなさい
To05_04_064|わ、わかればいいの。　天宮市を覆ってる広域結界と、何らかの因果関係はありそうだけ　ど……まぁ、結果がでないことにはわからないわね
To05_04_065|ええ。これで少しは進展するかしらね……この件に関してはこっ　ちに任せなさい。　士道は引き続き、精霊たちのこと、頼むわよ
Yo05_04_001|……で？
Yo05_04_002|……結果良ければ全て良しってわけ？
Yo05_04_003|ふざけるんじゃないわよ、阿呆兄が！
Yo05_04_004|私に黙って、なに勝手なことしてるのよ！　何かあったら、どうするつもり！？
Yo05_04_005|自分の身体のことわかってるの！？　今のあなたには私の霊力がないの！　それは再三言ってるでしょう！！
Yo05_04_006|……まあ、無事だったのは何よりだけどね……
Yo05_04_007|そのモニュメントはすぐに調査させるわ。だけどね――
Yo05_04_008|――あなたの勝手な行動で、精霊たちが暴走する可能性だって　あるわ。　だから、今度は必ず相談しなさい
Yo05_04_009|わ、わかればいいのよ。　天宮市を覆ってる広域結界との因果関係はありそうだけど……。　まぁ、結果がでないことにはわからないわね
Yo05_04_010|ええ。これで少しは進展するかしらね……この件に関しては　こっちに任せなさい。　士道は引き続き、精霊たちのこと、頼むわよ
Ko05_05_001|……士道
Ko05_05_002|士道、起きなさい
Ko05_05_003|報告があるの。朝食前に少し時間もらうわよ
Ko05_05_004|どっちかじゃないわ。両方よ
Ko05_05_005|あのモニュメントに近づいた時、　それを妨害するかのように天使のようなモノが現れた
Ko05_05_006|ならそれは、セットで考えた方が自然よ
Ko05_05_007|断定するには材料が少なすぎるわね。　……観測数値の記録だけで言えば、精霊に酷似しているのは確か
Ko05_05_008|数値上は、精霊のそれに限りなく近い存在ってこと。十香たちの　ような自由意思のある精霊とは別種の存在だろうけど……
Ko05_05_009|……士道の脳が、アザミウミタマゴバチより少なかったとしても、　それぐらいの想像力は持っててほしいわね。人として
Ko05_05_010|――もういいわ。とにかく、霊力で生成された存在であることは　間違いない
Ko05_05_011|ゲーム的に言うと、『ゴーレム』とか、『ガーディアン』とか　……そんな感じね
Ko05_05_015|ええ、そこまではさすがにね。　だけど……少なくとも、結界に関わってそうなのは確かよ
Ko05_05_017|あのモニュメントから微弱に出ている霊波パターンの波形……天　宮市を包む広域結界と重なるのよ
Ko05_05_018|規模が違いすぎて、危うく見落とすところだったけどね。　思いつきで試してみたらぴったり一致したの
Ko05_05_019|結界とモニュメント、二つの存在は密接に関係しているわ。　要するにね、結界もモニュメントも『ガーディアン』も、　全部根源は同じである可能性が極めて高いのよ
Ko05_05_020|これが指し示す答え――あのモニュメントは結界を支える足場に　間違いないわ
Ko05_05_021|それで上手く行くならもうやってるわよ。　残念ながら、これはそんな簡単な話じゃないわ
Ko05_05_022|…………勘がいいわね、その通りよ。　この天宮市のどこかに、あのモニュメントのように擬態化してる　別の[要*かなめ]があるはず
Ko05_05_023|ええ、まだまだ先は長いわ。けどね士道、それを調べるのはこっ　ちの仕事よ。士道はデートを優先してちょうだい
Ko05_05_024|もちろん、何か気が付いたことがあったら報告して。　でも、それ以上はダメよ……わかった？
Ko05_05_025|解析がうまく進んで、『敵』の根城もわかってくれれば楽なんだ　けど……
Ko05_05_026|それを作った親玉のことよ。結界で私たちを閉じ込めておきた　がってる何者か……って、もうこの話は終わり！　あなたはあなたのするべきことをしなさい！
Ko05_05_027|念押ししておくけど、今のあなたは不死身じゃない。絶対に無茶　はしないでちょうだい
Ko05_05_028|本当……心配で令音より寝不足になりそうだわ……
Ko05_05_029|な、なんでもないわよ！
Ko05_05_030|朝ごはん、できた？
Ko05_05_031|あれ……十香はどうしたのよ？
Ko05_05_032|あの十香が……朝食も食べずに出てったっていうの……！？
Ko05_05_033|ふ～ん……
Ko05_05_034|なんでもないわよ。ま、そのうちわかるわ
Ko05_05_035|うん……そうよね。　確かにこの範囲に反応があったわけで……。　だとすると、ここから、ここまでの地域が……
Ko05_05_036|……あら、士道？
Ko05_05_037|…………
Ko05_05_038|……え？　ああ……今〈フラクシナス〉で調べてることについてよ
Ko05_05_039|もう少しで、大きな手掛かりがつかめそうなんだけど……
Ko05_05_040|はぁ……なかなか思うようにはいかないわね
Ko05_05_041|……ええ、まあ疲れてないって言えば嘘になるけど……
Ko05_05_042|仮に大丈夫じゃなかったとしても、休んではいられないしね
Ko05_05_043|……心配してくれてるの？
Ko05_05_044|……そ。ありがと
Ko05_05_045|あら、そうなの？　悪いわね……ちょっと立てこんでて、見てなかった
Ko05_05_046|そうね……午後からは〈フラクシナス〉に行くか、　ここで作業を続けるかね……
Ko05_05_047|ええ……
Ko05_05_048|ええ、またね士道……私も、そろそろ中学校に戻らないと
Ko05_05_049|…………
Ko05_05_050|……ん？　あ、士道
Ko05_05_051|何？　また令音に用？
Ko05_05_052|けど、何よ？
Ko05_05_053|あ……ああ、そうね。悪いけど……
Ko05_05_054|…………
Ko05_05_055|……待って
Ko05_05_056|……やっぱり行くわ。デート
Ko05_05_057|行くったら行くって言ってるの！
Ko05_05_058|どうせ煮詰まってたところだし……。　ちょっとくらい、気分転換も必要なのよ
Ko05_05_059|ええ、行きましょ
Ko05_05_060|……うん
Ko05_05_061|……え？　あ、ああ……ごめん。何？
Ko05_05_062|そうね……士道が食べたいもの、食べましょ
Ko05_05_063|ええ、特にこれといって……
Ko05_05_064|あれって……屋台のたい焼き？
Ko05_05_065|ええ
Ko05_05_067|……大きな声、出さないで。頭に響くから……
Ko05_05_068|……正直、ちょっとつらいかも。横になりたいけど……
Ko05_05_069|ごめん……もう少し、こうさせてて……
Ko05_05_070|大丈夫よ。大丈夫だから……
Ko05_05_071|…………
Ko05_05_072|え、ええ……悪い、わね……せっかくのデート……
Ko05_05_073|あ、ありがと……
Ko05_05_074|…………
Ko05_05_075|…………
Ko05_05_076|え、ええ……なんとか、ね……
Ko05_05_077|……そうね
Ko05_05_078|なんとか……
Ko05_05_079|ええ……ごめんなさい
Ko05_05_080|……なんでもないわ。気にしないで
Ko05_05_081|…………
Ko05_05_082|……え？　……き、きゃぁっ！？
Ko05_05_083|な、何しているのよ！？　おろしなさい！
Ko05_05_084|……な！？
Ko05_05_085|で、でも恥ずかしいし……
Ko05_05_086|……士道
Ko05_05_087|…………底無しの阿呆兄ね
Ko05_05_088|どんだけシスコンなのよ
Ko05_05_089|……別に、悪くない、けど
Ko05_05_090|…………うん
Ko05_05_091|……その頃から、士道は全然成長してないってことね
Ko05_05_092|……士道は、そのままで良いのよ
Ko05_05_093|そうなの……変わらないで、いてほしい
Ko05_05_094|……それに、私だって、そんなに変わってないわよ
Ko05_05_095|…………
Ko05_05_096|え！？　い、今なんて……
Ko05_05_097|も、もう一回言ってよ！
Ko05_05_098|もう……意気地なし
Ko05_05_099|……その、そう言われて悪い気はしないけど……。　やっぱり変わってないと思うわ、私も
Ko05_05_100|だって……その頃から私は、士道のこと……
Ko05_05_101|…………
Ko05_05_102|もうおろして。大丈夫だから
Ko05_05_103|……うん
Ko05_05_104|さて、士道……さっきは嫌だって言ってるのに、　よくもまあ公衆の面前で、無理矢理おぶったわね……
Ko05_05_105|……わかってるわよ、そんなこと
Ko05_05_106|その……ありがと、士道。　士道におんぶされてたら、なんだか安心して元気が出たわ
Ko05_05_107|それと……やっぱり士道も、変わったわ。昔に比べて
Ko05_05_108|士道の背中、あんなに大きくなってたのね……。　全然知らなかった
Ko05_05_109|…………
Ko05_05_110|ええ……
Ko05_05_111|…………
Ko05_05_112|士道……？
Ko05_05_113|ちょ、ちょっと、頭の整理をしたいから出てきただけ。　大丈夫よ……私は全然平気
Ko05_05_114|大丈夫だってば！　士道に心配されるようなこと……私……
Ko05_05_115|…………
Ko05_05_116|ないわね。これっぽっちも
Ko05_05_117|ないわ
Ko05_05_118|私がしていることは、私にしかできないことだもの
Ko05_05_119|いくら士道にだって、代わってもらえるわけじゃないの
Ko05_05_120|士道には、士道のすべきことがあるはず。　それをするのが、士道の役目よ
Ko05_05_121|……かわりと言ってはなんだけど……
Ko05_05_122|……私が頑張るための元気、士道からもらっても良い？
Ko05_05_123|……うん、士道ならそう言ってくれると思ってたわ
Ko05_05_124|今だけ……ちょっとだけ、その肩を貸して……
Ko05_05_125|……ん
Ko05_05_126|……ええ。士道に言われなくても、頑張ってるわよ
Ko05_05_127|やってやるわよ。私のすべきことだもの。　自分のためにも。　みんなのためにも……
Ko05_05_128|それに……士道のためにも、ね
Ko05_05_129|……やっぱり、士道は士道ね……
Ko05_05_130|何でもない。　さあ、帰りましょ。いつまでもこんな所にいてもしょうがないわ
Ko05_05_131|ええ……
Ko05_05_132|……ええ、そうするわ
Ko05_05_133|……それ、どういうこと？
Ko05_05_134|そんなことはわかってるわよ！　でもね……今、私の前で！　それを言う必要があるかって……。　そう言ってるのよ！
Ko05_05_135|……本当に分からないの？
Ko05_05_136|そう、そうよね……あは、あはははは……。　私だけ……私だけだったんだ……私だけが、そう、思ってた……。　士道と……気持ち、通じてるって……
Ko05_05_137|勘違いだったの？　いつもより優しくしてくれたのは、私のご機嫌とりだったの？　こんなの……こんなのって……残酷過ぎるわよ……！
Ko05_05_138|来ないで！　私は……私は……わたしはぁ！！
Ku05_05_001|……士道
Ku05_05_002|士道、起きなさい
Ku05_05_003|報告があるの。朝食前に少し時間もらうわよ
Ku05_05_004|両方よ
Ku05_05_005|あのモニュメントに近づいた時、　それを妨害するかのように天使のようなモノが現れた。　それは間違いないんでしょう？
Ku05_05_006|ならそれは、セットで考えた方が自然よ
Ku05_05_007|断定するには材料が少なすぎるわね。　……観測数値の記録だけで言えば、精霊に酷似しているのは確か
Ku05_05_008|数値上は精霊のそれに限りなく近い存在だけど……対象の反応や　動きが、士道の報告通りなら、十香たちのような自由意思のある　精霊とは別種の存在ってことよ
Ku05_05_009|……士道の脳が、アザミウミタマゴバチより少なかったとしても、　それぐらいの想像力は持っててほしいわね。人として
Ku05_05_010|――もういいわ。とにかく、霊力で生成された存在であることは　間違いない。　士道から聞いた状況から考えるに……
Ku05_05_011|ゲーム的に言うと、『ゴーレム』とか、『ガーディアン』とか　……そんな感じね
Ku05_05_012|士道、それは自分の状況をちゃんと理解してから言うべきだって　わかる？
Ku05_05_013|士道の話を信じるなら、恐らく……その――『ガーディアン』は　防衛用なのよ
Ku05_05_014|――つまり、あのモニュメントはそうまでして守る必要があるっ　てこと
Ku05_05_015|ええ、そこまではさすがにね。　だけど……少なくとも、結界に関わってそうなのは確かよ
Ku05_05_016|試しに士道から報告のあった時間帯に絞って、モニュメント周辺　の霊波パターンを解析してみたの
Ku05_05_017|あのモニュメントから微弱に出ている霊波パターンの波形……天　宮市を包む広域結界と重なるのよ
