Ri01_06_001|心配したぞシドー！　大事はなかったか？
To01_03_107|うむ！
To01_03_108|ん……そ、そうだな
To01_03_109|本当はこれでは駄目なのだ……。　私がシドーに作ってあげねば……
To01_03_110|な、なんでもない！　ごちそうさまなのだ……
To01_03_111|んー、レンジの中が……あれだ。真っ白で何も見えん
To01_03_112|ぬう……！　よ、よいのだ！　生クリームなどなくても、バターとハチミツがあれば十分！
To01_03_113|よし、あと少しだな……女らしい女は、台所で頑張るのだ！
To01_03_114|フライパンを熱するとは……どれくらい熱くなればよいのだ？
To01_03_115|ん……そろそろ熱くなった頃合いか？
To01_03_116|――っあづッ！
To01_03_117|……し、シドー？
To01_03_118|わ、私は無事だが……こ、こんなはずでは……！　これでは、シドーに食べてもらえないのだ……
To01_03_119|むぅ……
To01_03_120|し、しかし……
To01_03_121|う、うむ……
To01_03_122|ホ、ホットケーキだ
To01_03_123|すまん……
To01_03_124|そ、そうなのか？
To01_03_125|……
To01_03_126|シドー……
To01_03_127|う、うむ！
To01_03_128|おお！　程よくついた焦げ目に、バターとハチミツがたっぷり！　そして中はふわふわ！　シドーはホットケーキ作りの天才だな！
To01_03_129|うむ！
To01_03_130|本当か！？
To01_03_131|いや……それでは駄目なのだ……
To01_03_132|ほ、本当はこれでは駄目なのだ……。　私がシドーに作ってあげねば……
To01_03_133|な、なんでもない！　ごちそうさまなのだ……
To01_03_134|ん、なんだシドー、出かけるのか？
To01_03_135|ん、シドーが行くなら、私も行くぞ！
To01_03_136|うむ
To01_03_137|シドーが行きたい場所はないのか？
To01_03_138|公園？
To01_03_139|うむ。行ってみようではないか
To01_03_140|琴里とは、どうやって遊んでいたのだ？
To01_03_141|そうか。なら、今日は私と一緒に遊ぶのだ！
To01_03_142|ん、ぶらんことはアレのことか？
To01_03_143|む！　し、シドーは初めてだと嫌か？
To01_03_144|ん、ここに座ればよいのだな？
To01_03_145|ふむ、ではこうか
To01_03_146|うむ、わかった！
To01_03_147|ほう！　これは気持ちいいぞシドー！
To01_03_148|おお！　さっきより気持ちいいぞシドー！　まるで宙に浮いているようだ！
To01_03_149|……
To01_03_150|し、シドーは、琴里と二人で乗ったのだろう？
To01_03_151|こ、琴里とは乗れても、私とは乗れないのか？
To01_03_152|ぐぬぬ……どうして琴里はよくて、私は駄目なのだ！　ま、まさかシドー！　琴里以外とは乗らぬのか！？
To01_03_153|む！　違うというなら、琴里と同じく、　私と二人乗りしても構わないだろう？
To01_03_154|シドー、誰からだったのだ？　いや、そんなことはいい……話が終わったなら早く乗るのだ！
To01_03_155|おお！　良いのか！？　では、乗るぞ！
To01_03_156|ば、馬鹿者！　は、早く、ブランコを動かすのだ！
To01_03_157|う、うむ……
To01_03_158|ん、怖くないぞ。もっと早くても大丈夫だ！
To01_03_159|う、うむ！
To01_03_160|シドー、ブランコとは気持ち良いものだな？　また乗りに来ような
To01_03_161|ん……し、シドーは楽しくなかったのか？
To01_03_162|うむ。そうか、ならよいのだ！
To01_03_163|うむ！　では、そろそろ帰るか。腹が空いてきたぞ
To01_03_164|むう……そうか。ならば仕方あるまい……
To01_03_165|……念のため確認するが、　私と乗りたくないわけではないのだな？
To01_03_166|うむ！　それならよいのだ！
To01_03_167|シドー、ブランコとは気持ち良いものだな？　また乗りに来ような
To01_03_168|ん……し、シドーは楽しくなかったのか？
To01_03_169|うむ。そうか、ならよいのだ！
To01_03_170|うむ！　では、そろそろ帰るか。腹が空いてきたぞ
To01_03_171|おお！　うつ伏せになって滑るのだな！
To01_03_172|なぜ駄目なのだ？　琴里とはそうやって滑ったのだろう？
To01_03_173|よし、シドーや琴里と私も同じやり方で滑るぞ！
To01_03_174|ふむ。ここからうつ伏せに滑ればよいのだな？
To01_03_175|む！　滑ると言ったら滑るのだ！　シドーはそこで見ているがいい！　ゆくぞ！
To01_03_176|お、おおーーッ！
To01_03_177|ぬわ……っ！
To01_03_178|ん……？
To01_03_179|な、なななな、何を考えているのだシドーッ！
To01_03_180|ほ、本当か！　なにか、いかがわしいことを考えて……！？
To01_03_181|シドーがそこまで言うなら信じよう
To01_03_182|う、うむ……
To01_03_183|シドー！
To01_03_184|わ、私にも、皿洗いというものを手伝わせてくれないか！？
To01_03_185|きょ、今日は違うのだ！　こ、ここは女の城だから、あれだ！　城を綺麗にしっかり守るのが大事なポイントなのだ！
To01_03_186|おお！　任せるがいい！
To01_03_187|うむ！　こちらこそ頼むぞ、凜祢！
To01_03_188|ところでシドー、皿洗いとはどう――
To01_03_189|ん、世話をかけるな
To01_03_190|ふ、ふむ。こ、これで良いのか？
To01_03_191|ぬっ！？　す、すまん！
To01_03_192|泡で手元がおぼつかなくてな……すまない
To01_03_193|凜祢がか！？　信じられんな……だがわかったぞ！　あまり力を入れずにやればいいのだな！　よし……――
To01_03_194|――ぬわっ！
To01_03_195|わ、私は無事だが、皿が……
To01_03_196|す、すまん……
To01_03_197|う、うむ……茶碗ならうまくやれるかもしれん
To01_03_198|ぅぐ……！
To01_03_199|も、もういい……今の私では、力不足なのだな……。　すまぬ、シドー、凜祢……出直してくる
Ori01_04_001|ん、なんだ？
Ori01_04_002|む！　わ、私の一番大事なものはシドーだぞ！　[昼餉*ひるげ]などではない！
Ori01_04_003|い、今のはあれだ！　ただの本音だぞ！？　至極当然のことを言ったまでで、まったく他意はないのだ！
Ori01_04_004|ぬううぅ……！
Ori01_04_005|ん！　そ、そうか……
Ori01_04_006|う、うむ……
Ori01_04_007|と、鳶一折紙！　貴様、今のはわざとではないのか！？
Ori01_04_008|む！　ふ、不憫だと！？
Ori01_04_009|ぐぬぬぬぬッ！　謀ったな！　鳶一折紙ッ！
Ori01_04_010|む、むぅ……！　凜祢がそういうなら……
Ori01_04_011|ま、待て！
Ori01_04_012|……仕方がないな、鳶一折紙……。　わ、私の分も、取り分けてやってもよいぞ……？
Ori01_04_013|む！　だ、誰が毒など盛るか！　私はただ凜祢のように優しく……！
Ori01_04_014|なんでもない！　と、とにかく、ただの親切だ！　つべこべ言わずに持っていくといい！
Ko01_04_001|シドー！　ただいまだ！
To01_04_001|ふぁ……ふぁあ～あ……
To01_04_002|……うむ
To01_04_003|……うむ
To01_04_004|……丁寧な言葉……包容力……落ち着き……ぶつぶつ……
To01_04_005|……控えめ上手……上品……柔らかな物腰……ぶつぶつ……
To01_04_006|ん……？
To01_04_007|す、すまん……
To01_04_008|で、では、いただくぞ
To01_04_009|ぬ？　凜祢の姿が見えぬようだが？
To01_04_010|うむ……そうか……。　いつもいた者がいないと、その……なんだ、寂しいものだな
To01_04_011|ぬ。そ、そうか……
To01_04_012|そ、そんなことはない！　こ、これがいつも通りだぞ。私は上品　なのだ！
To01_04_013|な、なんだ？　私の顔に何かついておるのか？
To01_04_014|……男を立てる……男に頼る……一歩引く……。　……ぶつぶつ……ぶつぶつ……
To01_04_015|……素直になる……聞き上手になる……笑顔で聞く……。　……ぶつぶつ……ぶつぶつ……
To01_04_016|ぬ？　し、シドー！？　どこにいる！？
To01_04_017|うむ……慣れぬ事をしていて、道を間違えてしまったようだ
To01_04_018|す、すまん……
To01_04_019|……？
To01_04_020|んん……
To01_04_021|こ、こういう時は……男に頼る……一歩引く……だから……
To01_04_022|う、うむ！　そうだな。シドーがそういうなら、私は構わぬぞ。　案内を頼む！
To01_04_023|おお！　よ、よろしく頼むぞ！
To01_04_024|――ん、シドー、あれはなんだ？　ずいぶん大きな石があるぞ！
To01_04_025|ん、なんだ？　シドーも知らぬのか？
To01_04_026|ん……
To01_04_027|し、シドーがあの石を見たいというのなら……。　い、一緒に見に行ってやってもいいぞ？
To01_04_028|おお、そうか！　では行こう！　私も付いていってやるぞ！
To01_04_029|おーい！　シドー、早く！　こっちだ！
To01_04_030|ん？　うしろ……？
To01_04_031|シドー……もう十分だ。　そろそろ行かないと、学校に遅れるのではないのか？
To01_04_032|どうもしないぞ？　ほら、行くぞシドー！
To01_04_033|ん、なんだ？
To01_04_034|何の話だ？
To01_04_035|どうしたのだ？　今日のシドーはおかしいぞ？
To01_04_036|うむ！　凜祢、おはようだ！
To01_04_037|む……
To01_04_038|な、なんでもない！
To01_04_039|う、うむ！　努力はしているぞ！
To01_04_040|そ、そうか？　そうだといいのだが
To01_04_041|シドー？　何の話をしてたのだ？
To01_04_042|ふむ、そうか……
To01_04_043|ぬ……？　鳶一折紙、何か用か？
To01_04_044|ふん……っ！
To01_04_045|う、うむ……！
To01_04_060|ん、なんだ？　シドー？
To01_04_061|ぬ？　……いや、そんなことはないぞ？　このキンピラゴボウのピリ辛具合などは、ちょうど良い
To01_04_062|――というわけなのだ……
To01_04_063|ん……？
To01_04_064|う、うむ……！
To01_04_065|わ、私が誘う……のか？
To01_04_066|……？
To01_04_067|ぬぅ……難しいな……。　そんなことはアニマルには載ってなかったぞ？
To01_04_068|そ、そうなのか……？
To01_04_069|そ、それはまずいことだぞ！
To01_04_070|ど、どう誘えばよいのだ？　も、もし断られたら――
To01_04_071|う、うむ……！
To01_04_072|ん！　助言、かたじけない！　や、やってみるのだ！
To01_04_073|し、シドー！
To01_04_074|ぬ！　な、なんでもないぞ！
To01_04_075|ま、待てシドー！　そ、それは、私から誘わねばならんのだ！
To01_04_076|ちょ、ちょっと待っていろ！　……さ、誘うときは、強引に……だったな……
To01_04_077|し、シドー……わ、私を……こ、これに……
To01_04_078|え、映画に……
To01_04_079|つ、連れてってほしいのだ……
To01_04_080|おお！　いいのか！？
To01_04_081|よし、成功したぞ……！　……あとは映画館でしっとり慎ましく……。　それでシドーは、私に夢中に……！
To01_04_082|な！　何でもないのだ！　それより早く、これで映画に連れて行ってくれ！
To01_04_083|それは凄いことなのか？
To01_04_084|そうか、では早速、行ってみようではないか！
To01_04_085|うむ！　ではそうしよう！
To01_04_086|シドー？
To01_04_087|いや、そうではない。　さっきから香ばしい匂いが漂ってくるのだが……？
To01_04_088|ん？　ぽっぷこーん？　それは何者だ？
To01_04_089|うむ！　食べてみたいぞ！
To01_04_090|む、中に入る？　ここからまたどこかへ行くのか？
To01_04_091|なんだ？
To01_04_092|大きなテレビのようなものだと聞いたが、違うのか？
To01_04_093|む！　勘違いするな！　私は映画が観たいから誘ったのではないぞ！　シドーと一緒にいたいから誘ったのだ！
To01_04_094|ん、どうしたのだ！？
To01_04_095|ん、頼む！
To01_04_096|ふうむ、なるほど……
To01_04_097|うむ
To01_04_098|むう……映画を観るときは……しっとり慎ましく……
To01_04_099|……ん、ん！？　ど、どどど、どうした！　シドー！？
To01_04_100|ぬ！？　そ、そうか！　シドーと一緒に観られるなら私は何でもよいぞ！
To01_04_101|おお！　それは楽しそうだな！　では早く行くのだ！
To01_04_102|ぬお！　そうであった！
To01_04_103|うむ！
To01_04_104|――わ、わあああああッ！　し、シドー！　危ないぞ！　く、蜘蛛が！　蜘蛛の糸が！　こっちにくるッ！
To01_04_105|す、すまん、シドー……つい夢中になってしまった……！
To01_04_106|う、うむ……。そのつもりだったのだが――
To01_04_107|む！？　し、シドー！　“きゃぷてん・じょーかー”とやらが危ないぞッ！
To01_04_108|お、おのれ巨大蜘蛛め！　大群で攻めてくるとは卑怯な！
To01_04_109|あれでは多勢に無勢ではないか！　よし！　私が〈[鏖殺公*サンダルフォン]〉で助太刀に――
To01_04_110|――ん！？　ふおッ！？　またやってしまった……ッ！　す、すまんシドーッ！
To01_04_111|むう……どうしていつも、私はこうなってしまうのだ……？
To01_04_112|……し、シドー……私にときめいた、か？
To01_04_113|な、なんでもない！　忘れてくれ！　すまんが、私は先に帰る……！
To01_04_114|むう……映画を観るときは……しっとり慎ましく……
To01_04_115|……ん、ん！？　ど、どどど、どうした！　シドー！？
To01_04_116|ぬ！？　そ、そうか！　し、シドーと一緒に観られるなら私は何でもよいぞ！
To01_04_117|よ、余命、マイナス１週間！？　それは興味深いな！　では早く行くのだ！
To01_04_118|ぬお！　そうであった！
To01_04_119|うむ！
To01_04_120|うぅ……ううぅ……！
To01_04_121|うわあああああ……！　ぅぐ……うぐ……ッ！　し、シドー！　ど、どうして……どうしてなのだ！　うわあああああん……ッ！
To01_04_122|うぐ……！　うぐ……！　し、シドー……すまん……。　は、花婿と花嫁が……あ、あまりに不憫で……うぐ……
To01_04_123|う、うぐ……！　そ、そのつもりだったのだが……。　可哀想でつい……すまん……シドー……！
To01_04_124|し、しかし……うぐ！　あの花婿を……うぐ……どうにか、　してあげられない、ものだろうか……？
To01_04_125|……う……うう……ううう……ッ！
To01_04_126|う、うわあああああん……ッ！
To01_04_127|むう……どうしていつも、私はこうなってしまうのだ……？
To01_04_128|……し、シドー……私にときめいた、か？
To01_04_129|な、なんでもない！　忘れてくれ！　すまんが、私は先に帰る……！
To01_04_130|むう……映画を観るときは……しっとり慎ましく……
To01_04_131|……ん、ん！？　ど、どどど、どうした！　シドー！？
To01_04_132|ぬ！？　そ、そうか！　し、シドーと一緒に観られるなら私は何でもよいぞ！
To01_04_133|怖いのか？　どんなものなのか興味深いな！　では早く行くのだ！
To01_04_134|ぬお！　そうであった！
To01_04_135|うむ！
To01_04_136|ひ……ひぃぃ……ッ！
To01_04_137|い、い……や……や、やめてくれッ……！
To01_04_138|く……来るな……！　来るな来るな来るな……ッ！
To01_04_139|ひ、ひ、ひ……ひぁぁぁぁぁぁーーーーッ！！！！
To01_04_140|……
To01_04_141|し、シドー……！　どうして……？
To01_04_142|ん、そうか……
To01_04_143|ぬ……？
To01_04_144|ど、どうしたのだ、突然？
To01_04_145|……？
To01_04_146|ああ……そんなことか。それなら私は別に……
To01_04_147|シドー……
To01_04_148|ん、そうだったか……？
To01_04_149|う、うむ……
To01_04_150|……！
To01_04_151|――！
To01_04_152|そ、そうか……。　シドー、ありがとう……。私を励ましてくれたのだな
To01_04_153|ん、わかっている……だから、私の心も少し、温かくなった。　礼をいうぞ、シドー
To01_04_154|確かに、そうかもしれんな……
To01_04_155|ははは……
To01_04_156|シドー……
To01_04_157|あんなに勉強して……色々教わってもいるのに……。　どうして私は駄目なのだろうな……
To01_04_158|む、向いてない……？　し、シドーもそう思うのか……？
To01_04_159|うぅ……うう……うぐ……！
To01_04_160|そ、それでも……私は……うぐ……！　が、頑張りたかったのだ……シドーに……シドーに……！
To01_04_161|ぐすっ…………ん……ッ！！！！
To01_04_162|シドー……
To01_04_163|あんなに勉強して……色々教わってもいるのに……。　どうして私は駄目なのだろうな……
To01_04_164|む、向いてない……？　し、シドーもそう思うのか……？
To01_04_165|うぅ……うう……うぐ……！
To01_04_166|そ、それでも……私は……うぐ……！　が、頑張りたかったのだ……シドーに……シドーに……！
To01_04_167|ぐすっ…………ん……ッ！！！！
To01_04_168|ん……い、いただくぞ……
To01_04_169|ん……？　私は見ていないぞ……？
To01_04_170|……ん、さっきから、私がどうかしたのか？
To01_04_171|わ、私がいつボーっとしたのだ！？
To01_04_172|むう……なんのことを言ってるのかさっぱりだ
To01_04_173|むう、みな天宮タワーがそんなに好きなのか？
To01_04_174|ふむ……これからは新天宮タワーの時代……ということか？
To01_04_175|で、では……開場したら、また一緒にデェトに行ってくれるか？
To01_04_176|う、うむ……！　一歩前進、なのだ！
To01_04_177|ん、どうしたのだ？
To01_04_178|べ、別に構わんが……私でよいのか？
To01_04_179|……！？　そ、そうか……！
To01_04_180|む……！　そういうことか……
To01_04_181|な、なんでもない……！
To01_04_182|おお！　それはよい考えだな！　では行こう！
To01_04_183|むう……今度こそ頑張るぞ……。　頑張って……いつかシドーと『ケッコン』するために……
To01_04_184|ぬ！　な、何でもないぞ！　ぜ、全然普通だ！
To01_04_185|とにかく、普通なのだ！
To01_04_186|シドー……あの大きな石が、本当に光ったのか？
To01_04_187|そうか……では、朝と同じようにしてみればよいのではないか？
To01_04_188|うむ！　役に立てたなら良かったのだ！
To01_04_189|うむ！　では行ってくるぞ！
To01_04_190|おーい！　シドー！　着いたぞー！
To01_04_191|ん……？　ん……？　特にないぞー！
To01_04_192|どうだシドー？
To01_04_193|っ！？　シドー！　離れろッ！！
To01_04_194|む！　一体、何が起こってるのだ……！？
To01_04_195|……ぬ！？　貴様、何者だッ！？
To01_04_196|――っくッ！
To01_04_197|シドー！　大丈夫かッ！？
To01_04_198|無事だッ！　あやつ攻撃してくるぞ！　シドー！　もっと距離をとれッ！
To01_04_199|落ち着けシドー！　焦っては敵の思うツボだ！
To01_04_200|む！　追ってきたぞッ！？
To01_04_201|駄目だ……これでは……！　このままでは……シドーを守れん……ッ！
To01_04_202|〈[鏖殺公*サンダルフォン]〉……ッ！
To01_04_203|シドー！　攻撃がくるッ！　さがっているのだッ！
To01_04_204|フンッ！
To01_04_205|……そっちがその気なら、こちらも容赦はせぬぞ！？
To01_04_206|――シドー！　出るなッ！
To01_04_207|――くッ！　フンッ！
To01_04_208|シドー！　怪我はないかッ！？
To01_04_209|シドー！　奴らには意思が感じられん！　話しかけても無駄だ！
To01_04_210|うむ……！　だからシドー、大人しくさがっていてくれ！
To01_04_211|案ずるな！　今終わらせる！　〈[鏖殺公*サンダルフォン]〉！
To01_04_212|この……ッ！　沈め――ッ！
To01_04_213|ぅ……っ！
To01_04_214|……あ、案ずるな。もう落ち着く……
To01_04_215|シドーも無事のようだな……
To01_04_216|……わ、私は……普通の[女子*おなご]ではないからな……
To01_04_217|な、なんでもないのだ……！
To01_04_218|ん……私たちが戦ったのは、ここではないどこかなのだろうな
To01_04_219|あの石が光った時に、とても強い力を感じたのだ。　おそらくあの時に……
To01_04_220|あるいは……私たちだけ結界とやらに閉じ込めたのかもしれんな
To01_04_221|それは、わからんが……ただ……
To01_04_222|あれが攻撃してきたのは、警告かもしれん
To01_04_223|シドーに万が一のことがあっては困るから、攻撃は全て弾いた。　だが……もっと激しく攻撃することもできたのではないか？　あれは、意図的に手加減していたようにも思えた
To01_04_224|なぜかはわからぬが……あやつはただ、　私たちにここに近づいて欲しくなかったのだろうな
To01_04_225|むう……難しいことは私にもわからんが……
To01_04_226|シドー……？
To01_04_227|そ、そうだな……
To01_04_228|う、うむ……。　では……帰るのだ……
Ri01_05_001|目的は知らぬが、シドーを傷つけるなら、貴様は私の敵だっ！
Ri01_05_002|ぬ……！
Ri01_05_003|貴様がすべての元凶なのだな？　ならば、倒して元の世界に戻るぞ、シドー！
Ri01_05_004|む……しかし、あやつが私たちを閉じ込めているのだろう？　ここで倒してしまえば一件落着ではないのか？
Ri01_05_005|ぬう……！　シドーがそういうなら仕方あるまい！
Ri01_05_006|なんだ……嫌な感じがどんどん強くなっているぞ。　気をつけろ、シドーッ！？
Ri01_05_007|な……いったい、どういうことなのだ！？　確かに私もシドーとわかりあった……
Ri01_05_008|……シドー……！
Ri01_05_009|し、シドー！
To01_05_001|今日はいらぬ……
To01_05_002|む！　れ、レディーは、お腹など減らんのだっ！
To01_05_003|――っ！？
To01_05_004|……い！　いらぬ！
To01_05_005|――っく！　いらぬと言ったらいらぬッ！
To01_05_006|……あ、ああ……
To01_05_007|し、シドー……す、すまぬ……私はただ、その……
To01_05_008|いや、そのだな……だ、だが――
To01_05_009|……
To01_05_010|ぬううう……食べるべきか……？　食べざるべきか……？　だが、シドーの弁当は断ってしまったのだし……うう……
To01_05_011|うぬぬぬ……
To01_05_012|……し、しかし…………
To01_05_013|……ぬぅ…………
To01_05_014|……せっかく注文したのだし、一口……
To01_05_015|そう、一口……一口だけ！　それならシドーも許してくれるはずだ！
To01_05_016|うむ！　美味いっ！　箸がどんどん進むぞ！
To01_05_017|うむ……最高だった！　は……！？
To01_05_018|し、しまった……結局完食してしまったのだ……
To01_05_019|し、シドーッ！？
To01_05_020|――っ！？
To01_05_021|あ、あぁ……うぅ……うぅぅ……ッ！
To01_05_022|――っ！？
To01_05_023|ほ、放っておいてくれ……！
To01_05_024|い、今は……会いたくない！
To01_05_025|し、シドーは悪くない！　シドーは……
To01_05_026|き、嫌われたくないのだ……これ以上……
To01_05_027|こ、こんなはずでは……なかったのだ……。　こんなはずじゃ……
To01_05_028|……
To01_05_029|し、シドー…………わかった
To01_05_031|ん……凜祢から聞いてきたのだ……
To01_05_032|うむ……
To01_05_033|なあ、シドー？
To01_05_034|凜祢のこと……シドーはどう思ってるのだ？
To01_05_035|ぬ……？　シドーの理想の嫁は……凜祢ではないのか？
To01_05_036|だ、だからあれだ、ケ、『ケッコン』だ！
To01_05_037|『ケッコン』とは、好きな者同士がずっと一緒にいると約束する　ことなのだろう？　それで、し、シドーは……。　『ケッコン』するなら、凜祢が理想と言っていたのではないか？
To01_05_038|やはりそうか……
To01_05_039|ん……？
To01_05_040|む！　やはり、そうではないか！
To01_05_041|ぬう……
To01_05_042|そ、そうなのか……？
To01_05_043|……？
To01_05_044|……っ！？
To01_05_045|ぜ、全然駄目ではない……！
To01_05_046|うむ、では、明日だな……私も、楽しみだ
To01_05_047|やはりそうか……
To01_05_048|やはり、シドーの未来に……私の居場所は、ないのだな……？
To01_05_049|うぐ――ッ！　うぐぐぐ……ッ！
To01_05_050|い、や……だ……！　シドーといられ、ないっ、のは……ッ！！
To01_05_051|うぁぁぁあああああーーーーッ！！！！
Ri01_06_001|心配したぞシドー！　大事はなかったか？
Ri01_06_002|う、うむ……飛ばされるまでの記憶はほとんどないのだが、　別に異常はない
Ri01_06_003|それにしても、なぜあの〈ルーラー〉とやらは、　シドーを狙っていたのだ？
Ri01_06_004|シドー……
Ri01_06_005|うむ！　手伝うぞ、シドー！
Ri01_06_006|うむ、無論だ！
Ri01_06_007|む！　それはどういう意味だ！　鳶一折紙！
Ri01_06_008|ぐぬぬぬっ！
Ri01_06_009|ぬ……！　す、すまぬ！
Ri01_06_010|[要*かなめ]というのは、あのタワー前のモニュメントのことだろう？
Ri01_06_011|琴里？　みんな行ってしまったが、私たちはどうするのだ？
Ri01_06_012|うむ！
Ri01_06_013|む！？　琴里！　その前に別のものが来るぞッ！？
Ri01_06_014|うむ！　任せるがいい！　シドー！　傍を離れるな！　〈[鏖殺公*サンダルフォン]〉！
Ri01_06_015|ぬう……敵が多すぎるぞ！　結界はまだ解けないのか！？
Ri01_06_016|う、うむ！　……っ！　シドーッ！
Ri01_06_017|シドー！　先に行けッ！
Ri01_06_018|行け！　シドー！　〈ルーラー〉を止めるのだろう！？
Ri01_06_019|む！　また出て来たぞ！
Ri01_06_020|気にするな。シドーを行かせるためには　二人で足止めをする他なかった！
Ri01_06_021|琴里！　全力でいくぞ！
Ri01_06_022|うむ！　シドーは決まって無茶をする男だからな！
Ri01_06_023|ここから先は一歩たりとも通さんッ！
Ri01_06_024|無事か！　シドー！
Ri01_06_025|気持ちはわかるが、止まるなシドー！
Ri01_06_026|シドーは〈ルーラー〉に話があるのだろう！？　四糸乃も琴里も大丈夫だ！　だから、シドーは私たちを信じて　先へ行け！！
Ri01_06_027|私が最後まで援護するぞ！
Ri01_06_028|うむ！　任された！
Ri01_06_029|危ない、シドー！！　くぅ……！
Ri01_06_030|私なら大丈夫だ、シドー……　だから、〈ルーラー〉に、会いに――
To01_06_001|シドー……やはり私はデートには……
To01_06_002|いや、やはり私にはその資格がない……。　それに、変な感じなのだ……
To01_06_003|む、胸の中がモヤモヤして、息苦しいのだ……
To01_06_004|？
To01_06_005|し、シシシシ、シドー！？　い、一体どうしたのだ！？
To01_06_006|わ、私の……！？
To01_06_007|……シドーは、温かいな
To01_06_008|そうか……
To01_06_009|……シドー。もう大丈夫だ
To01_06_010|うむ……シドーのお陰で、少し落ち着いた
To01_06_011|礼をいうぞ、シドー
To01_06_012|うむ……！
To01_06_013|――う、うわっ！　ちょ、ちょっと待てシドー！　どこへ行くのだ！？
To01_06_014|ぬわわわ――っ！
To01_06_015|ん？　……ここは、商店街ではないか？
To01_06_016|……ん～、あいも変わらず、いい香りが漂っているな！
To01_06_017|ぬ！？　ま、待てシドー！
To01_06_018|いや、そうではないが……私は金子を持ってきていない――
To01_06_019|ん？　笑顔とは、どういう……？
To01_06_020|……お、おお！　そうか！　では行こう！
To01_06_021|し、シドー！？　大丈夫か！？　たこ焼きは熱いから気をつけねばならんぞ？
To01_06_022|ん！？　そうであったな！
To01_06_023|んー！　……はふッ！　はふはふッ！　ほふほふッ！
To01_06_024|……うむ！　アツアツが一番だ！
To01_06_025|うむ！
To01_06_026|――っ！　はッ！　はふはふ……ッ！　ほふほふ……ッ！
To01_06_027|おお！　スパイシーな香りがたまらんな！
To01_06_028|ではシドー、遠慮無くいただくぞ！
To01_06_029|はぐ……ッ！
To01_06_030|んー！　絶妙な味だなっ！
To01_06_031|この焦げ目のついたお肉がジューシーで香ばしいのだ！
To01_06_032|うむ、そのと……うぐ！　んぐんぐ……！　なのだ……けほ……ッ！
To01_06_033|……だ、大丈夫だ！　つい頬張り過ぎてしまったのだ！
To01_06_034|ん？　先が長い？
To01_06_035|あ！　お、おいシドー！　ちょ、ちょっと待て……！
To01_06_036|やはり、商店街には美味いものがたくさんだな！
To01_06_037|ん？　どうしたのだ？　ちょっと苦しそうだぞ？
To01_06_038|うむ、私はシドーについて行くぞ
To01_06_039|わわ！？　どこに行くのだシドー！
To01_06_040|おお！　ここは、ゲーセンというところではないか？
To01_06_041|ん？　どうしたのだ？
To01_06_042|んー……本当だな！　なかなかキュゥトではないか
To01_06_043|な、なんだ……シドーも欲しいのか？
To01_06_044|……うむ！　私も欲しい！
To01_06_045|うむ！　頼んだぞシドー！
To01_06_046|シ、シドー……
To01_06_047|――む！？
To01_06_048|すごいぞシドー！　二つだ！
To01_06_049|ん……！　嬉しいぞ！　一個ずつ、シドーとお揃いだな！
To01_06_050|うむ！　絶対に大切にするぞ！
To01_06_051|ん、そうだな……といっても私は元々満腹ではないが……
To01_06_052|うむ、次も良いところなのだろう？
To01_06_053|もしかして、きなこパンか？
To01_06_054|――近くから良い香りがするぞ？
To01_06_055|んん……
To01_06_056|きなこパンは駄目だったが、この良い香りのするもの……。　まだ売っているのだろう？
To01_06_057|そうか！　ではシドー、行くぞ！
To01_06_058|ほう……！　甘い香りの正体はこれだったのだな
To01_06_059|むう……うまそうだな！　じゅるり……！
To01_06_060|……本当か！？
To01_06_061|そうか！　では、遠慮無くいただくぞ！
To01_06_062|なるほど……これがクレェプか……。　ケバブに少し似ているな
To01_06_063|うむ、甘い香りがきなこパンと違った意味で刺激的だな！
To01_06_064|うむ！　いただくぞ！　はむはむ……ッ！
To01_06_065|んん！？　ふぉ、ふぉれは……ッ！？
To01_06_066|……うまい！　甘くてとてもうまいぞ！
To01_06_067|ん？　どうしたのだシドー？
To01_06_068|ん……？
To01_06_069|す、すまぬ……
To01_06_070|――は！？　あ、ああ……ッ！！
To01_06_071|し、シドー……これは、どういうことなのだ？
To01_06_072|む！　このデェトのことだ……！
To01_06_073|今日、シドーが私を連れて行ったところは……あの日のデェトと、　同じところではないか？
To01_06_074|シドー……今気づいたのだが、私ばかりが楽しんでいないか？
To01_06_075|そんなことあるぞ！　シドーは、私を喜ばせようとしてくれたのだろう？　それで私はシドーを困らせ――
To01_06_076|……っ！？
To01_06_077|し、シドー……
To01_06_078|ん……そ、そうか。　で、でも、私とデェトすると……またたくさん振り回されるぞ？
To01_06_079|……っ！？　た、食べ物も、たくさん食べるし、　さ、騒いだりもするぞ！？
To01_06_080|……覚悟、するのだぞ？
To01_06_081|そ、それから……！
To01_06_082|ありがとう、シドー
To01_06_083|ん？　どうしたシドー？
K01_01_129|うむ！
K01_01_067|ん？　大丈夫かシドー？
Ri01_07_003|すまん、シドー……無事で良かった
To01_01_044|…………むぅ
K01_01_050|う、うむ！
K01_01_063|ん？　どうしたのだシドー？
To01_02_026|ん、なにがだ？　私は全然平気だぞ？
K01_01_091|……？
Ri01_07_009|ん、そうだったか……？
Ri01_07_010|本当か！？
To01_06_057|そうか！　ではシドー、行くぞ！
To01_04_029|おーい！　シドー、早く！　こっちだ！
To01_07_001|デェトだな！　もちろんだ！
