003_01_00_004_23|首肯。耶倶矢の言う通りです。　納得のいく説明を求めます
606_13_23_021_23|感謝。ありがたくいただきます。　呪文は大丈夫でしたか。士道？
606_13_23_022_23|審議。……評価が難しいです
606_13_23_023_23|同意。のんびりした気分です。　……そうだ。いいものがありますよ
606_13_23_024_23|請願。はい、士道。　もうちょっとこっちに寄ってください。　それから目を閉じて
606_13_23_025_23|要請。士道、少し耳をお借りします
606_13_23_026_23|肯定。時間が空いたときに聞いています。　片側だけですが、我慢して下さい
606_13_23_027_23|請願。士道、あまり離れないでください。　イヤホンが外れてしまいます
606_13_23_028_23|無言。回答できません。　士道が自分で考えてください
606_13_23_029_23|肯定。ヒーリングミュージックというものですね。　これが一番落ち着きます。　もちろん、他のジャンルも聞かないわけではありませんが
606_13_23_030_23|返礼。はい、士道。こちらこそ
606_13_23_031_23|懐疑。士道、それはどういう……
606_13_23_032_23|不満。士道の発言には若干の気になるところがありますが、　そうですね。また、士道と一緒に来たいです。　ただ、耶倶矢をないがしろにするのはやめてください
606_13_23_033_23|請願。はい。士道、また誘ってくれますか？
606_13_23_034_23|微熱。嬉しいです。　……今日はもう帰りますね。士道、また明日
606_13_23_035_23|回答。……そうですね。　でも、たまには夕弦と士道の二人だけで、　来てもいいかもしれません
606_13_23_036_23|辞去。士道、今日はありがとうございました。　これで失礼します
606_14_50_002_23|待遇。お待ちしてました。士道
606_14_50_005_23|独占。耶倶矢から話を聞いた時は驚きました。　でも、夕弦も気持ちは同じです。恋人として士道を　夕弦だけのものにしたいという気持ちがあります
606_14_50_006_23|回想。先日のデート、とても楽しかったです。　士道と二人で過ごした時間はとても充実したものでした
606_14_50_007_23|告白。夕弦は士道のことが大好きです。　だから、もっとずっと一緒にいたいと思ってしまいました。　夕弦のことを士道に選んでほしい、と
606_14_50_011_23|請願。それでも、士道に選んで欲しいです。　夕弦たちのどちらかを……
606_14_50_013_23|肯定。そちらが士道のことをより好きだと思ってる方です。　士道ならわかると思います
606_14_50_014_23|助言。士道、鼓動の大きい方でなく、　胸の大きい方を選んでもいいですよ
606_14_50_016_23|反論。最初から大きいほうがいいと思います。　それと期待を裏切られたときの衝撃は大きいです
606_14_50_019_23|請願。士道の想いを教えてください
606_14_50_022_23|祝福。おめでとうございます。耶倶矢。　士道、耶倶矢を大事にしてあげてください
606_14_50_023_23|制止。謝罪なら必要ありません。　士道と付き合っていた思い出は楽しかった記憶です。　謝る必要などどこにもありません。耶倶矢もです
606_14_50_025_23|指摘。もう十分なくらい耶倶矢は士道が好きだと思いますよ。　夕弦の想いと耶倶矢の想いは同一です。　それに……耶倶矢の幸せは夕弦にとっても幸せです
606_14_50_026_23|返礼。どういたしまして。　ふふ、耶倶矢。どうしたんですか。　士道に何かお願いすることはないのですか？
606_14_50_030_23|失笑。耶倶矢にロマンチックは、らしくありません
606_14_50_032_23|確認。士道、本当ですか。　本当に夕弦で……
606_14_50_033_23|首肯。夕弦の気持ちは既に伝えています。　とても嬉しいです、士道
606_14_50_035_23|反論。耶倶矢、誤魔化さないでいいです。　夕弦が士道を大好きなように、耶倶矢だって大好きなはずです。　耶倶矢は我慢しているのではありませんか？
606_14_50_038_23|愛玩。よしよし。士道は酷いですね。　後で彼女の夕弦からきつく言っておきます
606_14_50_042_23|首肯。もちろんです。　耶倶矢は夕弦の大事な……大事な存在ですから
606_14_50_044_23|請願。そうですね……それでは、士道。　彼女からの最初のお願いです。　早速デートに連れて行ってもらえますか？
606_14_50_046_23|追従。また明日です、耶倶矢
606_14_50_048_23|微笑。ふふふ……
606_18_22_001_23|返答。士道が耶倶矢を待つのに付き合ってあげているのです。　耶倶矢を待っている間、退屈でしょうから
606_18_22_002_23|否定。それは駄目です。士道は耶倶矢の彼氏なのですから。　もっと二人の時間を大切にしてください
606_18_22_003_23|肯定。耶倶矢は夕弦のことが大好きですからね。　ですが、彼と二人だけの時間は大切にしなければなりません。　そういうものなのです
606_18_22_005_23|辞退。残念ですが、ご一緒できません。　単純に見送りがしたかっただけです
606_18_22_006_23|忠告。士道、ひとつだけ助言があります。　耶倶矢の趣味に付き合うのは色々大変ですから、　その点は頑張ってくださいね
606_18_22_007_23|辞去。それではこれで
606_18_23_003_23|解説。耶倶矢は士道と一緒だから嬉しくて、　つい憎まれ口を叩いているのですよ
606_18_23_004_23|到着。お待たせしました。士道
606_18_23_008_23|空目。今日は雲の流れが早いですね
606_18_23_011_23|納得。耶倶矢の気持ちはわかりました。　今日は士道と二人で過ごします
606_18_23_013_23|首肯。無理に連れていけば、耶倶矢にどやされてしまいます。　その分、今日はたっぷり士道に甘えさせてください
606_18_23_014_23|照覧。士道見てください。　可愛い魚が沢山泳いでます
606_18_23_015_23|肯定。プラチナレッドアイ、アルビノレッドテール……。　確かに夕弦たちが霊装を纏った姿に似ています。　……こっちの生意気そうなのが耶倶矢ですね
606_18_23_016_23|要求。訂正を求めます。　夕弦は別にすましていませんし、大人ぶってもいません
606_18_23_017_23|歯噛。むむ……今日の士道はなんだか意地悪です。　先が思いやられます
606_18_23_018_23|訂正。別に怒ってなどいません。　士道とこうして他愛もない話をしているだけで幸せです
606_18_23_019_23|提案。少し休みませんか。　お茶でも飲みましょう
606_18_23_020_23|思案。そうですね……これがいいと思います
606_18_23_021_23|微笑。もちろんです。これを頼みましょう。　是非これを士道と一緒に飲みたいです
606_18_23_022_23|請願。士道、彼女としてのお願いです。　駄目ですか？
606_18_23_023_23|請願。何をしてるんですか、士道。　飲み始めないと減りませんよ
606_18_23_024_23|赤面。やはり、恥ずかしいですね
606_18_23_025_23|否定。いいえ、士道と一緒に飲みたいと思いました。　それは本当ですよ
606_18_23_026_23|要求。飲み干すまで付き合ってください。　それまで許してあげません
606_18_23_027_23|同意。二人用ですから。　士道と一緒ですから、見られても平気です
606_18_23_028_23|微笑。どうぞ、士道が好きなようにしてください。　そのかわり、条件があります
606_18_23_029_23|請願。士道、ずっと一緒にいてください。　ずっと……ずっとですよ
606_19_22_002_23|溜息。全く、それでは士道の腕が取れてしまいますよ。耶倶矢
606_19_22_004_23|指摘。それでは今までのデートと変わりません。　耶倶矢は士道のたった一人の恋人になったのですから、　もっと士道を独占してイチャイチャするべきです
606_19_23_001_23|肯定。もちろん、そのつもりです。　士道に選ばれたのは夕弦ですから、　今日は夕弦と士道のデートです。何もおかしくありませんよ
606_19_23_003_23|訂正。夕弦が耶倶矢にお願いしました。　初めてのデートなので、一緒に来てほしいと
606_19_23_004_23|思考。耶倶矢、観たいものはありますか？
606_19_23_006_23|首肯。もちろんです。　楽しみにしています、士道
606_19_23_008_23|疑問。耶倶矢、士道、夕弦の順でよいのでは？
606_19_23_010_23|提案。ではこうしましょう。　夕弦の膝に耶倶矢が座って、士道はその隣に
608_12_21_055_23|質問。あなたが一緒に来るのは、昨日の件と関連してですか？　愛について知るために、夕弦たちの近くにいる
608_12_21_063_23|不満。耶倶矢と夕弦だけとなりのクラスなのは　不公平です。士道と一緒がいいです
608_15_21_017_23|疑問。なぜ今日は空いているのでしょうか。　おかげで簡単にパンを買えましたが
608_21_21_041_23|怪訝。どうして或守と一緒に歩いているのですか？
608_21_21_051_23|約束。他の者の甘言に惑わされてはなりません。　夕弦たちと三人で昼食を取りましょう
608_22_21_007_23|注釈。作ったのはほとんど夕弦です。　耶倶矢は結局、ほとんど盛りつけただけです
608_22_21_011_23|請願。士道、夕弦たちのも食べてください
608_22_21_026_23|指摘。解せません。或守が正妻気取りです
608_22_21_032_23|驚愕。ポイントの稼ぎ方を心得ています
608_22_21_048_23|追走。どこまでも追います、士道
608_32_21_039_23|謝罪。遅れて申し訳ありません
608_32_21_040_23|反省。本当は耶倶矢も連れてきたかったのですが、　昨日は夕弦が留守番したのだから私だけ二日連続じゃ不公平、　と譲りませんでした
608_32_21_043_23|疑問。なんでしょう、士道
608_32_21_044_23|理解。ですがそれは余計なお世話だと思います
608_32_21_045_23|肯定。そんなことをせずとも、　或守は夕弦たちと仲良く過ごせます
608_32_21_046_23|微笑。士道は過保護ですね。　大丈夫です。お任せください
608_32_21_047_23|承諾。遊園地をどれだけ深く楽しめるか……これは、　耶倶矢と夕弦も勝負したことです。勝者は夕弦でした。　……つまり、なんの問題もないということです
608_32_21_048_23|首肯。夕弦もちゃんと或守と友人になりたいです。　ほら、四糸乃も頑張っていますよ
608_33_21_002_23|指摘。なぜか士道が偉そうです
608_33_21_011_23|提案。ここで話をしているより、せっかく来たのですから　アトラクションに向かいましょう。　正直、時間はいくらあっても足りないくらいだと思います
608_33_21_022_23|提案。では夕弦も残ります。　琴里を一人にはしておけません
608_33_21_023_23|否定。むしろその程度で夕弦を怖がらせようとは笑止千万。　夕弦が行ってはむしろ場の空気が盛り下がって　しまうかもしれないと考慮してのことです
608_33_21_025_23|疑問。マスター折紙、それはどういうことですか？
608_33_21_029_23|失念。恋愛的な思考ができていませんでした……。　さすがはマスター折紙
608_33_21_030_23|否定。夕弦は琴里とゆっくり話をしたい気分です。　早いですがアイスでも食べますか、琴里？
608_33_21_032_23|承知。任せておいてください
608_33_21_070_23|視認。出てきたようですね
608_33_21_071_23|否定。問題ありません。　琴里と話をしながら、ゆっくりしていましたから。　ソフトクリームも美味でした
608_33_21_073_23|提案。では、あれはどうでしょう？
608_33_21_082_23|回想。耶倶矢との戦いを思い出します。　音楽が止むまでにどれだけ回転させられるかを競いました
608_33_21_083_23|反省。乗り終わったあと、両者ともに三半規管への影響が　大きすぎたため、明確な決着にはなりませんでした
608_33_21_094_23|理解。わかってきました、マスター折紙。　そろそろウォームアップは終わりということでしょうか？
608_34_21_007_23|確認。現在位置から乗車までおよそ六十分とありますね
608_34_21_008_23|驚愕。短い映画が一本視聴できてしまいますね……
608_34_21_017_23|帰還。すみません、士道。　ただいま戻りました
608_34_21_019_23|補給。一時間は長いですからね。　小腹がすくと思いまして
608_34_21_024_23|挑戦。そうはいきません、マスター折紙。　運命のくじを手にするのはこの夕弦です
608_34_21_032_23|確認。では、よろしいですか。　せーの、と夕弦が合図を出します。　せーの！
608_34_21_035_23|溜息。マスター折紙、それはもう終わったことです。　今は楽しむことを考えてください
608_34_21_049_23|同意。あまり口を開くと舌を噛みそうです
608_34_21_058_23|きゃあぁぁぁぁ！
608_34_21_070_23|請願。士道、夕弦のもお願いします。　今日の記念に持っておきたいですから
609_12_21_009_23|首肯。目玉焼きが半熟でとても美味しそうです
609_12_21_024_23|首肯。鞠亜とばかりデートしてずるい、　そろそろ自分も構って欲しい……　と、耶倶矢も昨晩言っていました
609_12_21_044_23|同意。鞠亜は大事なことを全うしようとしているふうに　見えますから
609_15_21_066_23|同意。移動であれば、任せてください。　風を操る夕弦たち八舞が、みんなを運びます
609_15_21_068_23|首肯。さっさと人工精霊を倒し、　元の世界に……全員で帰りましょう
609_16_21_014_23|警告。耶倶矢、それは負ける側の台詞です。　センスが欠落していると言わざるを得ません
609_16_21_016_23|否定。こういう状態はだいたいトラブルが起こるものです
609_20_21_002_23|首肯。それに、こちらの攻撃は、　空間操作によって外されてしまいます
609_20_21_004_23|反論。耶倶矢こそ、　突っ込んで行ってはかわされて、息が上がっています。　一旦下がってください
609_20_21_006_23|懐疑。じー……
609_20_21_008_23|失笑。シュトゥルム・ランツェ（笑）
609_20_21_012_23|提起。このままではジリ貧です、耶倶矢
609_20_21_014_23|同調。夕弦もそう考えていました
609_20_21_016_23|詰問。それは、ひとりでは歯が立たないので、　協力しよう、という意味でいいですか？
609_20_21_018_23|提案。夕弦は、ここは協力するべきだと考えます。　一撃で全て吹き飛ばしてしまいましょう
609_20_21_020_23|同調。いきます、耶倶矢！
609_20_21_022_23|首肯。そして、みんなのために。　〈[颶風騎士*ラファエル]〉――【[縛める者*エル・ナハシュ]】
609_20_21_024_23|呼応。行きます、耶倶矢
609_20_21_027_23|反論。逆だと思います。耶倶矢がいる時の夕弦が最強です
609_20_21_029_23|同意。夕弦たち八舞に、貫けぬものはありません
609_20_21_034_23|呼応。一つになった、我ら八舞の力――
609_21_21_067_23|指摘。敵の戦闘力が急激に上昇しています
609_21_21_069_23|疑問。耶倶矢の魔眼とやらの力は[未来視*さきよみ]だったのでは？
609_21_21_071_23|提案。このままでは危険です。　もう一度、やりましょう
609_21_21_073_23|意外。落ち着いていますね、耶倶矢
609_21_21_075_23|同調。夕弦もです。……来ます、防御して下さい
609_21_21_170_23|同調。タイミングも場所も、完全に一致します
609_21_21_176_23|発動。〈[颶風騎士*ラファエル]〉――
901_00_00_043_23|当然。四糸乃だけではなく、耶倶矢と夕弦もいましたから。　おまけして貰えるのも当然というものです
901_00_00_050_23|指摘。耶倶矢……その魚の中には川魚も混じっています
901_00_00_052_23|失笑。魚の種類を見分けられなかった言い訳ですね。　ぷぷぷ
901_02_01_038_23|祝福。何事もなかったようで何よりです
901_03_01_005_23|質問。どこへ行くつもりですか、士道？
901_03_01_006_23|首肯。夕弦も日直でした。ちなみに耶倶矢は四糸乃と出かける　約束をしているらしく、颯爽と去っていきました
901_03_01_007_23|回答。士道と一緒に帰れるかも知れないと思いまして。　それに、士道と寄り道をしようかと
901_03_01_008_23|情報。現在、商店街ではご当地グルメフェスが実施されています。　そこに寄り道してみるのはどうでしょうか？
901_03_01_010_23|回答。全国各地からご当地の特産品や料理が集まっています。　屋台なども出ているようなので、十香も嬉しいと思います
901_03_01_012_23|慧眼。普段は売っていない食品が目白押しだと思います
901_03_01_015_23|推測。恐らくグルメフェスのせいですね。　屋台の配置方法にも問題があるようですが
901_03_01_018_23|購入。お待たせしました、これをどうぞ
901_03_01_019_23|紹介。四国産のゆずジュースだそうです。　美容にも良いということですので、是非
901_03_01_021_23|指摘。それは恐らくゆずポンですね。あれはポン酢にゆず果汁を　使用したものです。これはゆずの果汁を水で割った飲み物ですよ
901_03_01_022_23|同意。どうやらどの店も同じ容器で提供する仕組みになって　いるようです
901_03_01_023_23|首肯。夕弦もこれはこれで良いと思います
901_03_01_026_23|解説。ゆずに含まれる有機酸類は、疲労回復にも最適です。　胸やけ、胃痛を解消する働きもあります
901_03_01_027_23|追加。さらにビタミンＣやフラボノイドで活性酸素を消去し　病気の予防にもなります。ミカン科ミカン類ですが、本家よりも　成分は優秀ですね
901_03_01_029_23|肯定。かつて耶倶矢との対決の中で、各地のご当地グルメを　食べ歩き、研究し尽くしています
901_03_01_030_23|満足。では次はあちらの黒おでんを試してみましょう
901_03_01_032_23|美味。やはり普通のおでんとは違いますね。　だしの旨味がよく出ています
901_03_01_039_23|羨望。十香を少し贔屓しているのではありませんか？
901_03_01_040_23|疑惑。では、夕弦も士道にあーんしても構わない……　そういうことですね？
901_03_01_041_23|要求。早く口を開けてください
901_03_01_042_23|否定。士道はそうやってすぐに誤魔化します。　今、ここで、あーん、してください
901_03_01_043_23|賛辞。あーん……よくできました
901_03_01_044_23|同意。この具材の中で一番美味しいのがそれでしたから
901_03_01_046_23|熟考。これは……はんぺん、でしょうか。　しかし少し違うような気も……
901_03_01_048_23|納得。確かに夕弦の知っている黒おでんより、味が染みています。　そういうことだったのですね
901_03_01_049_23|慧眼。さすがは士道です。一家の大黒柱なだけあります
901_03_01_051_23|回答。ご当地では駄菓子屋などにも置かれていることが　多いのです。　子供がおやつとして黒おでんを食べることもあるようですね
901_03_01_054_23|首肯。きっとみんな喜ぶと思います
901_03_01_056_23|期待。士道のおでん、夕弦も楽しみです
901_03_01_057_23|静止。待ってください。少し興味のあるところがあるのですが、　見ていっても良いでしょうか
901_03_01_058_23|珍味。香辛料の香りが、夕弦を呼んでいる気がします
901_03_01_059_23|発見。ようやく買うことができました。　みんなで味見してみましょう
901_03_01_060_23|肯定。まさに士道が言ったとおりのものです。　あり得ないような組み合わせに見えて、それ相応の工夫を凝ら　した逸品のようですので、気になっていました
901_03_01_061_23|同意。ですから、一人前を三人で分けましょう。　それならば、夕食に大きな影響はないはずです
901_03_01_064_23|満足。これはスパイスの調合が見事です。　鼻だけでなく、舌さえも魅了する……まるで魔法にでも　かけられたかのよう……
901_03_01_067_23|解説。あれは、焼きそばの上にパスタのソースをかけて仕上げる　洋風焼きそばのようですね。確かに変わった匂いがします
901_04_01_004_23|指南。マスター折紙も言っていました。　自分が可愛くないときなどない、　女はいつでも好きな人のために可愛くなると
901_04_01_034_23|確信。夕弦も耶倶矢も凜祢を大切な友人だと考えています
901_04_01_059_23|指摘。それはギャグのつもりですか……ぷぷ
901_04_01_061_23|失笑。耶倶矢のセンスに脱帽です（笑）
902_01_02_017_23|来訪。おはようございます、士道。　お呼ばれされました
902_01_02_030_23|指摘。晩餐はその言葉通り、晩にする食事のことです
902_01_02_036_23|実証。幸運なことに料理はたくさんあります。　美九、一緒に試してみましょう
902_02_08_007_23|懐疑。士道、ここで何をしているのですか？
902_02_08_010_23|驚嘆。士道、まさかそんな隠し事が……
902_02_08_015_23|同意。殿町の親戚とは全く考えられません。　とても可愛がりがいがありそうです
902_02_08_018_23|驚嘆。どこから情報が漏れていたのでしょうか
902_02_08_019_23|納得。そうですね、その可能性がありました
902_02_08_023_23|肯定。もちろんです。席は夕弦の隣でいいですか？
902_02_08_032_23|同意。今度は耶倶矢たちも一緒だといいですね
902_02_08_034_23|再会。さようなら、凜緒。また会いましょう
902_02_08_041_23|安心。本当にとても良い子ですね
900_00_00_133_23|否定。生き残るのは夕弦です。　耶倶矢に八舞の名は相応しくありません
900_00_00_136_23|請願。士道、この勝負、是非耶倶矢を選んでください
900_00_00_229_23|至高。とろけるようです。ふふ、士道。安心してください。　命までは取りません
