Ri04_06_001|あら、心配事はそれだけでして？
Ku04_06_073|わたくしの本体……あなたたちの言う、〈ナイトメア〉は、　その力を操る何者かの存在に気付きましたの
Ku04_06_074|この巨大な力を持った存在を吸収することができれば、　自らも超越的な力を手に入れることができる……
Ku04_06_075|そう考えた〈ナイトメア〉は、その居場所を探っていたのです。　以前士道さんの前に現れたときと同じく、自らの分身を使って
Ku04_06_076|そして……わたくしもその分身の一人、というわけです
Ku04_06_077|結果的に、〈ナイトメア〉は核心に近づいていたようですわね
Ku04_06_078|……うふふ、士道さんがいけないんですわよ。　士道さんのせいで、わたくしはおかしくなってしまいましたわ
Ku04_06_079|でも……わたくしは、そのことを全く後悔はしていません。　あなたといられる時間の大切さに、気がついたから
Ku04_06_080|……いえ
Ku04_06_081|そういうことではありませんの。　わたくしは所詮分身体。本物の狂三の残滓。『時間』が尽きれば、　消えゆくしかありませんわ
Ku04_06_082|…………残念ながら
Ku04_06_083|……士道さん。ありがとうございました
Ku04_06_084|あなたに会えて、本当に良かった……
Ri04_06_001|あら、心配事はそれだけでして？
Ri04_06_002|ええ。この件については、協力をお約束いたしますわ。　わたくしも巻き添えを食うのは御免ですもの。　――もちろん、信用してくれというつもりもありませんけれど
Ri04_06_003|あらあら……士道さんにそこまで言われたら、　わたくしも頑張らないわけにはまいりませんわねぇ。　でも、一体どういう心境の変化なんですの？
Ri04_06_004|へぇ……そうなんですの。　わたくしにはまるでその記憶がありませんけれど
Ri04_06_005|うふふ、なるほど……面白い考え方ですわね。――それで、　そういうことらしいですけれど、あなたはいかがいたしますの？　いつまでも睨まれていては、疲れてしまいますわよ？
Ri04_06_006|……一応、褒め言葉として受け取っておきますわ
Ri04_06_007|……全く、士道さんは誰にでもお優しいんですのね
Ri04_06_008|うふふ、何でもありませんわ。　お話がまとまったのでしたら、そろそろ行きませんこと？
Ri04_06_009|あら、そう見えまして？　でも、仕方ないではありませんの。　士道さんはわたくしには優しくしてくださらないんですもの……
Ri04_06_010|士道さんのためなら、ひと肌でもふた肌でも……。　好きなだけ脱いで差し上げる覚悟をしていますのに
Ri04_06_011|ふふ、でも残念ながら、それはしばらくお預けですわね。　……まずは、〈ルーラー〉に会いに行かなければ　なりませんものね
Ri04_06_012|可能性はありますわ。でも、その前に寄り道が必要ですわね
Ri04_06_013|ええ、結界の[要*かなめ]を破壊しないことには近づけませんわ
Ri04_06_014|うふふ……そしてラストは神社、ですわね。　この三点が新天宮タワーの結界を支えている[要*かなめ]なのでしょう？
Ri04_06_015|……わたくしの出番で、よろしくて？
Ri04_06_016|あら、全くつれないですわねぇ……きひ、きひひ……上等ですわ。　あの程度……わたくしが一瞬で食らい尽くして　差し上げましてよ？
Ri04_06_017|ひひ、ひひッ……！　あなたとの決着も、楽しみにしておりますわァ
Ri04_06_018|士道さん、心配ならご無用ですわ。　わたくしなら、すぐに戻って参りましてよ
Ri04_06_019|それでは、ごきげんよう
Ri04_06_020|……よくよく縁があるようですわね。ここには――
Ri04_06_021|うふふ……さあ、おいでなさい？
Ri04_06_022|あら、あなたがわたくしのお相手をしてくださるんですの？
Ri04_06_023|あッははははははははは！　どこを狙っておりますの？　わたくしは――
Ri04_06_024|――こちらでしてよ！
Ri04_06_025|ふふッ……心配なさらないで。　お楽しみは――これからですわ
Ri04_06_026|あらあら、またたくさんのお仲間が……　これでは埒があきませんわねえ
Ri04_06_027|うふ、うふふ……。ああ……怖いですわ。恐ろしいですわ！　こんなにもか弱いわたくし相手に、こんな多勢で……
Ri04_06_028|ひひ……ひひひッ……ちょっと、時間をかけすぎましたわね。　わたくしも、そろそろ本気を出さないと。　あまり士道さんを待たせたくはないですし……
Ri04_06_029|ねえ、そうでしょう？　わたくしたち――
Ri04_06_030|さあさあ、どちらが多勢でどちらが無勢か――　教えて差し上げますわァ！
Ri04_06_031|くすくす……
Ri04_06_032|あら、あら
Ri04_06_033|うふふ……
Ri04_06_034|きひ、きひひ！
Ri04_06_035|あはははははッ！
Ri04_06_036|士道さん……もう少しだけお待ちくださいまし
Ri04_06_037|さあ、さあ
Ri04_06_038|いひひひ……！
Ri04_06_039|ふふっ
Ri04_06_040|いかがでして？　わたくしたちは……！
Ri04_06_041|あら……まだ抵抗する気なんですのォ？
Ri04_06_042|あまり美味しそうではありませんけれど……今は、そう贅沢を　言っていられませんわね！
Ri04_06_043|ひひ……ひひ！　きひひひひひひひっ！
Ri04_06_044|きひ！　きひひ、きひひひひひひひッ！　わたくしたち！　よろしくってよ！　よろしくってよォっ！
Ri04_06_045|さあ、終わりにしましょう。全て飲み込んでさしあげますわァ！
Ri04_06_046|……思いのほか、時間をかけ過ぎてしまいましたわね
Ri04_06_047|士道さんがまだ無事だといいのですけれど……
Ri04_06_048|……駄ァ目ですわよ？　おしゃべりに夢中になり過ぎて、　余所見ばかりしていては
Ri04_06_049|いえいえ、わたくしは当然のことをしたまでですわ。　それに、今回はそういう約束でしてよ？
Ri04_06_050|うふふ……まったく、士道さんは馬鹿正直過ぎますわ
Ri04_06_051|あらあら、わたくしと士道さんのお話を邪魔するなんて、　相変わらず無粋な方ですわね
Ri04_06_052|ひひっ……ひひっ……きひひひひ！　まァったく、頭の良い子は嫌いですわァ！
Ri04_06_053|あの枝……わたくしたちの意識を刈り取るようですわ。　士道さん……これはまずい状況ですわよ！　わたくしたちから離れないでくださいまし！
Ri04_06_054|まったく、困ったお方ですわねぇ
Ri04_06_055|申し訳、ありません……力、及ばず……
Ku04_07_002|……お話ししますわ。　わたくしの知ってることを、全部……
Ku04_07_003|この天宮市に異変が……。　こんなことができるのは、強大な力を持った……。　そんな何者かが、この異変に関与して……
Ku04_07_004|わたくしの本体……あなたたちの言う、〈ナイトメア〉は、　その力を操る何者かの存在に気付きましたの
Ku04_06_074|この巨大な力を持った存在を吸収することができれば、　自らも超越的な力を手に入れることができる……
Ku04_07_005|そう考えた〈ナイトメア〉は、その居場所を探っていたのです。　以前士道さんの前に現れたときと同じく、自らの分身を使って
Ku04_07_006|そして……わたくしもその分身の一人、というわけです
Ku04_07_007|……うふふ、士道さんがいけないんですわよ。　士道さんのせいで、わたくしはおかしくなってしまいましたわ
Ku04_07_008|でも……わたくしは、そのことを全く後悔はしていません。　あなたといられる時間の大切さに、気がついたから
Ku04_07_009|……士道さん。ありがとうございました
Ku04_07_010|あなたに会えて、本当に良かった……
Ku04_07_012|…………
Ku04_07_013|……もう会わない方が良いと思ったのですけれど……
Ku04_07_014|……気が付いたら、足がここに向いていたんです
Ku04_07_015|朝からずっと……ですわ
Ku04_07_016|もしかして……探してくださっていたんですの……？
Ku04_07_017|…………
Ku04_07_018|ええ……他の精霊に見つかるかもしれないとも思ったのですけれ　ど、どうしても士道さんに会いたくて……
Ku04_07_019|…………
Ku04_07_021|……な、なんですの？
Ku04_07_022|い、いえ……そちらから……
Ku04_07_023|…………
Ku04_07_024|は、はい……
Ku04_07_025|ありがとうございます……。　……美味しいですわね
Ku04_07_026|そんなことないと思いますわ
Ku04_07_027|……きっと、士道さんが淹れてくれたから、特別なのだと思いま　すわ
Ku04_07_028|……士道さん
Ku04_07_029|……わたくし、もう士道さんとは会わないつもりでしたのに
Ku04_07_030|……士道さんと会って、これ以上自分が消えることに対しての　恐怖が大きくなったら、耐えられそうにありませんでしたから
Ku04_07_031|……でも、ダメでしたわ。　士道さんに会いたくて仕方なくて……気が付いたら……
Ku04_07_032|……士道さん。お願いがありますの
Ku04_07_033|今より辛い思いをさせてしまうかもしれません。　それでも……わたくしのわがままを聞いていただけますか？
Ku04_07_034|……わたくしが消えるその時まで、一緒にいて欲しい。　……それだけ、ですわ
Ku04_07_035|……やっぱり、駄目ですわよね。　わかっていま――
Ku04_07_036|……え？
Ku04_07_037|士道さん……
Ku04_07_038|……士道さん
Ku04_07_039|本当に、士道さんは仕方のない人ですわね
Ku04_07_040|……ありがとう、ございます
Ku04_07_041|わたくしは……士道さんの側にいて、いいんですのね？
Ku04_07_042|じゃあ、証拠をくださいまし……
Ku04_07_043|もう一つ、お願いしたいことがあるんですの……
Ku04_07_044|……言いましたわね？
Ku04_07_045|うふふ……
Ku04_07_046|……鈍いんですのね。　でもそういうところも、士道さんの魅力ですわ
Ku04_07_047|士道さん……
Ku04_07_048|……士道さんのこと、ちゃんと感じさせてください……
Ku04_07_049|そして、刻ませてくださいまし。　わたくしがいたという、証拠……
Ku04_07_050|……士道さん
Ku04_07_051|……士道さん？
Ku04_07_066|連絡……？
Ku04_07_067|……はい
Ku04_07_068|……もしもし。　……はい……はい……ええ……
Ku04_07_069|……そうですわね。　……はい……ええ……わかりましたわ。　でも、約束ですわよ？
Ku04_07_070|……うふふ、仕方ないですわね。　……それでは、失礼いたしますわ
Ku04_07_071|士道さん……一緒に参りましょう。　大事なところでしたけど、そうは言ってられませんものね
Ku04_07_072|士道さんは行かれるんでしょう？　それに、これはわたくしの贖罪でもありますから
Ku04_07_073|ええ、では心の準備を
Ku04_07_074|街の中心……敵の居城にはふさわしい場所ですわね
Ku04_07_075|はい……士道さん
Ku04_07_076|精霊……？
Ku04_07_077|士道さん、いけませんわ……！　この力、わたくしの数倍以上……！？
Ku04_07_078|士道さん！　下がってくださいまし！
Ku04_07_079|な……かはっ……
Ku04_07_080|士道さん……駄目、です、わ……
Ku04_07_081|……いやぁぁあぁぁぁぁぁっ！！
Ku04_07_052|……よろしかったんですの？
Ku04_07_053|士道さん……
Ku04_07_054|……いいんですのね？　本当に……わたくしで
Ku04_07_055|士道、さん……
Ku04_07_056|……そうじゃないかと思いましたわ。　だって……ここは、二人の思い出の場所ですものね
Ku04_07_057|……何をしていましたの？
Ku04_07_058|……ということは、いつも通りの士道さんということですわね？
Ku04_07_059|あら、違いましたの？
Ku04_07_060|もう……うふふ
Ku04_07_061|…………
Ku04_07_062|士道さん……わたくし、幸せですわ。　幸せ過ぎて――怖いくらいに
Ku04_07_063|今日で制服とはさよならでしょう？　せっかくですから、わたくしの幸せをお裾分けいたしますわ
Ku04_07_064|ええ、士道さんも満更ではないお顔ですわよ？
Ku04_07_065|わたくしの幸せ、受け取ってくださいまし
003_02_04_008_04|あら、士道さんではありませんの
003_02_04_009_04|本当に奇遇ですわね。　士道さんはこんなところで何をしてらっしゃるんですの？
003_02_04_010_04|あら、説明する必要がありまして？　乙女の秘密、というものですわ
003_02_04_011_04|さぁ、どうでしょう？　うふふ……
003_02_04_012_04|あら、失礼ですわね。　わたくしは可愛い可愛い女の子ですわよ？
003_02_04_013_04|あら、否定なさらないんですのね
003_02_04_014_04|はぐらかさなくてもよろしいですわよ。　わたくし、嬉しいですわ
003_02_04_015_04|それは士道さん自身が確かめてみてくださいまし
003_02_04_016_04|そうですわね……このスカートの中をじっくり見れば　わかるかもしれませんわ
003_02_04_017_04|あらあら、お顔が赤くなってますわよ？
003_02_04_018_04|本当に面白い方ですわね
003_02_04_019_04|うふふ……
003_02_04_020_04|うふふ……さぁ、どうでしょう？　もしかしたら、時間の補充に行く途中だったかも　しれませんわよ？
003_02_04_021_04|ふふ、冗談ですわ。　今日は幸運にも士道さんに会うことができましたし、　いい気分のまま帰路に就かせていただくことにいたしますわ
003_02_04_022_04|ふふ……では、わたくしはそろそろ退散いたしますわ
003_02_04_023_04|それでは士道さん、ごきげんよう
004_00_00_105_04|ぶつかってしまいましたわね。　こんなところで出会うなんて、運命を感じますわ
004_00_00_106_04|わたくし、少々急いでおりまして。　パンを咥えて走っていたところ……ぶつかってしまいましたわ
004_00_00_107_04|あら、駄目ですわよ士道さん。　女の子には、色々事情があるんですの。　野暮は言わないお約束ですわ
004_00_00_108_04|あら、残念ながらこうしている時間はなさそうですわ。　でも――もし再会するようなことがあれば、　それはもう運命といってよろしいのではありませんこと？
004_00_00_109_04|それはひ・み・つ、ですわ
004_00_00_110_04|それとも、どうしてもということでしたら……　ここで、もっと熱い時間を過ごしてもよろしいんですわよ？
004_00_00_111_04|遅刻はしてしまいますが、ただこの時……　士道さんにこの身をおまかせできるのでしたら、　わたくしは、それでも構いませんわ……
004_00_00_112_04|あら、残念ですわ。　それではまた――次の機会に
007_00_00_064_04|うふふ……なにやらお探しのようですので、　わたくしも、ご一緒させていただきましたわ
007_00_00_066_04|あら、わたくしを探していたのでは？
007_00_00_068_04|どうやら士道さんのため、ということらしいですわね。　それならば、少しくらいはご協力しようかと
007_00_00_070_04|そうでしたの。ふふ……お役に立てて光栄ですわ
007_00_00_072_04|……そんなこと、どうでもいいではありませんの。　そんなに怖い目で睨まないでくださいな
007_00_00_075_04|そうですわね。　わからないことを考えても仕方がないですし……　みなさん、士道さんを助けたいのでしょう？
008_00_00_005_04|あらあら、開始早々物騒な展開ですわねぇ
008_00_00_011_04|なるほど……彼女が例の人工精霊ですわね。　なかなか可愛らしいではありませんの
008_00_00_036_04|相手を、自分のものにしたい、という気持ちではありませんの？　体も心も溶け合って、一つになって……　互いが互いを求めずにはいられなくなる……
008_00_00_044_04|あら、わたくしと同じですわね？　耶倶矢さんも士道さんと一つになりたいんですの？
008_00_00_046_04|あら、答えが聞けなくて残念ですわ
008_00_00_052_04|これはこれで、偏ったお考えですわねぇ
008_00_00_066_04|そうですわねぇ……或守さん、といいましたか？　わたくしたちはどうすればいいのでしょう？
011_03_04_001_04|あら？　わたくしは何を……？
011_03_04_002_04|し、士道さんっ！　先程の光景は……
011_03_04_003_04|普段体験できないような光景でしたわね。　お恥ずかしいですわ
011_03_04_004_04|実は、一度やってみたいと思っていたんですの。　どうでした、わたくしのメイド姿は？
011_03_04_005_04|あら、残念ですわ。　士道さん、あんなにわたくしに夢中でしたのに
013_05_00_017_04|そうですわねぇ。　賢明な判断だと思いますわ、炎の精霊さん
013_05_04_001_04|あら、士道さん……随分と深いことを考えてますわね
013_05_04_002_04|あら、随分とデリカシーのないことをお聞きになりますのね？
013_05_04_003_04|ふふ、構いませんわ。　でも、そうですわね……　あまり束縛されすぎるのは好きではありませんわ
013_05_04_004_04|わたくしらしい……ですか？
013_05_04_005_04|士道さんはわたくしをそんな風に思われてますのね
013_05_04_006_04|うふふ。　では、そういうことにしておきましょう
013_05_90_003_04|あら、みなさんお揃いになられたようですわ
013_05_92_028_04|あら、お掃除中でしたの。　お手伝いしましょうか？
013_05_92_029_04|あら、失礼ですわね。　炊事洗濯、一通りのことはできましてよ？
013_05_92_030_04|そのうち、お見せできる機会がくればいいですわね
013_05_92_031_04|うふふ、その時は、目に物見せて差し上げますわ
013_06_04_001_04|士道さん、あの時のことを思い出していらっしゃるんですの？
015_02_00_012_04|あら、簡単なことですわよ、士道さん
015_02_00_013_04|わたくしは、転校生ですわ。　まあ、ここは初めてではありませんし、　特に驚きもありませんけれど
015_02_00_014_04|それはもちろん、わたくしたちの役割が変化したのですわ。　そうですわね、或守さん？
015_02_00_053_04|……ふっ
015_02_00_054_04|あの二人だけではなく、　わたくしの相手もしていただけませんこと？
015_02_00_057_04|それはわかりませんけど……でもこの席、わたくしは　気に入っておりますわよ。士道さんがよく見えますし、　こうして――
015_02_00_058_04|ふふ……少し、悪戯をすることもできますから。　でも士道さんたら、結構こういうのに弱いんですのね？　わたくしの悪戯心が刺激されてしまいますわ……
015_02_00_059_04|けっこう、筋肉もついていますのね。　殿方の体を触ることに、わたくし、不慣れですから、　とっても興味深いですわ
015_02_00_060_04|しっ……声を出すと、　周りに気づかれてしまいますわよ？
015_02_00_061_04|静かに……。　わたくしに士道さんを楽しませてくださいませ。　ほら……こういうのは、いかがですか……？
015_02_00_063_04|少し、士道さんを楽しませていただいていただけですわ。　士道さん、意外といい体をしておられますから……
015_02_00_066_04|あらあら、怖い顔ですわね。　でも、お断りですわ。　ほら、こんなところも……こんなふうに
015_02_00_074_04|あら士道さん？　随分お疲れのようですわね。　それでしたら、わたくしがマッサージして差し上げますわ。　……さっきよりも、濃厚な時間を、約束いたしますわよ？
015_02_00_076_04|あらあら、士道さんってば……四糸乃さんには　随分甘いんですのね？　みなさんから聞きましたけど……そういう趣味なんですの？
015_02_00_087_04|そういえば、士織さんとは、　ゆっくり遊んでいませんでしたわね。　わたくしも是非、遊んでみたいですわ……
015_02_00_110_04|あら、それはいい考えですわね。　でも、士道さんには少し刺激が足りないかもしれませんわ。　ですから、わたくしと口移しはいかがでしょう？
015_02_00_143_04|料理とは、食材にかける時間で様々な形に変わりますわ。　それならば、わたくしが勝つのが道理というものです
015_02_04_001_04|あら、士道さん……
015_02_04_002_04|また士道さんに恥ずかしい姿を見られてしまいましたわ
015_02_04_003_04|ありがとうございます。　猫耳にしっぽだなんて……　普通にしていたら経験できない貴重な体験でしたわ
015_02_04_004_04|ふふ……他のみなさんには内緒、ですわよ？
016_03_00_018_04|さて、わたくしは単独で行動させていただきますわ。　メニューを知られるのも、知ってしまうのも、　フェアとはいえませんし
016_03_00_019_04|あらあら。　なら、わたくしの手料理に期待しておいてくださいまし
016_03_00_054_04|確かに、そこまでは考えが及んでおりませんでしたわ。　残念ですけど、わたくしの負けのようですわね
016_03_04_001_04|あら士道さん。どういう風の吹き回しですの？
016_03_04_002_04|そうでしたか。では少々お付き合いいただけまして？
016_03_04_003_04|ポトフですわ
016_03_04_004_04|そんなことありませんわ。　圧力鍋を使えば、そこまで時間はかかりませんし
016_03_04_005_04|女の子としては、当然ではありませんの？
016_03_04_006_04|いいえ。せっかく来ていただいたんですし、　お手伝いしていただけます？
016_03_04_007_04|そうですわね。それでは……
016_03_04_008_04|動かないでくださいまし
016_03_04_009_04|時間を計っているんですわ。　士道さんの鼓動、で
016_03_04_010_04|ちょうどよいものが見当たりませんでしたので。　それとも、わたくしのお手伝いはしてくださいませんの？
016_03_04_011_04|うふふ……
016_03_04_012_04|あら、鼓動が少し速くなってしまいましたわ。　これでは、正確な時間が計れなそうですわね
016_03_04_013_04|あら、もうおしまいですの？　残念ですわ
016_03_90_012_04|あらあら、わたくしの料理が逆に浮いてしまっておりますわね。　思った以上に張り合いがなくて拍子抜けですわ
016_03_90_013_04|良く気付かれましたわね。さすがは士道さん。　鋭すぎて、ときめいてしまいそうですわ
016_03_90_015_04|ずいぶん自信がおありのようですわね、炎の精霊さん？　それで、あなたは何を作ったんですの？
016_03_90_036_04|あら、士道さん？　もちろん、わたくしの料理も食べていただけますわよね？
019_02_91_050_04|あら、士道さんからの相談なら喜んでお受けいたしますわ。　もしかして、或守さんのことですの？
019_02_91_051_04|そう難しく考えなくてもいいと思いますわよ
019_02_91_052_04|ええ。先ほどの質問を聞く限り、或守さんは自分の知識の中から　質問の内容を用意されていたようですわ。　それなら、それをやめてしまえばいいではありませんの
019_02_91_053_04|元から持っている知識を使わず、　目を通して得た情報のみを使うということですわ
019_02_91_054_04|はい。ご武運をお祈りしておりますわ
019_02_91_059_04|あら、どういたしまして、士道さん。　お役に立てて何よりですわ
019_02_91_060_04|お礼を言われるようなことではありませんわ。　それにしても……本当に士道さんは、　誰にでもお優しいんですのね
019_02_91_061_04|私、少しだけ嫉妬してしまいますわ
019_02_91_062_04|からかっているつもりはありませんわ。　あら……或守さんではありませんの？
019_02_91_066_04|探しに行った方がよろしいんではありませんの？
019_02_91_067_04|或守さんに付き合って保健室に行った……と伝えておきますわ
019_02_91_068_04|誰にでも優しいというのは、　いいことばかりではありませんわよ
021_04_04_001_04|あら、士道さん。　お帰りなさいまし
021_04_04_002_04|先程から士道さんをお待ちしておりましたの
021_04_04_003_04|あらあら、士道さんたら先程のことを思い出してますのね。　あれは架空の出来事ですわ。　わたくし、普段はあんなにずぼらではありませんし
021_04_04_004_04|ふふ、私も、士道さんに色々と世話を焼いて頂いて、　新鮮な気持ちでしたわ。　今から先ほどの続きをしてもよろしいですわよ？
021_04_04_005_04|あらあら、それは残念ですわ。　……ところで、或守さんはどうしましたの？　まだお帰りになっていないようですけど
021_04_04_006_04|随分と酷いことをするんですのね
021_04_04_007_04|では、よろしければお供させていただきますわ
021_04_04_008_04|そっ
021_04_04_009_04|あらあら、士道さん。　まるで乙女のような悲鳴でしたわよ。　そんなに驚かなくても、わたくし、取って食べたりはしませんわ
021_04_04_010_04|だって、せっかく二人きりですのに、士道さんは考え事ばかり。　女性に失礼ですわよ？
021_04_04_011_04|或守さんのことを、考えておりましたの？
021_04_04_012_04|あら、珍しい。　いつも根拠はなくても自信だけはあるのが士道さんでしてよ？
021_04_04_013_04|一度言葉にしたらそれを実現してしまうのが、　士道さんという人ですもの
021_04_04_014_04|さあ、どうでしょう。　それより、そろそろ学校につきますわよ。　あてはあるんですの？
021_04_04_018_04|あら、積極的ですわね
021_04_04_021_04|それはよろしいですが、そろそろ帰りませんと遅くなって　しまいますわよ？　それとも……ずっとそうしているつもりですの、士道さん？
021_04_04_023_04|随分と嬉しそうな顔をしていますわよ？　よかったですわね、士道さん
022_01_00_013_04|そうみたいですわよ。　わたくしもお招きいただきましたので
022_01_00_014_04|そうですわね。　だいぶ人間らしくなったのでは？　最初の頃からは想像できませんわ
022_01_00_037_04|なんだか楽しそうですわね。　わたくしも、撫でていただけますか。　そうでないと悲しいですわ。泣いてしまいますわ
023_02_00_012_04|まあ、面白そうですわね
023_02_00_023_04|士道さん。そんなところに立っていないで、　こちらに座ったらいかがです？　それとも、わたくしの隣は嫌なんですの？
023_02_00_071_04|士道さん。　よろしければ一緒に歌いませんこと？
023_02_00_072_04|せっかくですから、士道さんと一緒に歌ってみたいですわ
023_02_00_073_04|わたくしと一緒に歌うのは嫌なんですのね。　悲しいですわ。泣いてしまいますわ
023_02_00_074_04|うふふ……ありがとうございます。　それについて、提案がありますの
023_02_00_075_04|何かおっしゃいまして？
023_02_00_076_04|そうですか。　そろそろ士道さんの番ですわ
023_02_00_077_04|ほら、どうぞ、士道さん。　歌ってください？
023_02_00_078_04|うふふ。結構頑張りましたわね、士道さん。　さぁて、罰ゲームは何にいたしましょう？
023_02_00_079_04|うふふ。そうですわねえ。　……とりあえず、もう一曲お付き合いいただけまして？
504_01_04_002_04|あ、士道さぁーんっ
504_01_04_003_04|にゃぁ～ん、今日も[くるみん*・・・・]に会いに来てくれたんですかぁ？
504_01_04_004_04|うれしいですわぁ。あのねぇ、くるみんねぇ、　士道さんにすっごく会いたかったんですのよぉ
504_01_04_005_04|それじゃあ、士道さん。　いつもの席にご案内しますわねー
504_01_04_006_04|はぁい。毎度ありがとうございま～す
504_01_04_007_04|士道さぁん。お水お持ちしましたわぁ。　それと、ご注文いただいた……
504_01_04_008_04|ラブラブ☆どっきんパフェでございま～す
504_01_04_009_04|じゃぁ、さっそく士道さん、あーん
504_01_04_010_04|んふふふ、どうですかぁ、士道さぁん
504_01_04_011_04|あぁん、くるみん、うれしいぃん。　士道さんのことを思って、一生懸命作ったんですのぉ
504_01_04_012_04|くるみん、もっと食べてほしいですぅ。　あーんしてぇ。はやく、はやくぅ
504_01_04_014_04|あぁん、士道さん。　くるみん、別のご主人さまに呼ばれちゃいましたわぁ。　ちょっと待っててくださいねぇん
504_01_04_015_04|あぁん、神無月さぁん、またいらしてくださいましたのォ？
504_01_04_017_04|はぁい、背徳☆すれいぶパフェ、入りまぁす
504_01_04_020_04|はぁい、士道さーん
504_01_04_021_04|お待たせしましたぁ。萌え萌え☆だんすパフェ入りまぁす
504_01_04_022_04|うふふ……じゃあ、ちょっと恥ずかしいけどぉ、　くるみん、踊りますねぇ☆
504_01_04_023_04|みゅーじっく、すたーぁと♪
504_01_04_024_04|今日も♪　ドキドキ♪　ないと☆めあ♪　ご主人さまを♪　悪夢で死なす♪
504_01_04_025_04|明日も♪　ご奉仕♪　ないと☆めあ♪　ご主人さまを♪　とにかく死なす♪
504_01_04_026_04|あ、そぉれ。　どっきゅん☆　はっきゅん☆　くるりんぱっ♪　どっきゅん☆　はっきゅん――
504_01_04_027_04|あ、そぉれ、くるりんぱっ♪
504_01_04_028_04|くるりんぱっ♪
504_01_04_029_04|萌え萌え☆だんすパフェ、お待ちどうさまですわぁ
504_01_04_030_04|いやぁん、士道さぁん。　くるみん、恥ずかしかったですわぁ
504_01_04_043_04|はぁ～い、背徳☆すれいぶパフェお持ちしましたわぁん
504_01_04_045_04|え？　あ、きゃん！
504_01_04_046_04|いやぁん！
504_01_04_049_04|あぁん、二人とも、くるみんのために争っちゃ　いやいや☆あんはっぴぃ♪　お店で暴れるご主人さまはお帰りいただきますわよぉ？
504_01_04_053_04|士道さぁーん、お待たせしました～
504_01_04_054_04|士道さぁん、あーんの続きしましょうね～
504_01_04_055_04|ねぇ士道さぁん、　くるみんとお話しながら食べましょう……　あっ……きゃぁっ！
504_01_04_056_04|いやぁあん☆
504_01_04_057_04|ああん☆　どうなってるのかしら、この空調ぉ～
504_01_04_058_04|んもう……ごめんなさいねぇ、士道さぁん
504_01_04_059_04|あぁん、士道さんに恥ずかしいところを見られちゃってぇ。　くるみんたら、はきゅぅぅぅんって感じですわぁ。　でもぉ、士道さんが心配してくれたからぁ。大丈夫ですぅん
504_01_04_060_04|はぁい、士道さぁん。気を取り直してぇ、あーん
504_01_04_061_04|はぁい、士道さぁん。もうひとくちぃ。　くるみんのパフェを　萌え萌え☆どっきゅーん
504_02_04_001_04|あら、士道さんではありませんの
504_02_04_002_04|ええ。ずっといましたわよ。　士道さんが屋上にいらっしゃる前から
504_02_04_003_04|別に。強いて言えば、ひとりになりたかった。　……というところでしょうか
504_02_04_004_04|さあ？　気のせいではありませんこと？
504_02_04_005_04|ところで、士道さんは　屋上に何の御用だったんですの？
504_02_04_006_04|そうですの。ではこの場所は　士道さんにお譲り致しますわ
504_02_04_007_04|お気になさらず。教室はずいぶんと賑やかなようですから　士道さんもたまにはひとりになりたいのでしょう？
504_02_04_008_04|ふふ……。大変ですわね。　遠慮なさらず屋上の空気を吸ってはいかがですの？　わたくしは用がありますし、これで退散いたしますわ
504_02_04_009_04|では士道さん、ごきげんよう
504_02_04_010_04|いえ、お気になさらず
504_02_04_011_04|ふぅん。士道さんもそんなご冗談を　仰るようになりましたのね
504_02_04_012_04|ええ。だって士道さんはどうしてわたくしが　屋上にいることがわかりましたの？
504_02_04_013_04|わたくしに会いに来たというのなら、　わたくしが屋上にいることを知っていなければなりませんわ。　でもそんなはずはありませんの
504_02_04_014_04|わたくしはここに行くことを誰にも告げませんでしたし、　来る途中に誰かに尾行されたということも、　ないと保証できますもの
504_02_04_015_04|ふふ……士道さん。まだまだですわね。　ちょっと問い詰めたらすぐにボロが出るんですもの
504_02_04_016_04|ありがたい申し出ですけれど、遠慮しておきますわ
504_02_04_017_04|ふふ……だってこのまま士道さんといると　我慢できそうにないんですもの。　食べてしまいたくなりますわ
504_02_04_018_04|そういうことですので　さようなら、士道さん
504_02_04_019_04|あぁん、猫さん。かわいいですわぁ
504_02_04_020_04|もう……よちよち
504_02_04_021_04|あぁ、いいこでちゅねー。よちよち
504_02_04_022_04|！　はっ！？
504_02_04_023_04|し、士道さん……！？
504_02_04_024_04|ち、違いますのよ……！？　これは……
504_02_04_025_04|こ、これは……その。急に生えてきて
504_02_04_026_04|か、勝手に動いてしまいますのよ！　それに……しっぽが生えてからわたくし、何か変で……　かわいいものを見るとつい……
504_02_04_027_04|！　はぁん！
504_02_04_028_04|ほらぁ、あんまり暴れては駄目ですわよぉ
504_02_04_029_04|う、うるさいですわね！　わたくしも好きでこんなことをしているわけでは　ありませんのよ。身体が勝手に……
504_02_04_030_04|！　はぁん！
504_02_04_031_04|はうぅ、いい子いい子いい子……！
504_02_04_032_04|し、士道さんっ。　あ、あんまり見ないでくださいまして？　これではっ……わたくしのイメージというものが
504_02_04_033_04|ち、違うんですのよ！　何度も言っているように　急にしっぽが生え出してからは身体が勝手に……
504_02_04_034_04|！　はっ、また！
504_02_04_035_04|あ、朝からですわっ
504_02_04_036_04|そ、そうですわっ。……そうでしたのに！　……油断しましたわっ。士道さんと二度も会うなんてっ
504_02_04_037_04|ああんっ
