Ri03_06_001|は……はいっ！　し、士道さんが無事で、よかった……です
Yo03_07_004|……はい
Yo03_07_005|へ、平気です……よしのんの、ためだから……
Yo03_07_006|そ、そんなこと……な、ない、です……
Yo03_07_007|…………
Yo03_07_008|は、はい。え、えっと……。　その……絵を……絵を描くこと、です……
Yo03_07_009|はいっ！　よしのんの……絵を描きますっ
Yo03_07_010|あ、あの……前に商店街で、見たこと……あるん、です。　大切な人のために、絵を描く……って……
Yo03_07_011|ほ、本当、ですか？
Yo03_07_012|……はいっ！
Yo03_07_013|……はいっ！
Yo03_07_014|………
Yo03_07_015|………
Yo03_07_016|……ほ、本当、ですか……？　私、もっとがんばり、ます！
Yo03_07_017|だ、だいじょぶ、です！
Yo03_07_018|は、はい！　これは……わ、私がしなくちゃいけないことです、からっ！
Yo03_07_019|はいっ！
Yo03_07_020|………
NoneAudio|…………………
Yo03_07_021|…………
Yo03_07_022|……ん……なん、です……か……？
Yo03_07_023|…………
Yo03_07_024|……し、士道さん……ゆ、夢、ですよね？
Yo03_07_025|…………あ……あ……。　……よし、のんっ！
Yo03_07_026|……そ、そんなわけ、ないっ！
Yo03_07_027|よしのん……もう、いなくなったり、しないで……
Yo03_07_028|うんっ！
Yo03_07_029|……あ、あの、士道さんっ！
Yo03_07_030|この絵……か、壁に貼ってもいいですか……？
Yo03_07_031|あ、でも、私は……こっちの方が、よく、見えると……
Yo03_07_032|で、でも……
Yo03_07_033|ううん、こっち……！
Yo03_07_034|……士道、さん？
Yo03_07_053|……は、はい
Yo03_07_054|……士道、さん
Yo03_07_055|……私にしかできないことが……あるんです、よね……？
Yo03_07_056|……私、行きますっ！
Yo03_07_057|士道さんが……教えてくれ、たんです
Yo03_07_058|……誰かが困ってるときに、支えてあげる……って
Yo03_07_059|大丈夫、です……士道さん、と一緒、ですし……
Yo03_07_060|はい……士道、さん……！
Yo03_07_061|誰、ですか……？
Yo03_07_062|この人、は……精霊、なんでしょうか……？
Yo03_07_063|士道、さん！　危ないっ！！
Yo03_07_064|え？　……ど、どうして！？　動いて！　動いて〈[氷結傀儡*ザドキエル]〉！
Yo03_07_065|士道さ、ん……！！
Yo03_07_066|……！？　きゃあぁぁぁぁぁっ！
Yo03_07_035|わ、私は、もっと左、です！
Yo03_07_036|そんな、こと……ありません！
Yo03_07_037|はい……！　自分で描いた絵です、から！
Yo03_07_038|ちょ、ちょっと……待ってくださ、い……
Yo03_07_039|ま、まだ……です、けど……し、士道さん……　た、助けてくださぁい……
Yo03_07_040|……あ、あぅ……
Yo03_07_041|す、すいません……ひ、一人じゃ……着れなく、って……
Yo03_07_042|あの……着替えるの……手伝って、もらえます、か……？
Yo03_07_043|だめ、ですか……？
Yo03_07_044|で、でも……よしのんには……前より、頼らなくなった……よ？
Yo03_07_045|士道さんは……いいんですっ！
Yo03_07_046|はいっ！
Yo03_07_047|は……はぅ……
Yo03_07_048|……ど、どうですか？
Yo03_07_049|えへへ……
Yo03_07_050|……士道さん
Yo03_07_051|私……すごく幸せ、です……
Yo03_07_052|……はいっ！
K03_00_001|……し、士道、さん……っ！
K03_00_002|あ……っ、あの、本当に大丈夫……なんですか？
K03_00_003|無事で……よ、よかったです……っ！
K03_00_004|ごっ……ごめん……な、さい……っ！
K03_00_005|は……はい……っ！　わ、私は……大丈夫、です
NoneAudio|……………………
K03_00_006|……あ…………
K03_00_007|……あ、ありがとうござい、ます！
K03_00_008|は、はいっ！
K03_00_009|わ、私も……士道さんと一緒……だと、嬉しい、です
K03_00_010|は、はいっ！　とても
K03_00_011|……？
K03_00_012|し、士道……さん、だ、大丈夫ですか……っ？
K03_00_013|……ご、ごめん、なさい
K03_00_014|……な、何か困ったら……言ってください、ね……？
K03_00_015|あ、あと……し、士道さん……。　あ、あまり無理……しないでくださいね……っ
K03_00_016|は……はいっ
K03_00_017|お……っ、おはよう、ございます。士道さん……っ！
K03_00_018|は、はい……っ！
K03_00_019|いっ……いってらっしゃい、です……っ！
003_02_03_011_03|……し、士道さぁん……
003_02_03_012_03|うぅ……えぐっ……えぐっ
003_02_03_013_03|あのっ……あのっ……士道さん……えぐっ
003_02_03_016_03|うっ……うっ……。　その……ドラマで……
003_02_03_018_03|うっ……うっ……。ふぇぇぇん……
003_02_03_020_03|なか……なか、むらさん……っ
003_02_03_021_03|う……ひっく……ぐすっ……
003_02_03_026_03|うう……ひっく
003_02_03_027_03|ふぇぇ……はい、士道さん……ありがとうございます
004_00_00_006_03|は、はい……
004_00_00_030_03|私も……見てみたい、です
004_00_00_113_03|う、うぅ……す、すみません……。　急いで、いて……
004_00_00_114_03|あ……あの、急いでいて、それで、　パンを……その、咥えていたので……
004_00_00_117_03|ご、ごめんなさい。　私が……ちゃんと前を見て、なかったから……
004_00_00_119_03|ちょ、ちょっと……よしのん？　何の、話？
004_00_00_121_03|よ、よしのん……や、やめて……。　は、恥ずかしい……
004_00_00_124_03|じょ、女性……って。　そんなの……無理……
004_00_00_126_03|は、はい……ありがとう……ございます
004_00_00_127_03|はい……あの、すみません……
004_00_00_129_03|も、もう……！　よしのん、行くよ。士道さん、その、ごめんなさい……
005_00_00_032_03|そ、そんな……士道さん……
005_00_00_036_03|そ、そんなの……だめです。いやです！
005_00_00_061_03|せ、精霊……の？　機械に強い精霊さんが、いるん……ですか……？
007_00_00_021_03|わ、私も……行き、ます！　士道さんには、たくさん助けてもらいました。　今度は……私が、士道さんを助けたい、ですから！
007_00_00_023_03|よ……よしのん……！
008_00_00_007_03|し、士道さんは、　ゲームの中から出られなくなっているんです。　そ、その人の……せいで
008_00_00_031_03|えっと……た、たとえば、その人のことを考えると、　ドキドキしたり、心が……温かくなったり……
008_00_00_033_03|…………っ！
008_00_00_035_03|……うう、それは、そうかもしれないですけど。　他のこととは、違って……る、ような……
011_03_03_001_03|……え？
011_03_03_002_03|あの……わかり、ません。　私……さっきまで士道さんの部屋で……
011_03_03_003_03|は、はい……あの。ご、ごめんなさいっ……！
011_03_03_004_03|わ、私……。あの……あの……
011_03_03_005_03|いえ、その……ごめんな、さい……！
013_05_03_001_03|か、可愛い……とか、守ってあげたい……って思うこと……　じゃ、ないでしょうか……
013_05_03_002_03|わ、私……ペット、なんでしょうか？
013_05_03_005_03|……わ、私……は、そんなこと……
013_05_92_018_03|あの……士道さん。　お片づけ……手伝います
013_05_92_019_03|い、いえ……
013_05_92_020_03|……はい？　なん、ですか？
013_05_92_021_03|えっ……？　その、あの……
013_05_92_022_03|……ええと……その……
013_05_92_024_03|よ、よしのん……！
013_05_92_025_03|私には……わかりま、せん……
013_05_92_026_03|……！　……いえ……それは…………嬉しい、です
013_05_92_027_03|……は、はい。よろしく……お願いします
013_06_03_001_03|あの……
013_06_03_003_03|……いえ、なんでも、ない……です
013_06_03_005_03|……で、でも……私にも、よくわからなくて
013_06_03_008_03|……あ、あぅ……
015_02_00_005_03|お、遅いですよ、士道……さん。　遅刻しないように……気をつけてくださいね
015_02_00_007_03|はい。え、えっと、今日から、私、　このクラスの担任の先生になった……みたいです
015_02_00_009_03|あ、ありがとう……ございます
015_02_00_011_03|や、やっぱり、おかしいですか……。　でも、今日から教師だ、って、学校から言われて……
015_02_00_035_03|みっ、みなさん！　そろそろ、授業が、は、始まりますよ！　美九さんも、琴里さんも、自分のクラスに戻ってください～
015_02_00_038_03|そ、それでは……出席をとります！
015_02_00_048_03|こ、こらー……。　出席を、とりますよ……！
015_02_00_075_03|あ、あの、士道さん……。　職員室は、知らない人、ばかりで……　一緒にいても……いい、ですか……？
015_02_00_077_03|い、いい子って……言ってもらっちゃいました。　えへへ……
015_02_00_079_03|あ、あう……でも……
015_02_00_082_03|……ふふ
015_02_00_083_03|あ、いえ……。　学校での、士道さんて、こんな感じなんだな……って
015_02_00_084_03|私は……その、十香さんとか、耶倶矢さんや夕弦さんみたいに、　いつも見ているわけではないので……
015_02_00_089_03|お、お色気……なんて……
015_02_00_106_03|で、でも、恥ずかしいよ……
015_02_00_108_03|う、うう……恥ずかしい……
015_02_00_128_03|う、うん……そうですよ。　せ、先生なんですから……。　私が、士道さんに、あ～んって、するんです
015_02_00_141_03|う、うう……勝負ですか……　私、料理は全然……
015_02_03_003_03|し……士道さん。私、その……
015_02_03_004_03|は……はい……っ
016_03_00_009_03|どうしよう……。　……何を作ればいいかな、よしのん？
016_03_00_051_03|わ、私、自分の料理で頭いっぱいで……。　食べる士道さんのことを、考えていなかったかも……
016_03_03_001_03|あっ……士道、さん
016_03_03_002_03|あの……肉じゃが、です……
016_03_03_003_03|ええと……じゃ、じゃあ、あの……野菜を切るのを……
016_03_03_004_03|は、はい……ありがとう、ございます
016_03_03_008_03|は、はい……お願い、します
016_03_03_011_03|お……お嫁、さん……
016_03_03_012_03|あっ、はい。あの……士道さん……
016_03_03_013_03|ありがとうござい、ます……。　あとは……自分でやりますから……。　士道さんは、その……ゆっくり、していてください……
016_03_90_010_03|わ……私、です……。　す、すみません……少し、焦がしてしまって……
016_03_90_039_03|あぅ……あのっ……！
018_01_00_074_03|お、おはよう、ございます
018_01_00_075_03|……そう、なんですか。　いわゆる授業参観……みたいな？
018_01_00_076_03|あの、私……先生、ですから……！　学校のことを色々……勉強してます。　……あ、或守さんはこのクラスを……見学するんですか？
018_01_00_080_03|そ、それじゃ……授業を始めますね……！
019_02_91_005_03|あ……は、はい！　な、なんでしょう……或守さん……
019_02_91_007_03|え、ふえ……？
019_02_91_012_03|あ、あの……一応、教本通りで……
019_02_91_069_03|あ、はい。すぐ行きますね……！
019_02_91_070_03|は、はい……なんでしょうか
019_02_91_072_03|あ、或守さんを……ですか？
019_02_91_073_03|なるほど……わかり、ました……
019_02_91_075_03|了解です
019_02_91_080_03|し、士道さんの頼みなら……お安い御用、です！
019_02_91_085_03|ど、どうしたんでしょうか……？
019_02_91_087_03|あ、あの……士道さん……！
019_02_91_088_03|が、頑張ってください……！
021_04_03_001_03|あ、士道さん……。　……お帰りなさい
021_04_03_002_03|はい
021_04_03_004_03|……お、お兄ちゃん。四糸乃の日焼け、見たいの？
021_04_03_005_03|……あ！　あの、違うんです……。　まだちょっと、混乱していて……
021_04_03_006_03|あの、まだここには帰ってきていないみたいですけど
021_04_03_007_03|あの……大丈夫、です……。　私も、心配です……から
021_04_03_009_03|どういう、こと……ですか？
021_04_03_011_03|あの……士道さん、私……信じて、ます……！
021_04_03_012_03|士道さんは……答えを見つけてくれる人、ですから……。　今回も大丈夫だって……信じられます
021_04_03_021_03|えっ……う、うん。　士道さん、或守さん……帰りましょう
022_01_00_019_03|……このサラダも……すごく、美味しいです
022_01_00_032_03|え……？　そ、それでいいなら……。　あ、あの、私も……
023_02_00_010_03|……カラオケ、行って……みたい、です
023_02_00_025_03|士道さん……。　曲の入れ方がわかりません……
023_02_00_058_03|あの……士道、さん……
023_02_00_059_03|……士道さん。　よかったら一緒に、歌いませんか？
023_02_00_061_03|……はい！
023_02_00_063_03|……あの、私……歌いたい曲が、あるんです
023_02_00_065_03|……その、任せてください！　えっと、番号は……
023_02_00_068_03|『もしかしてきみだけが、わたしのねむりさますひと……』　う、うう……士道さん、あまり見ないで、ください……
023_02_00_070_03|ひゃうぅ！　し、士道さん。恥ずかしいです
503_01_03_001_03|し、士道……！
503_01_03_002_03|どうかした……とかじゃ、ありません！
503_01_03_003_03|士道…これは、いったいどういうこと……なの？
503_01_03_004_03|服は脱ぎっぱなし、食べた物は散らかしっぱなし……　本気で言ってるんですか！
503_01_03_007_03|士道……！
503_01_03_008_03|う……ううう……
503_01_03_010_03|むー……です
503_01_03_011_03|んー！　んー！！
503_01_03_013_03|……ふんっ……士道のバカ……
503_01_03_014_03|ふぁ…うん、うん！　……私が、士道のお姉ちゃん……です！
503_01_03_015_03|……む！
503_01_03_017_03|……うん、そう！
503_01_03_018_03|私、士道と、一緒にお掃除が、したい……
503_01_03_019_03|……うぅ
503_01_03_021_03|……はぅ！？　あの、士道……私、迷惑……？
503_01_03_022_03|士道、そっち……
503_01_03_023_03|士道、こっちも
503_01_03_025_03|し、士道駄目！　あとちょっとだから……頑張って
503_01_03_026_03|……？
503_01_03_028_03|元気のチャージ？
503_01_03_030_03|わ、わかりました。　士道のため……です
503_01_03_033_03|頑張れ、頑張れ、士道！
503_01_03_034_03|どう？　士道、これで頑張れそう？
503_01_03_036_03|が、頑張れ士道。　お姉ちゃん、頑張る士道が大好き、だよ
503_01_03_037_03|お掃除いっぱい頑張る士道が、だいだい大好き……ですっ！
503_01_03_039_03|士道……？　どうしたの？
503_01_03_041_03|あ、そうか。　うん、私、頑張り……ます
503_01_03_042_03|士道、雑巾を持ってない、です。　雑巾は士道の、頭の上！
503_01_03_043_03|士道、雑巾は眼鏡じゃ、ないです
503_01_03_044_03|士道、それ、植木鉢。　掃除機は……こっち
503_01_03_045_03|士道、コンセントが入ってない……！
503_01_03_047_03|士道、ベッドの下を忘れて……ます！
503_01_03_049_03|士道……しっかり片付けてくだ、さい！
503_01_03_051_03|し、士道！　そ、そんなの……駄目、です！
503_01_03_052_03|どういたし……まして
503_01_03_053_03|おつかれ、士道
503_01_03_054_03|士道のご飯……嬉しい
503_01_03_055_03|……！　士道、それ、それ名案です！
503_02_03_001_03|あの、お邪魔、します
503_02_03_002_03|あの、士道さん……私、です……
503_02_03_003_03|士道さん、私です……。　私が、四糸乃……です
503_02_03_004_03|……士道、さん？　どうかしました、か？
503_02_03_007_03|よろしく……お願い、します
503_02_03_010_03|あ、あの。……証拠ならひとつ。　見せられるものが……
503_02_03_011_03|小さい頃に猫さんに噛まれた傷が、　同じ場所にあるので……
503_02_03_013_03|……あの、お尻です。　でも、士道さんが見たいなら、私
503_02_03_014_03|ほんと、ですか
503_02_03_016_03|士道さんに、いつもお世話になってるので……　お返しをしたいと、思ったん……です
503_02_03_018_03|あの……！
503_02_03_019_03|特に、なにもでき、ません……ごめんなさい
503_02_03_020_03|すみません……
503_02_03_021_03|ど、どうか、しましたか？
503_02_03_022_03|……？　ああ！　そう、ですね。好き、です
503_02_03_023_03|まだ……考えて、ないです。　恩返しのことばかり、考えていて……
503_02_03_024_03|……え？
503_02_03_026_03|いい、んですか……？　ずっとこのまま、この家にいても
503_02_03_027_03|あっ……はいっ！
503_02_03_028_03|す、すみま、せん。　ジュースを、ひっくり返して……
503_02_03_032_03|し、士道さん、泡、泡が……！　やっぱり、上手く洗えません。　いつもみたいに、私の体……洗って、ください
503_02_03_033_03|はい、お願い、します。　泡が、目に……士道さぁん……
503_02_03_034_03|む、難しい、です……
503_02_03_036_03|は、はい……お願いします、士道さん
503_02_03_037_03|あの、士道さん。どうかしましたか
503_02_03_038_03|反対？　……お腹を見せるってことですか？
503_02_03_040_03|え、でも……
503_02_03_041_03|は、はい！
503_02_03_044_03|わかりました。士道さん……。　私、自分でやりますから
503_02_03_045_03|はい、士道さん。だから、その……。　見せてください。洗い方
503_02_03_046_03|士道さんの洗い方を、真似してやってみるので、　私に、士道さんの体を洗うところ、見せてください
503_02_03_048_03|は、はい
503_02_03_049_03|あの、士道さん。　その持ち方だと、よしのんがいるのでできません。　……どうやって持てばいいですか？
503_02_03_052_03|……ごしごし、ごしごし。　はい、士道さん。大丈夫です。　……お風呂って、楽しいですね
503_02_03_053_03|私……士道さんと、また一緒に……入りたい、です
503_02_03_055_03|……隠れる？　隠れるって……どこに、ですか？
503_02_03_061_03|……？
503_03_03_001_03|し、士道おにいちゃーん！
503_03_03_003_03|士道お兄ちゃん、こっちです
503_03_03_005_03|士道お兄ちゃん、久しぶりです！　……元気でしたか？
503_03_03_006_03|そうかな？
503_03_03_007_03|えっ！？
503_03_03_009_03|ありがとう、士道お兄ちゃん！
503_03_03_011_03|うん。ほら、士道お兄ちゃん。　私の体……よく見て？
503_03_03_013_03|今年の夏は、いっぱい……　いーっぱい泳ぐの練習したの。　その成果を、見て欲しくて
503_03_03_014_03|うん！
503_03_03_015_03|どうしたの？　……士道、お兄ちゃん
503_03_03_018_03|ふふ、くすくす
503_03_03_020_03|……！　あり、がとう
503_03_03_022_03|よ、よしのん！　それは、秘密……！
503_03_03_023_03|でも、新しい水着って、どうして分かったの？
503_03_03_025_03|日焼け？
503_03_03_027_03|ふふ……お兄ちゃんの、エッチ
503_03_03_029_03|冗談、だよ。　……でも、よかった。　この水着、似合ってる？
503_03_03_030_03|よかった。ありがとう、お兄ちゃん！
503_03_03_031_03|おー！
503_03_03_033_03|えっ？
503_03_03_038_03|士道お兄ちゃん……。　お兄ちゃんはスク水好き……なの？
503_03_03_039_03|じゃあ、今度はお兄ちゃんが嬉しいように……　学校の水着を着てくるから、楽しみにしててね
503_03_03_042_03|ねー、よしのん
503_03_03_043_03|うん、すごく楽しかった、です
503_03_03_044_03|うん、今日はここまで……
503_03_03_045_03|それじゃあ、来年も期待しててね……お兄ちゃん
503_03_03_046_03|うん、来年はもっと大人な私を見せるからね
503_03_03_048_03|よ、よしのん！
503_04_03_001_03|あ、士道、さん……ぐす、ぐす……
503_04_03_002_03|士道さん……来てくれて、ありがとうございます。　あの人も、よしのんも喜ぶと思い、ます……ぐす
503_04_03_003_03|士道さん……
503_04_03_004_03|……ごめんなさい、士道さん。　でも今は、まだ……
503_04_03_005_03|だ、駄目……駄目です、士道さん……！
503_04_03_006_03|だめ、士道さん！　……よしのんが、見てるから
503_04_03_007_03|……っ……
503_04_03_008_03|ちょっと、今はまだ……想像できない、です
503_04_03_009_03|見てる？
503_04_03_010_03|うん。一杯してました。　……大食い競争、とか
503_04_03_011_03|水泳対決とか
503_04_03_012_03|目覚ましが鳴る前に止める対決とか
503_04_03_013_03|でも……それがどうか、したんですか？
503_04_03_014_03|士道さん……
503_04_03_015_03|……わかりました
503_04_03_016_03|はい。わかりました……
503_04_03_017_03|あの、士道さん。どこへ行ってたんですか。　……その手に持ってる物は？
503_04_03_018_03|……はい
503_04_03_019_03|……？
503_04_03_020_03|……そう、ですか
503_04_03_021_03|……え、ええと……
503_04_03_022_03|あ、あの、士道さん。　……もう一回
503_04_03_023_03|もう一回見てみれば、分かるかも、しれません
503_04_03_024_03|……ええと……よく、わからないです
503_04_03_025_03|し、士道さん。もう一回。あと一回だけ、お願い……します。　そしたら、何か分かる、気がします
503_04_03_026_03|……ぷ……くすくす
503_04_03_027_03|私のこと……笑わせようとしてくれたんですね
503_04_03_028_03|ありがとう、士道さん……　少し、考えてみます
503_04_03_029_03|え、そ、それは。……いまはちょっと
503_04_03_030_03|士道さんの、背中、ですか？
503_04_03_031_03|いえ、わかりました。　士道さんが、私のために……何かをしてくれているんです。　士道さんの背中、貸してください
503_04_03_032_03|あの、士道さん。このあと、どうすれば……
503_04_03_033_03|ぐす、くすん……
503_04_03_034_03|すみません、士道さん……でも、辛くて……
503_04_03_035_03|士道さん……
503_04_03_036_03|士道さんとよしのんは、なんであんなに沢山、　競い合っていたんですか
503_04_03_037_03|誰かを好きになるのは、幸せなこと……
603_11_03_002_03|……えっ！？　し、士道さん、その……　わ、私頑張りますから！　なんでも、しますから！　だから……っ
603_11_03_004_03|あ、あの……わ、私……　士道さんを、困らせるようなこと……しました、か？
603_11_03_007_03|よ、よしのんっ……！？
603_11_03_008_03|あっ……う、嬉しい……です
603_11_03_010_03|あの。こ、琴里さんに、案内してもらいました……
603_11_03_012_03|あの。ご迷惑……でしたか？
603_11_03_014_03|そ、その……それなら、どうして私のことで、　困っていたんです……か？
603_11_03_015_03|っ……は、はい。して、ました
603_11_03_016_03|あの……そんなに……困る、ことなんですか……？
603_11_03_018_03|う、うん……
603_11_03_019_03|……そう、だったんですか
603_11_03_022_03|あ、遊園地とか……動物園、水族館も……あるんです、ね
603_11_03_024_03|えっと……早いって、どんなところ……ですか？
603_11_03_025_03|え、私の、行きたいところ……です、か？
603_11_03_027_03|よ、よしのんっ……！
603_11_03_029_03|え、あ……は、はい……そう、ですね……
603_11_03_031_03|あの、えっと……
603_11_03_033_03|あの、その……どこも、楽しそう……なんですけど
603_11_03_034_03|私は……士道さんと一緒なら、どこでも……いいです
603_11_03_039_03|あ、あの。私は……、士道さんの行きたいところで、　大丈夫です。一緒なら、きっと楽しいですから
603_11_03_040_03|え、あっ……そ、その……それは……
603_11_03_041_03|えっ！？　し、士道さん……そ、それ……
603_11_03_043_03|……よ、よしのんっ！？
603_11_03_046_03|え、えっと……士道さんが、いて、くれます……
603_11_03_047_03|士道、さん……
603_11_03_049_03|っ！？
603_11_03_051_03|……違うんです、か？
603_11_03_053_03|え、えっと……士道さんの、したいように、　して……ください……
603_11_03_055_03|や、よしのんっ……！？
603_11_03_058_03|あ、あのっ……そ、それは、その……
603_11_03_061_03|えっと……これＤＶＤ、ですか？
603_11_03_063_03|……女の人向けの物、ばかりですね
603_11_03_067_03|あの……お疲れ、なんですか……？
603_11_03_068_03|あ……はい。わかり、ました……
603_11_03_069_03|そういう、ことなら……そう、します
603_11_03_072_03|その……興味は、あるんですけど……　楽しいから、だけじゃなくて……
603_11_03_073_03|えっと……お、男の人と、お付き合いするのは、初めて……　ですから。だから……勉強、しようと、思って……
603_11_03_074_03|私はあまり、わかりません……から。　出来るだけ恥ずかしく、ないように……しないと
603_11_03_077_03|それじゃ……これ、いいですか……？
603_11_03_078_03|あ、あの。名前は、聞いたことがあって。　だけど、見たことがなかったです、から……
603_11_03_080_03|あ、はい……！
603_11_03_083_03|あ、あの……士道さんは、暇じゃありません、か？
603_11_03_084_03|そう、ですか。よかった……
603_11_03_085_03|はい……そうですね。　だけど、私も続きが……気になります
603_11_03_086_03|あ、その……えっと
603_11_03_087_03|疲れてはいないです、けど。その、お願い……　してもいいです、か？
603_11_03_088_03|えっと、その……
603_11_03_091_03|あ、あの……さっき、ドラマでやってた……ことなんですけど
603_11_03_092_03|あ、あの……大丈夫、ですか？
603_11_03_093_03|そ、そうですか……良かった、です
603_11_03_095_03|へ、変なこと、って。どんなこと、ですか？
603_11_03_097_03|あ、あの……急に、膝枕したい、なんて……　わがままを言って、すいません……
603_11_03_098_03|あ、ありがとう、ございます
603_11_03_100_03|こ、この……先……？
603_11_03_101_03|あ、あの……大丈夫、です。士道さん、だから……
603_11_03_102_03|経験、ですか……？
603_11_03_103_03|……小さい頃、ですか
603_11_03_107_03|あ、あの……すいません
603_11_03_108_03|そ、そうですか……良かった
603_11_03_109_03|…………
603_11_03_110_03|あっ……すみません……
603_11_03_111_03|そ、そうですか
603_11_03_113_03|あ、えっと……やめます、か？
603_11_03_115_03|……安心、しました
603_11_03_116_03|あ、いえ。その、女の人と、仲良くしてるとか、　そっちじゃなくて
603_11_03_117_03|……士道さんも、その……私との、　デートで緊張してたんです、ね
603_11_03_119_03|べ、別に……悪いなんて、思ってません。　それも……ほっと、します
603_11_03_120_03|あ、あの……慣れてる士道さんの方が……　嫌、です……
603_11_03_121_03|士道さんは……十分、頼りになります
603_11_03_122_03|そう、です……そうじゃなければ……　私は、きっと……好きになって、いませんでしたから
603_11_03_123_03|……あ、あのっ
603_11_03_125_03|……はいっ！　嬉しい、です……
603_11_03_126_03|……今の話、もう一度……見ましょうか？
603_11_03_127_03|……士道、さん？
603_11_03_129_03|そんな、ことないよ……士道さんは……
603_11_03_131_03|……とっても、凄い人だから
603_12_03_006_03|お、お疲れ様……です
603_12_03_007_03|あ、あの……士道さんを、待って……ました
603_12_03_009_03|だ、大丈夫、です。こうして、士道さんに、　ちゃんと会えました、から
603_12_03_013_03|す、すみません……。　邪魔しちゃって
603_12_03_014_03|……そうです、よね。　士道さんにも、士道さんの用事が、あるのに……
603_12_03_016_03|うう…………
603_12_03_018_03|……え、ええっ！？
603_12_03_020_03|……そういう……
603_12_03_021_03|そうなん、ですか……？
603_12_03_022_03|……用事がなければ、会いたいと思っては、　駄目……ですか？
603_12_03_023_03|良かった……
603_12_03_025_03|あの、そういうのは……言えば、用意してくれる事に、　なっているので……
603_12_03_027_03|あ、えっと……おまかせ、します……
603_12_03_029_03|あ、あの……士道さんは……ここには良く来るんです、か？
603_12_03_032_03|そう、なんですか……
603_12_03_035_03|わ、わわ……それだと、よしのん……　私と、士道さんが……
603_12_03_036_03|そ、それに……琴里さんも……
603_12_03_039_03|あ、あの……私、気にしてません、から……
603_12_03_041_03|けど……？　あ。その、すみません。　私とだから、そういうお店……　行きづらいんです、よね……？
603_12_03_042_03|そ、そうなん、ですか？
603_12_03_044_03|ふ、ふふふ……士道さんも、　初めて、なんですよね
603_12_03_045_03|私も一緒に、色々……出来るようになり、たいです……
603_12_03_047_03|あ。え、えっと……
603_12_03_050_03|あ、あの……えっと……士道、さんは……？
603_12_03_053_03|あ、あの……私、コーヒーでいいですか……？
603_12_03_054_03|あ、いえ。違います……。　えっと、その……そ、そういう、気分っていう、だけで
603_12_03_056_03|よ、よしのんっ……そ、その……　あ、あんまり……言わない、で……
603_12_03_057_03|は、はい……コーヒーの、気分……です
603_12_03_059_03|……よしのんっ！
603_12_03_060_03|わ、私だって……こ、コーヒーくらい、飲めます。　苦いのも、平気です……
603_12_03_061_03|そ、そう……です。　コーヒー……おいしい、ですよ……
603_12_03_062_03|い、いりません……
603_12_03_065_03|士道さん、コーヒーは……どうやって、飲みますか？
603_12_03_066_03|いつもブラックじゃ、無いんですね……？
603_12_03_068_03|……お、大人。そうです、よね
603_12_03_069_03|――あつっ！
603_12_03_070_03|あ、あっ……士道、さん……
603_12_03_071_03|あ、あの……だ、だいじょうぶ……です
603_12_03_072_03|す、すみません……
603_12_03_075_03|す、少し、だけ……ひりひり、します……
603_12_03_076_03|あ、あの……士道、さん……大丈夫、ですから
603_12_03_077_03|ひぁっ……！？　あ、あっ……し、士道、さん。　そ、それっ……ん、ふぅ、ひぅ……ふぁぅっ……！
603_12_03_078_03|だ、だけど……それ、つめた……あ、ふぁ……んぅ……
603_12_03_080_03|は、はいっ……が、我慢……しま、す……　んふぅっ……は、うぅ……んく……あ、はぁ……んん
603_12_03_082_03|あ、えっと……くすぐったくて、　よく……わからなく、なってきました……
603_12_03_083_03|ふぁっ……！？　あ、あの、士道……さん……？
603_12_03_086_03|ひ、人前じゃなければ……するんです、か……？
603_12_03_087_03|……あ、えと……ごめん、なさい。　なんでも、ない、です……
603_12_03_089_03|だ、だって……その……その方が……　大人っぽい、ですから……
603_12_03_090_03|そんなことなんて……酷い、です……
603_12_03_092_03|……はい…………
603_12_03_093_03|あの、でも……！　し、士道さん、は……いいんですか……？
603_13_03_001_03|あ、えと……ご、ごちそうに、なります
603_13_03_003_03|……士道さんの、ご飯……美味しい、です。　十香さんが、好きなのもわかります……
603_13_03_005_03|あ、あの、士道さん。お願いが、あるんです……
603_13_03_006_03|お夕飯の後でも……別の日でもいいんですけど。　夜……一緒に、いても……いいですか？
603_13_03_008_03|いえ、そうじゃ……ないんですけど。　その、行きたいところがあって
603_13_03_009_03|ええと――
603_13_03_011_03|ありがとう、ございます……！
603_13_03_013_03|そう、ですか……
603_13_03_015_03|よ、よしのん！　こういうところも……士道さんの、　いいところなんだよ？
603_13_03_016_03|あ……あ、あのっ、でも……　本当にそう思ってます……から
603_13_03_018_03|……っ
603_13_03_019_03|わ、わた、私……可愛く、なんて……ない、です
603_13_03_020_03|あ、ありがとう……ござい、ます……
603_13_03_022_03|……し、士道さんはその……私が、可愛くなかったら……　お願いを、聞いて、くれないですか……？
603_13_03_024_03|あ、あ……は、恥ずかしい、です……
603_13_03_026_03|あ、でも……凄く嬉しい、です……
603_13_03_027_03|……ここが、一番空が良く見えるところ、ですか？
603_13_03_030_03|ご、ごめんね……よしのん……。　だけど……士道さんと、一緒だから……。　それで、大丈夫かなって……
603_13_03_032_03|し、士道さんは、危険じゃない……よ？
603_13_03_035_03|そ、そう……だよ、よしのん。　だから、大丈夫
603_13_03_037_03|あ、はい……
603_13_03_038_03|えっと……わかりません……
603_13_03_039_03|今まで……ゆっくり、星を見たこととか、　なかったです、から……
