K10_01_001|とうッ！
506_04_50_001_10|あれ、五河じゃねえか。　おーい、どうしたんだこんなところで
506_04_50_002_10|なんだよ。ひとりぼっちで買い物か？　俺が付き合ってやってもいいんだぜ。　五河きゅん？
506_04_50_003_10|なんだよ、約束？　あ、さてはお前また誰かとデートだろ。　くー、この女の敵め、いや人類の敵！
506_04_50_004_10|ち、デートくらいってモテる男は違いますなあ。　よくもまあ飽きもせず違う女をとっかえひっかえ。　羨ましいったらないよ、コンチクショー！
506_04_50_005_10|悪かったよ。でもさあ、五河。　友人としてそろそろ忠告しておくけどなあ、　遊びもほどほどにしておけよ。それじゃな
506_04_50_030_10|い・つ・か・し・ね
507_02_24_001_10|おう五河。ここにいたのか
507_02_24_002_10|どうした？　寝ぼけているのか？
507_02_24_003_10|どうしたって、お前を探してたんだよ
507_02_24_004_10|用ってわけじゃないんだがな。　部活の先輩がお前を探してたんだよ。　それを教えに来てやったんだ、ありがたく思えよ
507_02_24_005_10|やってたよ！　こう見えて、俺は水泳部ではレギュラーなのだ！
507_02_24_006_10|まあ、そうなんだけどな！　……っておい！　お前も水泳部の一員だろうが！
507_02_24_007_10|……どうしたんだよ、五河？
507_02_24_008_10|お前、大会に出られないからって、ふてくされてるんだろ？
507_02_24_009_10|そうだよ。この間の練習でタイムを計って　部内の規定タイムに届かなかったんだろ？
507_02_24_010_10|のんきに言ってる場合じゃないぞ、五河？　このままじゃエントリーできないって、　顧問のタマちゃん先生に怒られてたじゃないか
507_02_24_011_10|まったく、マイペースな奴だなぁ
507_02_24_012_10|そんなんだから、いいタイムが出せないんじゃないのか？
507_02_24_013_10|でもなぁ、そのおかげでお前は……　くぅ～っ、ちくしょー！
507_02_24_014_10|どうかしたのかじゃねーよ、この色男ッ！　部活の先輩がお前のこと呼んでるって言ったろ。　そのタイムが出ない件で、お前に特別に話があるらしい
507_02_24_015_10|ああ！　くそ！　やっぱり悔しい！　教えたくない！
507_02_24_016_10|美九たん先輩だよ！　あのおっぱいボヨンボヨンの！　水泳部のエースの！　屋上で五河と話がしたいって！　二人っきりで！
507_02_24_017_10|なんだそのあっさりした反応！？　くぅ～っ、羨ましいっ！　羨ましいぞ、五河ぁ！！
507_02_24_018_10|ほっとけ！　だって、あの美九たん先輩だぞ？　俺を含めて男子はみんなあの先輩につられて　水泳部に入ったというのに！　なんでお前ばっかり！？
507_02_24_019_10|いい！　それでいいんだよ！　美九たんになら、なじられても怒られても本望だ！
507_02_24_020_10|わ、ちょ！？　無視すんなよ、おい！
507_02_24_021_10|くっそー、呪われちまえー！
602_13_02_005_10|なんだね、五河くん
602_13_02_006_10|悪いが五河。俺は彼女持ちとは　昼飯を食わない主義なんだ
602_13_02_007_10|それに俺はこれから学食に行くんでな。　さらばだ、五河くん。君に幸あるな
602_13_02_098_10|五河。お前、自習の間どこにいたんだ？
602_13_02_099_10|そういえば鳶一もいなかったよな？
602_13_02_101_10|何ィッ！？
602_13_02_102_10|お前ら、まさか……
602_13_02_111_10|五河くん、さようなら。　君と僕とは、もう違う種類の人間になってしまったんだね
603_12_03_001_10|まあまあ……そう焦るなよ。　きっと五河も楽しめるって
603_12_03_002_10|それに最近……最近、お前、何か急に、モテだして……　俺と遊んでくれなかったしな……！
603_12_03_003_10|ハハハ。まあ、今日はその辺とりあえず脇に置いといて、　久々に男同士の友情を深め合っても良いんじゃないかと思ってな
603_12_03_004_10|それは――
603_12_03_010_10|五河？
603_12_03_011_10|うるせーー！　もう五河なんて知らねえよ！　馬に蹴られて死ぬ前にクールに去ってやるぜ、　うわあああーーーーん！
603_19_03_001_10|おめでとう、五河
608_13_21_003_10|しつもーん。或守さんはどこから来たんですか？
608_13_21_024_10|あ、或守さん。五河なんぞの家にいるみたいだけど……大丈夫？　変なことされてないかな？　こいつは女をとっかえひっかえする最低な奴なんだ
608_13_21_028_10|よよよ、喜んで！　この殿町宏人、或守さんのためならいかようでも！
608_13_21_030_10|いやったあああ、ついに俺にも春が！　ぐふ、ぐふふふふ……
703_01_10_001_10|おーい、五河ー
703_01_10_002_10|ほい、この間借りたゲーム。サンキューな
703_01_10_003_10|悪いが、途中でストップしてしまったぜ
703_01_10_004_10|いや、面白かったぜ。　けど、女の子キャラのレベルが低かった
703_01_10_005_10|違うんだよ！　グッと来ないんだよ！　周りをよく見てみろ、五河！
703_01_10_006_10|十香ちゃんに鳶一、時崎さんに琴里ちゃんに　四糸乃ちゃんに耶倶矢ちゃんに夕弦ちゃんに美九たん！　こんな超一級の美少女に囲まれてるんだぜ？
703_01_10_007_10|もうゲームの女なんかに俺の心は動かせないわけよ！
703_01_10_008_10|……すまん、五河。もう一回貸してくれ。　今から帰って徹夜でクリアしてくる
703_02_10_001_10|お、五河じゃないか。お前もリサーチかよ。　耳が早いな
703_02_10_002_10|ん、違うのか？　食堂で今週から　新作スイーツが発売されるんだぜ
703_02_10_003_10|女子はスイーツ大好きだからな！　いち早く情報をキャッチして　話題の中心に躍り出るのさ！
703_02_10_004_10|ふっ、仕方がない。親友のよしみだ。　お前にだけこっそり教えてやろう。これだ！
703_02_10_005_10|おう！　低価格！　栄養満点！　まさに理想のスイーツだな！
703_02_10_006_10|食堂の話題が持ちきりになること、　間違いなしだぜ！
703_02_10_007_10|おっと、こうしちゃいられない。　豆乳プリンを使ったアレンジレシピの　作成を家庭科部に依頼してるんだ
703_02_10_008_10|じゃあな、五河！
703_03_10_001_10|五河ー。ゲーセン行こうぜー
703_03_10_002_10|おお！？　珍しいこともあるもんだ
703_03_10_004_10|一人寂しく麻雀をやってる　俺の気持ちがお前にわかるか！？
703_03_10_005_10|あげく、ゲーム開始で[天和*てんほー]喰らって　即ゲームオーバーだぞ！？　百円返せ！！
703_03_10_006_10|今日という今日はお前で憂さ晴らししてやる！！
703_03_10_007_10|デートか！
703_03_10_008_10|あっさりうなずくんじゃねえー！！　お前なんか役満喰らってハコテンしてろー！！
703_04_10_001_10|うお！？　な、なんだ五河か。　おどかすなよ
703_04_10_002_10|実はな……今朝、下駄箱に手紙が入ってたんだ
703_04_10_003_10|しっ！　声が大きいぞ、五河。　……そうだ。ラブなレターだ。間違いない
703_04_10_004_10|いや、正確にここかどうかはわからない
703_04_10_005_10|いつ、俺の話だと言った？
703_04_10_006_10|手紙が入っていたのは隣のクラスのやつだ。　ちなみに名前は知らない。　朝、たまたま見かけただけだからな
703_04_10_007_10|そうだ
703_04_10_008_10|うるせー！　俺を差し置いて　幸せになるやつは許さん！　邪魔してやる……邪魔してやるぞ……
703_04_10_009_10|十香ちゃんたちといちゃいちゃしてる　お前にはわからないんだよ！！
703_04_10_010_10|む！　向こうからも来たぞ！
703_04_10_011_10|…………
703_04_10_012_10|ああ。しかも、まんざらでもない感じだな
703_04_10_013_10|…………うん、そうだな
901_00_00_034_10|そうだ！　神が許しても俺が許さん！
901_00_00_035_10|そんなぁ……！
901_02_02_025a_10|日頃の行いだバカヤロー！
901_02_02_025b_10|十香ちゃん、鳶一さんに幼馴染の凜祢ちゃん……さらには　隣のクラスの八舞姉妹までと思っていたら、　そこにホームステイの女の子だと！？　この変態！　ド変態！！
910_10_01_001_10|……はぁ、五河か
910_10_01_002_10|溜息ね……しょうがないだろうが！　溜息くらいつかせてくれよぉ！　なぁ……なぁ！！
910_10_01_003_10|いきなり？　いきなりなんかじゃねえよ……いつもだ。　いつもいつも、毎日毎日、俺は思ってたよ、五河。　お前を見て、ふざけんなってな……
910_10_01_004_10|ああ、一周回って穏やか過ぎるくらい穏やかじゃない！
910_10_01_005_10|幼馴染の凜祢ちゃん、こともあろうに同居中の鞠亜ちゃん。　やたらと仲良い雰囲気の十香ちゃんに鳶一。　耶倶矢ちゃん夕弦ちゃん時崎さん、そして美九たん……
910_10_01_006_10|なんでだよ……なんでなんだよッ！？　少し前まで、おまえは俺と一緒だったじゃないかッ！　一纏めでモテない男同士だったじゃないかよッ！
910_10_01_007_10|……くそッ！　くそッ！　俺たちは親友だって、大人の階段を登るときは同じタイミング　だって、そう言ってたんじゃないのかよ、五河ぁ！！
910_10_01_008_10|うわぁぁぁぁぁぁん！　訴えてやるぅぅぅぅぅ！
910_10_02_001_10|よう、五河。偶然だな
910_10_02_002_10|なんだよ、明らかにつまんなそうな顔してんじゃねーよ！　この野郎！
910_10_02_003_10|うん？　なんだよ五河、そんな当たり前のこと聞いて
910_10_02_005_10|……まぁ、教えてやらんが
910_10_02_006_10|――待て待て五河くん。俺の大事なものは、こ・れ・だ・よ
910_10_02_008_10|これ！　これだよ！　これこそが俺の求める[楽園*パラダイス]！　気遣いができて、可愛い兄大好きの義妹……このつばめちゃんは、　俺の一番大事な存在なんだよぉ！！
910_10_02_009_10|え、どうしたんだ五河？　ずいぶんな反応じゃないか。　俺がせっかく大事なものを教えてやったというのに……
910_10_02_010_10|五河？　どこいくんだ？　おい、おいッ！　五河、いーつーかー！　どこ行くんだ、まだ話は……って、　マジかよ！？　いーつかぁぁぁぁッ！　帰ってこぉぉぉいッ！！
